R,neta,mot,rgo,hniv,hop,ratio,i
-1.0,-1.5491551459294692,SL,2.6039999999993846,23,7,1.2923076923079813,EURUSD
2.0,1.5477545857053925,TP,3.1620000000009973,23,8,1.436619718309912,EURUSD
-1.0,-1.3367082646572732,SL,4.247000000001666,23,9,1.5222222222224937,EURUSD
2.0,1.5728793309439484,TP,3.348000000000795,16,16,1.0188679245282148,EURUSD
2.0,1.6657316503038633,TP,4.277999999999782,16,1,1.179487179487233,EURUSD
2.0,1.6657316503038633,TP,4.277999999999782,1,1,1.179487179487233,EURUSD
2.0,1.6657316503038633,TP,4.277999999999782,23,1,1.179487179487233,EURUSD
2.0,1.6657316503038633,TP,4.277999999999782,17,1,1.179487179487233,EURUSD
-1.0,-1.3225806451613455,SL,4.432999999999243,1,2,2.465517241379277,EURUSD
2.0,1.4758064516130434,TP,2.72800000000073,17,4,1.466666666666272,EURUSD
-1.0,-1.242784380305623,SL,5.889999999999507,15,12,1.1111111111110534,EURUSD
-1.0,-1.1898314084694122,SL,7.532999999999568,22,10,2.336538461538554,EURUSD
-1.0,-1.158519011196095,SL,9.021000000000168,17,23,1.3661971830985988,EURUSD
-1.0,-1.158519011196095,SL,9.021000000000168,15,23,1.3661971830985988,EURUSD
-1.0,-1.3603830645162527,SL,3.9679999999986393,8,0,1.0322580645161636,EURUSD
-1.0,-1.2745775729647346,SL,5.207999999998769,15,6,2.3661971830984947,EURUSD
2.0,1.8259281801582536,TP,8.215000000000305,15,9,2.0229007633587606,EURUSD
-1.0,-1.242784380305623,SL,5.889999999999507,17,18,1.0106382978722914,EURUSD
2.0,1.730239577438208,TP,5.300999999999778,17,3,2.6718749999999187,EURUSD
2.0,1.7646477946017707,TP,6.076000000001525,23,12,1.8490566037734426,EURUSD
-1.0,-1.1938194632691759,SL,7.378000000000107,19,18,1.469135802469207,EURUSD
-1.0,-1.2681920480119973,SL,5.332000000000114,19,1,1.3983739837397184,EURUSD
-1.0,-1.501402524544205,SL,2.8519999999998547,19,2,1.6727272727271774,EURUSD
2.0,1.709880300263756,TP,4.929000000000183,17,3,1.358974358974466,EURUSD
-1.0,-1.1226835964310238,SL,11.655999999999889,20,9,1.4135338345864041,EURUSD
-1.0,-1.1946372669116707,SL,7.34699999999977,20,10,1.9268292682929162,EURUSD
-1.0,-1.2762217500482556,SL,5.177000000000653,16,7,1.7956989247310595,EURUSD
-1.0,-1.0796701766115036,SL,17.949000000001547,16,9,1.4884318766066935,EURUSD
-1.0,-1.1223581757508319,SL,11.687000000000225,10,0,1.3809523809523383,EURUSD
2.0,1.8387096774193676,TP,8.866000000000707,10,1,1.0362318840579687,EURUSD
2.0,1.8387096774193676,TP,8.866000000000707,23,1,1.0362318840579687,EURUSD
2.0,1.8387096774193676,TP,8.866000000000707,23,1,1.0362318840579687,EURUSD
-1.0,-1.1938194632691759,SL,7.378000000000107,10,4,2.288461538461251,EURUSD
-1.0,-1.318131256952175,SL,4.494999999999916,23,6,1.3302752293577103,EURUSD
-1.0,-1.1260356072624607,SL,11.346000000000966,18,19,1.2752613240417439,EURUSD
-1.0,-1.2106348504934337,SL,6.789000000000378,18,13,1.0682926829268398,EURUSD
-1.0,-1.2106348504934337,SL,6.789000000000378,9,13,1.0682926829268398,EURUSD
2.0,1.7782258064516514,TP,6.4480000000011195,9,14,1.0721649484536213,EURUSD
-1.0,-1.1781043716527475,SL,8.029000000000508,16,19,1.295000000000045,EURUSD
2.0,1.8769892473118233,TP,11.624999999999552,16,1,2.2189349112424366,EURUSD
2.0,1.8472548600726246,TP,9.361999999999426,22,2,1.0902527075812596,EURUSD
-1.0,-1.1553166069295107,SL,9.206999999999965,22,3,1.6141304347826284,EURUSD
2.0,1.970373132782232,TP,48.26699999999961,15,22,2.830909090909075,EURUSD
-1.0,-1.0771388499298777,SL,18.537999999999055,23,5,1.3468468468468187,EURUSD
-1.0,-1.1085388994307515,SL,13.174999999998604,23,1,1.011904761904734,EURUSD
2.0,1.9440181647353576,TP,25.543999999999567,23,3,3.2313725490195515,EURUSD
2.0,1.9332430792213224,TP,21.420999999999246,21,5,1.549327354260038,EURUSD
2.0,1.9273558547117027,TP,19.684999999998176,15,7,1.2959183673469346,EURUSD
2.0,1.9273558547117027,TP,19.684999999998176,1,7,1.2959183673469346,EURUSD
2.0,1.8409343715239517,TP,8.990000000002052,21,3,1.518324607329846,EURUSD
-1.0,-1.1195052649172774,SL,11.965999999998811,21,4,3.641509433962794,EURUSD
-1.0,-1.2050179211469483,SL,6.9750000000001755,15,6,1.0765550239235242,EURUSD
-1.0,-1.2050179211469483,SL,6.9750000000001755,1,6,1.0765550239235242,EURUSD
-1.0,-1.1507484714316063,SL,9.485999999998551,19,16,1.492682926829274,EURUSD
2.0,1.9576019924098667,TP,33.72799999999953,19,8,1.8347386172006774,EURUSD
-1.0,-1.0627605881062083,SL,22.78500000000072,21,9,1.8193069306930967,EURUSD
2.0,1.9749570943224406,TP,57.10199999999998,1,14,1.713488372093027,EURUSD
-1.0,-1.0669506999391403,SL,21.358999999998574,4,8,1.1148867313916226,EURUSD
-1.0,-1.0669506999391403,SL,21.358999999998574,21,8,1.1148867313916226,EURUSD
2.0,1.954054748746948,TP,31.12400000000015,17,10,2.2818181818182137,EURUSD
2.0,1.9537321642346395,TP,30.907000000000018,21,1,1.92100192678227,EURUSD
-1.0,-1.052779213109912,SL,27.09400000000084,21,7,1.3529411764706023,EURUSD
-1.0,-1.0981468771448153,SL,14.570000000000416,17,1,1.3428571428571627,EURUSD
-1.0,-1.041707985766784,SL,34.286000000001145,7,6,1.2468996617812773,EURUSD
-1.0,-1.041707985766784,SL,34.286000000001145,14,6,1.2468996617812773,EURUSD
2.0,1.827232088921127,TP,8.277000000000978,7,7,1.0429687500000193,EURUSD
-1.0,-1.0969097316346026,SL,14.755999999997993,7,7,1.363896848137503,EURUSD
-1.0,-1.0969097316346026,SL,14.755999999997993,14,7,1.363896848137503,EURUSD
-1.0,-1.0815000569930393,SL,17.546000000001616,7,8,1.1320000000000239,EURUSD
