i,ts,lado,entrada,stop,objetivo,riesgo_u,rr,n_obj,tf_obj,tomas,R,motivo,R_neto,ins,coste_R
315,2020-01-21 01:59:00,1,1.30003,1.29942,1.31184,6.099999999999994,19.360655737704732,1,1D,2,19.360655737704732,TP,19.11475409836047,GBPUSD,0.2459016393442625
321,2020-01-21 07:59:00,1,1.30064,1.30001,1.31184,6.299999999999084,17.777777777780166,1,1D,2,-1.0,SL,-1.2380952380952728,GBPUSD,0.23809523809527272
323,2020-01-21 09:59:00,1,1.10905,1.10845,1.11425,6.00000000000156,8.666666666664199,1,1D,1,-1.0,SL,-1.199999999999948,EURUSD,0.199999999999948
332,2020-01-21 18:59:00,1,1.10924,1.1088500000000001,1.11425,3.8999999999989043,12.84615384615735,1,1D,1,-1.0,SL,-1.307692307692394,EURUSD,0.30769230769239414
309,2020-01-22 03:59:00,-1,9213.0,9223.09,9101.3,10.090000000000146,11.07036669970259,1,12H,1,-1.0,SL,-1.1486620416253694,NAS100,0.1486620416253695
350,2020-01-22 12:59:00,1,1.10835,1.10761,1.11179,7.399999999999629,4.64864864864903,1,12H,3,-1.0,SL,-1.1621621621621703,EURUSD,0.16216216216217028
353,2020-01-22 15:59:00,1,1.10754,1.1069,1.11179,6.399999999999739,6.640625000000407,1,12H,3,-1.0,SL,-1.1875000000000075,EURUSD,0.18750000000000763
324,2020-01-23 02:59:00,-1,3319.043,3322.1,3306.64,3.056999999999789,4.057245665685674,1,1D,1,4.057245665685674,TP,3.8609748119074463,SPX500,0.19627085377822748
332,2020-01-23 04:59:00,1,9175.6,9168.39,9225.17,7.210000000000946,6.875173370318059,1,4H,1,-1.0,SL,-1.2080443828016372,NAS100,0.20804438280163706
366,2020-01-23 04:59:00,1,1.10852,1.10799,1.11179,5.299999999999194,6.169811320755855,2,1D,3,-1.0,SL,-1.226415094339657,EURUSD,0.22641509433965706
368,2020-01-23 06:59:00,1,1.10851,1.10799,1.11179,5.20000000000076,6.30769230769129,2,1D,3,-1.0,SL,-1.230769230769197,EURUSD,0.23076923076919706
371,2020-01-23 09:59:00,1,1.10843,1.1078000000000001,1.11179,6.299999999999084,5.3333333333341555,2,1D,3,-1.0,SL,-1.1904761904762182,EURUSD,0.19047619047621817
333,2020-01-23 11:59:00,-1,3320.052,3322.4,3306.64,2.3479999999999563,5.712095400340933,1,1D,1,5.712095400340933,TP,5.456558773424404,SPX500,0.25553662691652945
373,2020-01-23 11:59:00,-1,1.10903,1.10958,1.107,5.5000000000005045,3.690909090908709,1,12H,1,-1.0,SL,-1.2181818181817983,EURUSD,0.21818181818179816
363,2020-01-24 19:59:00,1,3293.7,3280.149,3337.549,13.55099999999993,3.235849752785801,1,12H,2,-1.0,SL,-1.0442771751162279,SPX500,0.04427717511622781
429,2020-01-27 19:59:00,1,1.30486,1.30402,1.31065,8.399999999999519,6.892857142857756,1,12H,1,-1.0,SL,-1.1785714285714388,GBPUSD,0.1785714285714388
411,2020-01-28 17:59:00,-1,9086.01,9098.72,8963.5,12.709999999999127,9.638867033832309,1,4H,1,-1.0,SL,-1.1180173092053582,NAS100,0.11801730920535823
466,2020-01-29 08:59:00,1,1.30179,1.30026,1.30649,15.300000000000313,3.0718954248364905,1,12H,3,-1.0,SL,-1.0980392156862724,GBPUSD,0.0980392156862725
467,2020-01-29 09:59:00,1,1.10021,1.09935,1.10375,8.599999999998609,4.116279069768223,1,1D,2,-1.0,SL,-1.1395348837209527,EURUSD,0.1395348837209528
469,2020-01-29 11:59:00,1,1.10015,1.09961,1.10375,5.399999999999849,6.6666666666669405,1,1D,2,-1.0,SL,-1.2222222222222283,EURUSD,0.2222222222222284
428,2020-01-29 12:59:00,-1,9136.43,9148.4,9082.59,11.969999999999345,4.497911445280125,1,4H,2,-1.0,SL,-1.1253132832080268,NAS100,0.1253132832080269
422,2020-01-29 12:59:00,-1,3289.7,3293.7,3273.846,4.0,3.9634999999999536,1,4H,3,3.9634999999999536,TP,3.8134999999999537,SPX500,0.15
479,2020-01-29 21:59:00,1,1.10098,1.10006,1.10375,9.200000000000319,3.0108695652172206,1,1D,2,3.0108695652172206,TP,2.8804347826085293,EURUSD,0.13043478260869112
580,2020-02-05 02:59:00,-1,109.459,109.50200000000001,109.2,4.300000000000637,6.023255813952605,1,4H,1,-1.0,SL,-1.302325581395304,USDJPY,0.3023255813953041
598,2020-02-05 20:59:00,1,1.29916,1.29847,1.30704,6.900000000000794,11.420289855070985,2,12H,2,-1.0,SL,-1.217391304347801,GBPUSD,0.21739130434780105
600,2020-02-05 22:59:00,1,1.29972,1.2989600000000001,1.30704,7.599999999998719,9.631578947370036,1,12H,2,-1.0,SL,-1.197368421052665,GBPUSD,0.19736842105266486
603,2020-02-06 01:59:00,1,1.29882,1.29811,1.30704,7.099999999999884,11.577464788732435,1,12H,2,-1.0,SL,-1.2112676056338063,GBPUSD,0.21126760563380625
