i,ts,lado,entrada,stop,objetivo,riesgo_u,rr,n_obj,tf_obj,tomas,R,motivo,R_neto,ins,coste_R
579,2020-01-05 22:19:00,1,1.30706,1.30648,1.316,5.800000000000249,15.413793103447523,1,12H,1,-1.0,SL,-1.2586206896551613,GBPUSD,0.2586206896551613
691,2020-01-06 07:39:00,1,1.30826,1.30779,1.316,4.699999999999704,16.468085106384184,1,12H,1,-1.0,SL,-1.3191489361702329,GBPUSD,0.3191489361702328
699,2020-01-06 08:19:00,1,1.30758,1.30628,1.316,12.999999999998568,6.476923076923863,1,12H,1,6.476923076923863,TP,6.361538461539235,GBPUSD,0.11538461538462809
701,2020-01-06 08:29:00,1,1.30745,1.3069,1.316,5.5000000000005045,15.545454545453223,1,12H,1,15.545454545453223,TP,15.272727272725975,GBPUSD,0.2727272727272477
700,2020-01-06 08:29:00,-1,1.11667,1.11708,1.11523,4.100000000000215,3.5121951219512986,1,4H,2,-1.0,SL,-1.292682926829253,EURUSD,0.29268292682925295
709,2020-01-06 09:09:00,1,1.31091,1.31019,1.316,7.200000000000539,7.069444444443969,1,12H,1,7.069444444443969,TP,6.861111111110651,GBPUSD,0.20833333333331772
711,2020-01-06 09:19:00,-1,1.3119,1.31242,1.30633,5.199999999998539,10.711538461541615,1,4H,1,-1.0,SL,-1.2884615384616196,GBPUSD,0.2884615384616195
712,2020-01-06 09:24:00,-1,1.312,1.3128,1.30633,7.999999999999119,7.08750000000086,1,4H,1,-1.0,SL,-1.1875000000000207,GBPUSD,0.18750000000002065
717,2020-01-06 09:49:00,-1,1.31433,1.31492,1.30633,5.9000000000009045,13.559322033896239,1,4H,1,-1.0,SL,-1.2542372881355544,GBPUSD,0.25423728813555424
728,2020-01-06 10:44:00,-1,1.31637,1.3174,1.30633,10.299999999998644,9.747572815535312,1,4H,1,-1.0,SL,-1.1456310679611843,GBPUSD,0.14563106796118422
727,2020-01-06 10:44:00,-1,1.11953,1.11992,1.11523,3.900000000001125,11.02564102563777,1,4H,2,-1.0,SL,-1.307692307692219,EURUSD,0.30769230769221895
679,2020-01-06 11:09:00,1,8725.81,8720.77,8844.68,5.039999999999054,23.585317460322045,1,12H,1,-1.0,SL,-1.2976190476191034,NAS100,0.29761904761910346
652,2020-01-06 11:44:00,1,3216.346,3214.137,3245.955,2.2089999999998327,13.403802625623435,1,12H,1,-1.0,SL,-1.2716161158895634,SPX500,0.27161611588956336
705,2020-01-06 13:19:00,1,8729.59,8722.19,8844.68,7.399999999999636,15.552702702703487,1,12H,1,-1.0,SL,-1.2027027027027126,NAS100,0.20270270270271268
789,2020-01-06 15:49:00,-1,1.31498,1.31547,1.30638,4.899999999998794,17.551020408167464,1,4H,2,-1.0,SL,-1.3061224489796672,GBPUSD,0.30612244897966717
794,2020-01-06 16:14:00,-1,1.31553,1.3162099999999999,1.30638,6.799999999997919,13.455882352945283,1,4H,2,-1.0,SL,-1.2205882352941853,GBPUSD,0.22058823529418517
795,2020-01-06 16:24:00,-1,1.11848,1.11885,1.11597,3.6999999999998145,6.783783783784157,1,4H,1,-1.0,SL,-1.3243243243243406,EURUSD,0.32432432432434055
743,2020-01-06 16:29:00,1,8811.1,8806.02,8844.68,5.079999999999927,6.610236220472522,1,12H,1,-1.0,SL,-1.2952755905511855,NAS100,0.29527559055118535
800,2020-01-06 16:44:00,-1,1.31631,1.31677,1.30638,4.599999999999049,21.58695652174358,1,4H,2,-1.0,SL,-1.3260869565218065,GBPUSD,0.3260869565218065
