ts,dir,entrada,rr,riesgo_pips,motivo,pips,R,b
2020-01-08 13:45:00,largo,1.112,3.0,9.900000000000464,SL,-11.100000000000463,-1.1212121212121156,-1.0
2020-01-09 10:30:00,largo,1.11108,3.0,15.199999999999658,SL,-16.399999999999658,-1.0789473684210544,-1.0
2020-01-10 09:45:00,largo,1.10963,3.0,6.099999999997774,SL,-7.299999999997774,-1.1967213114754816,-1.0
2020-01-13 09:15:00,corto,1.11216,3.0,15.499999999999403,SL,-16.699999999999402,-1.0774193548387125,-1.0
2020-01-14 10:45:00,largo,1.11338,3.0,6.399999999999739,SL,-7.599999999999739,-1.1875000000000078,-1.0
2020-01-14 14:45:00,largo,1.11216,3.0,18.100000000000893,SL,-19.300000000000892,-1.0662983425414332,-1.0
2020-01-20 07:15:00,corto,1.10985,3.0,4.8000000000003595,TP,13.20000000000108,2.7500000000000187,3.0
2020-01-20 09:45:00,largo,1.10895,3.0,8.40000000000174,SL,-9.600000000001739,-1.1428571428571133,-1.0
2020-01-20 13:30:00,largo,1.10848,3.0,5.299999999999194,SL,-6.499999999999194,-1.226415094339657,-1.0
2020-01-21 09:30:00,largo,1.10925,3.0,8.00000000000134,TP,22.80000000000402,2.8500000000000254,3.0
2020-01-22 06:30:00,corto,1.10816,3.0,5.599999999998939,SL,-6.799999999998939,-1.2142857142857548,-1.0
2020-01-28 13:30:00,largo,1.10082,3.0,7.199999999998319,SL,-8.399999999998318,-1.1666666666667054,-0.9999999999999999
2020-01-29 11:30:00,largo,1.10022,3.0,8.699999999999264,SL,-9.899999999999263,-1.1379310344827702,-1.0
2020-01-30 07:15:00,largo,1.10131,3.0,7.200000000000539,TP,20.40000000000162,2.833333333333346,3.0
2020-01-31 07:15:00,largo,1.10244,3.0,8.60000000000083,TP,24.60000000000249,2.8604651162790833,3.0
2020-02-03 09:30:00,largo,1.1069,3.0,10.999999999998789,SL,-12.199999999998788,-1.1090909090909211,-1.0
2020-02-06 08:15:00,corto,1.09986,3.0,16.199999999999548,TP,47.39999999999864,2.925925925925924,3.0
2020-02-10 07:15:00,largo,1.09526,3.0,5.499999999998284,SL,-6.699999999998284,-1.2181818181818862,-1.0
2020-02-11 07:45:00,largo,1.09144,3.0,9.799999999999809,SL,-10.999999999999808,-1.122448979591839,-1.0
2020-02-12 07:30:00,largo,1.0913,3.0,16.799999999999038,SL,-17.999999999999037,-1.0714285714285754,-1.0
2020-02-13 14:30:00,largo,1.08559,3.0,9.300000000000974,SL,-10.500000000000973,-1.1290322580645025,-1.0
2020-02-17 09:30:00,corto,1.08438,3.0,8.100000000001994,TP,23.100000000005984,2.8518518518518885,3.0
2020-02-19 09:15:00,corto,1.08022,3.0,6.699999999999484,SL,-7.899999999999484,-1.1791044776119541,-1.0
2020-02-24 09:15:00,corto,1.08214,3.0,21.399999999998087,SL,-22.599999999998087,-1.056074766355145,-1.0
2020-02-26 12:30:00,corto,1.08777,3.0,31.90000000000026,SL,-33.100000000000264,-1.037617554858934,-1.0000000000000002
2020-02-28 13:45:00,largo,1.09869,3.0,19.299999999999873,SL,-20.499999999999872,-1.0621761658031093,-1.0
2020-03-03 09:30:00,largo,1.11186,3.0,19.400000000000528,SL,-20.600000000000527,-1.061855670103091,-1.0
