R,neta,rgo,lado,gana,fvg,pos,anio
2.4482758620699236,2.011901129082343,3.2769999999993082,1,True,True,0.14125560538116966,2020
-1.0,-1.6663560111833964,2.1460000000006474,1,False,True,0.3771517996870076,2020
2.4482758620681926,1.8469301934392588,2.3780000000006574,-1,True,True,0.6896217264791603,2020
-1.0,-1.7146426786605398,2.0010000000003636,-1,False,True,0.655207280080897,2020
-1.0,-1.3424329501915562,4.17600000000018,-1,False,True,0.5145857642940539,2020
2.4482758620686766,2.3198635057468433,11.136000000000479,1,True,True,0.1797166293810602,2020
-1.0,-1.1035931614024959,13.803999999999483,-1,False,True,0.7299762093576535,2020
2.4482758620689653,2.2656449553001226,7.829999999999782,-1,True,True,0.9954827780914692,2020
-1.0,-1.3265585750170512,4.379000000001021,1,False,True,0.37194641449959687,2020
-1.0,-1.1521924223073763,9.395999999999294,1,False,True,0.18048268625393252,2020
-1.0,-1.3081896551724006,4.6400000000001995,-1,False,True,0.5117924528302007,2020
-1.0,-1.163279287508567,8.757999999999821,1,False,True,0.06364110589462726,2020
2.44827586206911,2.335951614170273,12.73099999999916,-1,True,True,0.9925176056338026,2020
-1.0,-1.1786606696651845,8.003999999999234,-1,False,True,0.8559090909090958,2020
-1.0,-1.2261942423283476,6.322000000000827,-1,False,True,0.975673898750823,2020
-1.0,-1.1020918112372362,14.007000000000325,1,False,True,-0.016780609073958577,2020
2.4482758620690657,2.214577545350647,6.118999999999986,1,True,True,0.07737226277372682,2020
-1.0,-1.1396893621178132,10.236999999999608,-1,False,True,0.9727543635589622,2020
-1.0,-1.3201970443349218,4.466000000000747,1,False,True,0.01068702290076548,2020
-1.0,-1.1358411703239266,10.527000000000175,-1,False,True,0.5085324232081838,2020
2.448275862068405,2.1105337742082844,4.234000000000737,-1,True,True,0.816550348953156,2020
2.4482758620691443,2.2892102335930566,8.989999999999831,1,True,True,0.477055449330777,2020
-1.0,-1.1274169116991868,11.223000000000205,-1,False,True,0.9749999999999813,2020
-1.0,-1.1718130481797642,8.32299999999897,1,False,True,0.20721554116558952,2021
-1.0,-1.1416963931827284,10.091999999999324,1,False,True,0.16732283464567116,2021
-1.0,-1.367987647967098,3.885999999999612,-1,False,True,0.8657556270096594,2021
2.4482758620699236,2.011901129082343,3.2769999999993082,-1,True,True,1.0838756326825616,2021
2.448275862069256,2.2393337229692896,6.843999999999184,1,True,True,0.3683319220999187,2021
-1.0,-1.4109195402298673,3.4800000000001496,-1,False,True,0.9562500000000175,2021
-1.0,-1.425089179548279,3.3639999999990344,-1,False,True,0.9125000000000073,2021
2.448275862068593,2.1457584091386117,4.726999999999926,1,True,True,-0.0095313741064433,2021
-1.0,-1.1874918054281105,7.62699999999894,-1,False,True,0.9692039511911597,2021
2.4482758620690754,1.9346264367817412,2.7840000000001197,-1,True,True,0.6631059983566157,2021
-1.0,-1.3793103448275141,3.770000000000717,1,False,True,0.393878908848967,2021
-1.0,-1.3976640711900714,3.596000000001265,1,False,True,0.2745098039215823,2021
-1.0,-1.3201970443349218,4.466000000000747,1,False,True,0.019984627209833024,2021
-1.0,-1.3201970443349218,4.466000000000747,1,False,True,0.04458109146808643,2021
-1.0,-1.46084434418307,3.102999999999856,1,False,True,0.3802281368821178,2021
2.44827586206915,2.2758620689656976,8.293999999999802,1,True,True,0.08127721335267153,2021
2.448275862069943,2.0830140485321538,3.9149999999987806,1,True,True,0.21119592875320287,2021
-1.0,-1.4882212359166278,2.9290000000004035,1,False,True,0.006910850034553497,2021
-1.0,-1.5245781364637674,2.725999999999562,1,False,True,0.04739336492891921,2021
2.4482758620690626,2.145758409139081,4.726999999999926,1,True,True,0.006349206349212727,2021
2.4482758620694236,2.1966924700919046,5.683999999999134,-1,True,True,0.8169209431345411,2021
-1.0,-1.3764148460121197,3.798999999999886,1,False,True,0.4590846047156827,2021
-1.0,-1.2622890682318837,5.451999999999124,1,False,True,0.1872399445214885,2021
-1.0,-1.407523510971866,3.508999999999318,1,False,True,0.16790123456790476,2021
-1.0,-1.400897112419414,3.566999999999876,-1,False,True,0.5202380952380957,2021
-1.0,-1.23821422622018,6.003000000001091,-1,False,True,0.8297389330306403,2021
2.4482758620690657,2.214577545350647,6.118999999999986,-1,True,True,1.2330917874396101,2021
-1.0,-1.2134646962232811,6.699000000001121,-1,False,True,0.7227602905568908,2021
-1.0,-1.157541037787823,9.076999999999558,1,False,True,0.09943714821761984,2021
-1.0,-1.1616732617297991,8.844999999999548,1,False,True,-0.08903365906623759,2022
-1.0,-1.171216475095778,8.35200000000036,1,False,True,-0.015200868621067306,2022
2.4482758620694454,2.0407523510975794,3.508999999999318,1,True,True,0.06435884934178451,2022
-1.0,-1.2325959661678914,6.147999999999154,-1,False,True,1.0547945205479439,2022
-1.0,-1.147635762956847,9.685999999999861,-1,False,True,0.7339491916859122,2022
-1.0,-1.2251613919067865,6.3509999999999955,-1,False,True,0.7011547344110859,2022
-1.0,-1.400897112419414,3.566999999999876,-1,False,True,0.7205542725173255,2022
-1.0,-1.400897112419414,3.566999999999876,-1,False,True,0.7062355658198644,2022
-1.0,-1.220135467980286,6.496000000000279,1,False,True,0.43835616438357516,2022
2.4482758620694467,2.24863883847595,7.16299999999892,-1,True,True,0.7962003454231491,2022
-1.0,-1.6163793103448012,2.3200000000000998,1,False,True,0.35902439024389776,2022
-1.0,-1.2970502700457216,4.813999999999652,1,False,True,0.17405355493997532,2022
-1.0,-1.3354445226366483,4.262999999999906,1,False,True,0.19713758079409222,2022
-1.0,-1.0591251137021434,24.185999999999375,1,False,True,0.43408005875872663,2022
-1.0,-1.0608769689229476,23.489999999999345,1,False,True,0.4344473007712071,2022
2.4482758620684373,2.140086206896037,4.6400000000001995,1,True,True,0.4412100456621018,2022
-1.0,-1.3354445226366483,4.262999999999906,1,False,True,0.4355022831050248,2022
-1.0,-1.1185344827586157,12.064000000000519,-1,False,True,0.6582713222667388,2022
-1.0,-1.132911980667346,10.759000000000185,-1,False,True,0.6611033843300825,2022
-1.0,-1.4980842911877663,2.870999999999846,-1,False,True,0.7371847030105705,2022
-1.0,-1.5136494252873343,2.7840000000001197,-1,False,True,0.749389747762409,2022
-1.0,-1.2325959661678074,6.148000000001375,1,False,True,0.4679715302490978,2022
-1.0,-1.121454051299474,11.773999999999951,-1,False,True,0.564963503649639,2022
2.4482758620691376,2.269615192403953,8.003999999999234,-1,True,True,0.7545317220543684,2022
-1.0,-1.28177339901472,5.075000000001051,1,False,True,0.11785573512021438,2022
-1.0,-1.0656595803296767,21.77899999999955,1,False,True,0.18778220451527003,2022
-1.0,-1.0434069936862564,32.94399999999919,1,False,True,0.20649895178196906,2022
2.4482758620693628,2.2936979785972893,9.25099999999901,-1,True,True,0.6922069417157852,2022
2.44827586206881,2.277059386973032,8.35200000000036,-1,True,True,0.6777996070727016,2022
-1.0,-1.3522167487683614,4.060000000001285,-1,False,True,0.6346153846153857,2022
-1.0,-1.1565407772304304,9.135000000000115,1,False,True,0.24949290060851595,2022
2.4482758620694467,2.24863883847595,7.16299999999892,1,True,True,0.18739054290718857,2022
-1.0,-1.132199315891643,10.817000000000743,1,False,True,-0.03303303303303596,2022
2.4482758620689755,2.3554126891356706,15.399000000000385,1,True,True,0.18452380952380723,2022
-1.0,-1.0996168582375456,14.35500000000034,1,False,True,0.12901342673671554,2022
-1.0,-1.1311445341159152,10.904000000000469,1,False,True,0.11349566652909701,2022
2.4482758620689413,2.3185117967331936,11.020000000000474,1,True,True,0.3169398907103843,2022
-1.0,-1.114144316730529,12.527999999999428,1,False,True,0.05976456383941993,2022
-1.0,-1.11740558292283,12.179999999999414,1,False,True,0.03561726531844127,2022
-1.0,-1.1004284008708454,14.239000000000335,-1,False,True,0.8987421383647797,2022
-1.0,-1.1113100334708468,12.847000000000275,1,False,True,0.14380358534684645,2022
-1.0,-1.2490421455938832,5.741999999999692,-1,False,True,0.957564575645755,2022
-1.0,-1.162205081669705,8.815999999999269,-1,False,True,0.9284243048403706,2022
-1.0,-1.365261813537686,3.914999999999891,-1,False,True,0.8702368692070047,2022
2.448275862068865,2.260068439062805,7.597999999999772,-1,True,True,0.9208231600976629,2022
-1.0,-1.0933908045976972,15.312000000000658,-1,False,True,0.9017651573292356,2022
-1.0,-1.1343606126092105,10.64300000000129,1,False,True,0.3580533024333706,2022
2.448275862068884,2.3314267037096745,12.237999999999971,1,True,True,0.3476245654693008,2022
-1.0,-1.2046072399485062,6.988999999999468,-1,False,True,0.5619930475086841,2022
2.4482758620695937,2.181733457596125,5.364999999999398,-1,True,True,0.9043151969981209,2023
-1.0,-1.1248363160192032,11.455000000000215,-1,False,True,0.9783427495291946,2023
2.4482758620683382,1.9600546261517104,2.9290000000004035,-1,True,True,0.6770072992700801,2023
-1.0,-1.0941037115030299,15.195999999999543,1,False,True,0.43430656934305994,2023
2.448275862068811,2.2683110999243565,7.946000000000897,1,True,True,0.08284371327849051,2023
-1.0,-1.1545778834720737,9.25099999999901,-1,False,True,0.6733590733590601,2023
2.4482758620686265,1.9958873774119315,3.1610000000004135,-1,True,True,0.9819600195026823,2023
2.448275862069216,2.088346337780206,3.972999999999338,1,True,True,0.39255189255188716,2023
-1.0,-1.1585541634327707,9.018999999999,1,False,True,0.39421157684630714,2023
-1.0,-1.300672834314467,4.756000000001315,1,False,True,0.0903337169159986,2023
2.448275862069343,2.304513923796483,9.94699999999904,-1,True,True,0.7150466045272977,2023
-1.0,-1.735975295934196,1.942999999999806,1,False,True,0.3513738551207399,2023
-1.0,-1.146756978653524,9.744000000000419,-1,False,True,0.7263948497854019,2023
2.4482758620693406,2.156498673740391,4.900999999999378,1,True,True,0.02010827532870432,2023
-1.0,-1.5478927203063733,2.6100000000006673,1,False,True,0.33595800524933517,2023
-1.0,-1.6663560111833964,2.1460000000006474,1,False,True,0.29686457638425934,2023
2.4482758620696705,2.1420004283579135,4.668999999999368,-1,True,True,0.6828160484481504,2023
-1.0,-1.3331780055918705,4.291999999999074,-1,False,True,1.0214876033057791,2023
-1.0,-1.2554940146507327,5.596999999999408,-1,False,True,0.5155004428697896,2023
-1.0,-1.3331780055918705,4.291999999999074,-1,False,True,0.6275621456607051,2023
-1.0,-1.1389023797960154,10.295000000000165,1,False,True,0.29488158899923805,2023
-1.0,-1.2116323812342926,6.756999999999458,1,False,True,0.32391138273490117,2023
-1.0,-1.3354445226366483,4.262999999999906,1,False,True,0.2357512953368024,2024
-1.0,-1.3354445226366483,4.262999999999906,1,False,True,0.23704663212434685,2024
-1.0,-1.223123732251502,6.409000000000553,1,False,True,0.10288808664261219,2024
-1.0,-1.5941005400914432,2.406999999999826,1,False,True,0.2518828451882829,2024
-1.0,-1.2417173766058498,5.915999999999144,1,False,True,0.3981132075471826,2024
-1.0,-1.5359820089957021,2.6679999999990045,-1,False,True,0.8632558139534812,2024
2.448275862068108,1.8078817733982646,2.2330000000003736,-1,True,True,0.8298192771084553,2024
2.4482758620690444,1.7123005661348483,1.942999999999806,-1,True,True,0.8313253012048173,2024
2.44827586207055,1.6896551724150748,1.8849999999992484,-1,True,True,0.8057228915662624,2024
-1.0,-1.2089421390999664,6.843999999999184,-1,False,True,0.6383363471971014,2024
2.4482758620683924,1.9830839297327776,3.0740000000006873,-1,True,True,0.868783068783078,2024
-1.0,-1.3120907900480383,4.581999999999642,-1,False,True,0.6274509803921579,2024
-1.0,-1.3265585750172166,4.3789999999988005,-1,False,True,0.6002178649237632,2024
2.4482758620692615,2.2436686221207554,6.988999999999468,-1,True,True,0.6425233644859958,2024
-1.0,-1.1627404119722093,8.78700000000121,1,False,True,0.4660894660894516,2024
-1.0,-1.7471264367813604,1.9140000000006374,1,False,True,0.24297752808988843,2024
-1.0,-1.2315039663266756,6.177000000000543,-1,False,True,1.1075650118203544,2024
-1.0,-1.3852370689655007,3.7120000000001596,-1,False,True,0.8492187500000027,2024
2.4482758620682676,1.881490289337603,2.523000000000941,1,True,True,0.17838157117542838,2024
-1.0,-1.6663560111833964,2.1460000000006474,-1,False,True,0.8043742405832446,2024
-1.0,-1.5478927203063733,2.6100000000006673,-1,False,True,0.5670650730411654,2024
-1.0,-2.0491562729266803,1.3630000000008913,-1,False,True,0.9456928838951288,2024
2.4482758620694476,2.056923918993324,3.653999999999602,-1,True,True,0.7843137254902035,2024
2.4482758620687397,2.1238656987293707,4.4080000000001895,1,True,True,0.12239221140472716,2024
2.4482758620686265,1.9958873774119315,3.1610000000004135,-1,True,True,0.6529818496110663,2024
2.4482758620680762,1.945109078113235,2.8420000000006773,-1,True,True,0.7032967032966762,2024
-1.0,-1.31012795489041,4.611000000001031,-1,False,True,0.9520846297448564,2024
2.4482758620697855,2.0747126436788887,3.8279999999990544,1,True,True,0.16031746031745395,2024
-1.0,-1.251583391977519,5.683999999999134,1,False,True,0.05337781484570184,2024
-1.0,-1.3400713436385783,4.204999999999348,1,False,True,0.08012568735271096,2024
2.4482758620686265,1.9958873774119315,3.1610000000004135,1,True,True,0.09952229299362744,2024
-1.0,-1.2554940146507327,5.596999999999408,1,False,True,0.051595977262788,2024
-1.0,-1.2172261886677804,6.5830000000000055,-1,False,True,0.8761682242990568,2024
2.4482758620684995,2.2549019607838776,7.395000000001151,-1,True,True,0.5884393063583828,2024
-1.0,-1.146321498004713,9.772999999999588,1,False,True,0.30778816199377756,2024
-1.0,-1.3201970443349218,4.466000000000747,1,False,True,0.4861244019138698,2024
2.4482758620687486,2.3444646098001485,13.775000000000315,1,True,True,0.01742456438589123,2025
-1.0,-1.0701427380193278,20.38699999999949,-1,False,True,0.9080459770115065,2025
2.448275862069188,2.188747731397666,5.509999999999682,1,True,True,0.19278252611585445,2025
-1.0,-1.1454582443291608,9.831000000000145,-1,False,True,0.7895791583166363,2025
-1.0,-1.2336983167184186,6.118999999999986,-1,False,True,0.9615728328864923,2025
-1.0,-1.215329016714332,6.641000000000563,1,False,True,0.3113207547169767,2025
-1.0,-1.0623392475696423,22.9389999999996,-1,False,True,0.9605998235812963,2025
-1.0,-1.0911466632672646,15.688999999998732,-1,False,True,0.6829518278100449,2025
2.448275862069288,2.2897216986365176,9.018999999999,-1,True,True,0.7167785234899364,2025
-1.0,-1.1833098320727968,7.801000000000613,1,False,True,0.20817843866171418,2025
-1.0,-1.1512587264649907,9.453999999999851,1,False,True,0.24245374878285111,2025
-1.0,-1.157541037787823,9.076999999999558,1,False,True,0.2551119766309488,2025
2.448275862068765,2.1599112724337544,4.958999999999936,-1,True,True,0.931640625000007,2025
-1.0,-1.5418719211822998,2.638999999999836,-1,False,True,0.7058125741399828,2025
-1.0,-1.452388484656695,3.1610000000004135,-1,False,True,0.8758169934640473,2025
2.4482758620693854,2.2241379310348734,6.379999999999164,-1,True,True,0.5544354838709654,2025
2.448275862069282,2.2210392499605693,6.292999999999438,-1,True,True,0.5574596774193499,2025
