par,tf,fecha,lado,ancho,obj,R,rr,coste,tp,N,fuera
EURUSD,H12,2020-01-03 12:00:00,-1,1.0,opuesto,-1.0,1.1960000000000448,0.05720000000000122,0,-1.0572000000000012,False
EURUSD,H12,2020-01-03 12:00:00,-1,1.0,medio,-1.0,0.12600000000002878,0.05720000000000122,0,-1.0572000000000012,False
EURUSD,H12,2020-01-03 12:00:00,-1,1.0,ext150,-1.0,3.210000000000048,0.05720000000000122,0,-1.0572000000000012,False
EURUSD,H12,2020-01-03 12:00:00,-1,1.25,opuesto,-1.0,0.9568000000000358,0.04576000000000098,0,-1.045760000000001,False
EURUSD,H12,2020-01-03 12:00:00,-1,1.25,medio,-1.0,0.10080000000002302,0.04576000000000098,0,-1.045760000000001,False
EURUSD,H12,2020-01-03 12:00:00,-1,1.25,ext150,-1.0,2.5680000000000383,0.04576000000000098,0,-1.045760000000001,False
EURUSD,H12,2020-01-03 12:00:00,-1,1.5,opuesto,-1.0,0.7973333333333632,0.03813333333333415,0,-1.0381333333333342,False
EURUSD,H12,2020-01-03 12:00:00,-1,1.5,medio,-1.0,0.08400000000001918,0.03813333333333415,0,-1.0381333333333342,False
EURUSD,H12,2020-01-03 12:00:00,-1,1.5,ext150,-1.0,2.140000000000032,0.03813333333333415,0,-1.0381333333333342,False
EURUSD,H12,2020-01-03 12:00:00,-1,2.0,opuesto,-1.0,0.5980000000000224,0.02860000000000061,0,-1.0286000000000006,False
EURUSD,H12,2020-01-03 12:00:00,-1,2.0,medio,-1.0,0.06300000000001439,0.02860000000000061,0,-1.0286000000000006,False
EURUSD,H12,2020-01-03 12:00:00,-1,2.0,ext150,-1.0,1.605000000000024,0.02860000000000061,0,-1.0286000000000006,False
EURUSD,H12,2020-01-07 00:00:00,1,1.0,opuesto,-1.0,1.3511904761903715,0.08511904761904125,0,-1.0851190476190413,False
EURUSD,H12,2020-01-07 00:00:00,1,1.0,medio,-1.0,0.6547619047619158,0.08511904761904125,0,-1.0851190476190413,False
EURUSD,H12,2020-01-07 00:00:00,1,1.0,ext150,-1.0,2.0892857142854995,0.08511904761904125,0,-1.0851190476190413,False
EURUSD,H12,2020-01-07 00:00:00,1,1.25,opuesto,-1.0,1.0809523809522972,0.068095238095233,0,-1.068095238095233,False
EURUSD,H12,2020-01-07 00:00:00,1,1.25,medio,-1.0,0.5238095238095326,0.068095238095233,0,-1.068095238095233,False
EURUSD,H12,2020-01-07 00:00:00,1,1.25,ext150,-1.0,1.6714285714283996,0.068095238095233,0,-1.068095238095233,False
EURUSD,H12,2020-01-07 00:00:00,1,1.5,opuesto,-1.0,0.9007936507935811,0.0567460317460275,0,-1.0567460317460275,False
EURUSD,H12,2020-01-07 00:00:00,1,1.5,medio,-1.0,0.43650793650794384,0.0567460317460275,0,-1.0567460317460275,False
EURUSD,H12,2020-01-07 00:00:00,1,1.5,ext150,-1.0,1.3928571428569996,0.0567460317460275,0,-1.0567460317460275,False
EURUSD,H12,2020-01-07 00:00:00,1,2.0,opuesto,-1.0,0.6755952380951857,0.042559523809520626,0,-1.0425595238095207,False
EURUSD,H12,2020-01-07 00:00:00,1,2.0,medio,-1.0,0.3273809523809579,0.042559523809520626,0,-1.0425595238095207,False
EURUSD,H12,2020-01-07 00:00:00,1,2.0,ext150,-1.0,1.0446428571427497,0.042559523809520626,0,-1.0425595238095207,False
EURUSD,H12,2020-01-09 00:00:00,1,1.0,opuesto,-1.0,3.275000000000444,0.1787500000000197,0,-1.1787500000000197,False
EURUSD,H12,2020-01-09 00:00:00,1,1.0,medio,1.450000000000222,1.450000000000222,0.1787500000000197,1,1.2712500000002023,False
EURUSD,H12,2020-01-09 00:00:00,1,1.0,ext150,-1.0,5.475000000000666,0.1787500000000197,0,-1.1787500000000197,False
EURUSD,H12,2020-01-09 00:00:00,1,1.25,opuesto,-1.0,2.6200000000003554,0.14300000000001575,0,-1.1430000000000158,False
EURUSD,H12,2020-01-09 00:00:00,1,1.25,medio,1.1600000000001776,1.1600000000001776,0.14300000000001575,1,1.0170000000001618,False
EURUSD,H12,2020-01-09 00:00:00,1,1.25,ext150,-1.0,4.380000000000533,0.14300000000001575,0,-1.1430000000000158,False
EURUSD,H12,2020-01-09 00:00:00,1,1.5,opuesto,-1.0,2.1833333333336293,0.1191666666666798,0,-1.1191666666666797,False
EURUSD,H12,2020-01-09 00:00:00,1,1.5,medio,0.9666666666668147,0.9666666666668147,0.1191666666666798,1,0.8475000000001349,False
EURUSD,H12,2020-01-09 00:00:00,1,1.5,ext150,-1.0,3.650000000000444,0.1191666666666798,0,-1.1191666666666797,False
