tf,ema,fib,rr,filtro,n,R,z,fuente
15,20,0.5,1.0,sin filtro,53057,-0.276402057210481,-63.25270247588371,real
15,20,0.5,1.0,K<=20/>=80,6290,-0.2043731338604819,-16.135649792577034,real
15,20,0.5,1.0,K<=30/>=70,10552,-0.2581982763076756,-26.363651883188243,real
15,20,0.5,1.0,cruce K>D,11761,-0.29590165597517964,-31.853084560117075,real
15,20,0.5,2.0,sin filtro,51559,-0.2871371713802945,-47.21291708992951,real
15,20,0.5,2.0,K<=20/>=80,5815,-0.21959123584539142,-12.03216370873296,real
15,20,0.5,2.0,K<=30/>=70,9884,-0.2714503894072418,-19.60235167237758,real
15,20,0.5,2.0,cruce K>D,11510,-0.29131736174246886,-22.500991397663345,real
15,20,0.5,3.0,sin filtro,50072,-0.3411875395069904,-46.576055046332954,real
15,20,0.5,3.0,K<=20/>=80,5392,-0.4170029371907823,-19.70217797329391,real
15,20,0.5,3.0,K<=30/>=70,9286,-0.4137496856043952,-25.458249930825243,real
15,20,0.5,3.0,cruce K>D,11211,-0.33136393336467723,-21.10971515622214,real
15,20,0.618,1.0,sin filtro,46836,-0.3002162807658821,-64.50463656627257,real
15,20,0.618,1.0,K<=20/>=80,8680,-0.2087614522293024,-19.328291129294815,real
15,20,0.618,1.0,K<=30/>=70,13258,-0.24037404657219963,-27.4519100335334,real
15,20,0.618,1.0,cruce K>D,9207,-0.34180863967047365,-32.6734254771357,real
15,20,0.618,2.0,sin filtro,45979,-0.27656879887188046,-42.41734111735406,real
15,20,0.618,2.0,K<=20/>=80,8236,-0.24558879822010116,-16.043299807169294,real
15,20,0.618,2.0,K<=30/>=70,12672,-0.25836432426069894,-20.942471491660626,real
15,20,0.618,2.0,cruce K>D,9025,-0.3051430753760434,-20.8350969319612,real
15,20,0.618,3.0,sin filtro,45109,-0.3020882184742188,-38.06461418474524,real
15,20,0.618,3.0,K<=20/>=80,7870,-0.3283991859444942,-17.783374640030864,real
15,20,0.618,3.0,K<=30/>=70,12204,-0.321144581121223,-21.49495405418306,real
15,20,0.618,3.0,cruce K>D,8871,-0.3189541320448647,-17.84502637836306,real
15,20,0.705,1.0,sin filtro,39579,-0.34240915241963216,-67.59113028052903,real
15,20,0.705,1.0,K<=20/>=80,9347,-0.23359764591211368,-22.360556115464064,real
15,20,0.705,1.0,K<=30/>=70,14169,-0.27030980105220986,-31.81932492769941,real
15,20,0.705,1.0,cruce K>D,7636,-0.41021176927080866,-35.92970548509419,real
15,20,0.705,2.0,sin filtro,39067,-0.2984293899022369,-42.09504454534111,real
15,20,0.705,2.0,K<=20/>=80,9112,-0.21497000271719904,-14.514566482087195,real
15,20,0.705,2.0,K<=30/>=70,13790,-0.25653118975794936,-21.46272843755521,real
15,20,0.705,2.0,cruce K>D,7479,-0.36170564220606366,-22.73335154600067,real
15,20,0.705,3.0,sin filtro,38608,-0.2862102679062966,-32.80758063401372,real
15,20,0.705,3.0,K<=20/>=80,8862,-0.2168377400197273,-11.818467299899865,real
15,20,0.705,3.0,K<=30/>=70,13470,-0.27728493683444955,-18.948904050853578,real
15,20,0.705,3.0,cruce K>D,7401,-0.3475135258699514,-17.796983821409743,real
15,20,0.786,1.0,sin filtro,29309,-0.40792904262268004,-69.64038224828323,real
15,20,0.786,1.0,K<=20/>=80,8807,-0.2824186910228038,-26.261316247501895,real
15,20,0.786,1.0,K<=30/>=70,13060,-0.3167441997295082,-35.87756769926846,real
15,20,0.786,1.0,cruce K>D,5797,-0.46437909900241203,-35.61946302224401,real
15,20,0.786,2.0,sin filtro,29058,-0.33608864888170564,-40.99216196018892,real
15,20,0.786,2.0,K<=20/>=80,8657,-0.2698468506818629,-17.793883067344414,real
15,20,0.786,2.0,K<=30/>=70,12876,-0.2740748673712955,-22.034098814197154,real
15,20,0.786,2.0,cruce K>D,5748,-0.3660916141082244,-20.078374910715638,real
15,20,0.786,3.0,sin filtro,28760,-0.3221432978661625,-31.95053679030999,real
15,20,0.786,3.0,K<=20/>=80,8480,-0.31858183588810596,-17.304745716779372,real
15,20,0.786,3.0,K<=30/>=70,12654,-0.28958604998948334,-18.984069334142344,real
15,20,0.786,3.0,cruce K>D,5672,-0.34708290894401367,-15.472863021840423,real
15,50,0.382,1.0,sin filtro,62164,-0.40542231804587997,-102.42441811114155,real
15,50,0.382,1.0,K<=20/>=80,7280,-0.5974509751690179,-54.080940779357526,real
15,50,0.382,1.0,K<=30/>=70,12929,-0.5886775353711444,-71.00673073073081,real
15,50,0.382,1.0,cruce K>D,13417,-0.33668007865686295,-38.83072529424096,real
15,50,0.382,2.0,sin filtro,59765,-0.4514719903082,-85.66514137718939,real
