dia,ts,i,fin,lado,entrada,stop,obj,riesgo,exceso,mecha,cuerpo,visto,A,B,C
2020-01-20,2020-01-20 07:29:00,3568,3634,-1,1.10986,1.11033,1.1089200000000001,4.699999999999704,0.20000000000131024,1.2000000000012,2.6999999999999247,False,False,True,False
2020-01-21,2020-01-21 08:29:00,3868,3922,1,1.10896,1.1086,1.10993,3.5999999999991594,1.7000000000000348,1.7000000000000348,2.5999999999992696,False,False,False,False
2020-01-22,2020-01-22 07:29:00,4144,4210,1,1.10791,1.10743,1.10868,4.8000000000003595,0.30000000000196536,2.000000000002,2.100000000000435,False,False,True,False
2020-01-30,2020-01-30 07:19:00,5870,5938,1,1.10087,1.10059,1.10179,2.80000000000058,0.4999999999988347,2.100000000000435,1.2000000000012,False,False,True,False
2020-02-06,2020-02-06 07:44:00,7315,7378,-1,1.10027,1.10066,1.0994900000000003,3.8999999999989043,2.100000000000435,3.5000000000007248,2.0999999999982144,False,False,False,False
2020-02-14,2020-02-14 07:59:00,9043,9103,-1,1.0841,1.08442,1.0834600000000003,3.1999999999987594,0.5000000000010552,1.40000000000029,1.9999999999997797,False,False,True,False
2020-02-20,2020-02-20 07:29:00,10189,10255,1,1.07855,1.07768,1.08152,8.699999999999264,2.100000000000435,9.200000000000319,1.9999999999997797,False,False,False,False
2020-03-04,2020-03-04 11:04:00,12823,12846,1,1.11397,1.11349,1.1185,4.799999999998139,4.599999999999049,7.299999999998974,3.4000000000000696,False,False,False,False
2020-03-05,2020-03-05 08:04:00,13075,13134,1,1.11286,1.11185,1.11436,10.099999999999554,4.700000000001925,11.700000000001154,5.599999999998939,False,False,False,True
2020-03-13,2020-03-13 10:19:00,14854,14886,1,1.11538,1.11473,1.12213,6.500000000000394,3.300000000001635,3.900000000001125,4.900000000001015,False,False,False,True
2020-03-18,2020-03-18 07:59:00,15690,15750,1,1.09722,1.09546,1.10451,17.599999999999838,7.399999999999629,10.799999999999699,13.300000000000534,False,False,False,True
2020-03-19,2020-03-19 07:19:00,15970,16038,1,1.08526,1.08122,1.0949,40.399999999998215,20.199999999999108,31.799999999999606,38.3,False,False,False,True
2020-04-16,2020-04-16 09:59:00,21732,21756,1,1.08689,1.08596,1.09111,9.299999999998754,0.9999999999998899,3.8999999999989043,6.399999999999739,True,True,True,True
2020-05-04,2020-05-04 06:09:00,25137,25207,1,1.0931,1.09245,1.09736,6.500000000000394,0.40000000000040004,1.9999999999997797,4.500000000000615,False,True,True,True
