ts,dir,riesgo_u,motivo,bruto,R
2020-01-06 09:30:00,largo,17.020000000000437,TP,3.0,2.911868390129262
2020-01-07 14:15:00,largo,15.319999999999709,SL,-1.0,-1.0979112271540488
2020-01-09 12:45:00,corto,15.05999999999949,SL,-1.0,-1.0996015936255015
2020-01-10 06:30:00,corto,7.600000000000364,SL,-1.0,-1.197368421052622
2020-01-14 10:30:00,corto,17.899999999999636,TP,3.0,2.916201117318434
2020-01-16 15:45:00,corto,25.854999999999563,SL,-1.0,-1.0580158576677634
2020-01-22 08:45:00,corto,15.539999999999054,SL,-1.0,-1.0965250965251023
2020-01-22 15:45:00,corto,17.320000000001528,TP,3.0,2.913394919168599
2020-02-07 07:15:00,corto,23.159999999999854,TP,3.0,2.9352331606217614
2020-02-11 13:30:00,corto,9.68999999999869,SL,-1.0,-1.154798761609928
2020-02-17 06:45:00,corto,12.8700000000008,TP,3.0,2.8834498834498907
2020-02-25 13:15:00,corto,31.26000000000022,SL,-1.0,-1.0479846449136272
2020-02-28 06:45:00,largo,89.24999999999909,SL,-1.0,-1.0168067226890758
2020-02-28 14:30:00,largo,110.5,TP,3.0,2.986425339366516
2020-03-03 06:45:00,largo,71.65999999999985,SL,-1.0,-1.02093217973765
2020-03-12 15:15:00,largo,92.13000000000011,TP,3.0,2.9837186584174535
2020-03-17 12:30:00,corto,265.28999999999996,SL,-1.0,-1.005654189754608
2020-03-27 09:30:00,largo,63.32999999999993,SL,-1.0,-1.0236854571293226
2020-04-03 07:30:00,largo,61.42000000000007,SL,-1.0,-1.0244220123738195
2020-04-09 12:30:00,largo,101.19999999999891,SL,-1.0,-1.014822134387352
2020-04-15 06:30:00,largo,38.82999999999993,SL,-1.0,-1.0386299253154778
2020-04-16 14:15:00,largo,72.51999999999862,TP,3.0,2.9793160507446217
2020-04-17 06:45:00,largo,33.2599999999984,SL,-1.0,-1.0450992182802186
2020-04-27 13:45:00,largo,46.19000000000051,SL,-1.0,-1.032474561593418
2020-06-04 08:45:00,corto,29.0,SL,-1.0,-1.0517241379310345
2020-06-10 14:45:00,corto,51.30999999999949,SL,-1.0,-1.0292340674332492
2020-06-12 10:30:00,corto,40.26999999999862,SL,-1.0,-1.0372485721380693
2020-06-16 07:15:00,largo,35.02000000000044,TP,3.0,2.957167332952599
2020-06-17 14:45:00,largo,59.57999999999993,SL,-1.0,-1.0251762336354482
2020-06-18 14:45:00,largo,69.63999999999942,SL,-1.0,-1.0215393452039059
2020-06-22 13:45:00,largo,45.89000000000124,TP,3.0,2.9673131401176738
2020-07-01 06:30:00,largo,24.540000000000873,SL,-1.0,-1.061124694376526
2020-07-02 12:15:00,corto,13.450000000000728,SL,-1.0,-1.1115241635687672
2020-07-02 14:15:00,corto,58.219999999999345,SL,-1.0,-1.025764342150464
2020-07-09 13:30:00,corto,53.98999999999978,SL,-1.0,-1.027782922763475
2020-07-10 14:15:00,largo,91.63000000000102,TP,3.0,2.9836298155625887
2020-07-24 11:15:00,corto,42.2599999999984,TP,3.0,2.9645054424988153
2020-08-04 07:30:00,corto,51.840000000000146,SL,-1.0,-1.0289351851851851
2020-08-06 14:30:00,corto,51.090000000000146,SL,-1.0,-1.0293599530240751
2020-08-07 12:30:00,corto,50.780000000000655,SL,-1.0,-1.0295391886569512
2020-08-24 13:45:00,corto,67.65999999999985,SL,-1.0,-1.022169671888856
2020-08-26 09:30:00,corto,14.469999999999345,SL,-1.0,-1.1036627505183185
2020-08-31 15:15:00,corto,53.51000000000022,SL,-1.0,-1.0280321435245747
2020-09-02 09:30:00,corto,15.599999999998545,SL,-1.0,-1.0961538461538551
2020-09-04 10:15:00,corto,44.289999999999054,TP,3.0,2.9661323097764725
2020-09-08 14:45:00,corto,108.70999999999913,TP,3.0,2.9862018213595802
2020-09-14 12:30:00,largo,34.61000000000058,TP,3.0,2.956659924877204
2020-09-22 15:45:00,largo,95.98999999999978,SL,-1.0,-1.0156266277737265
2020-09-24 14:30:00,corto,137.20000000000073,SL,-1.0,-1.010932944606414
2020-10-05 11:15:00,corto,29.729999999999563,SL,-1.0,-1.05045408678103
2020-10-06 10:15:00,largo,26.539999999999054,SL,-1.0,-1.0565184626978166
2020-11-02 06:45:00,corto,36.800999999999476,SL,-1.0,-1.0407597619629907
2020-11-02 14:45:00,largo,68.22999999999956,SL,-1.0,-1.0219844643118865
