i_base,i_ent,k,alcista,entrada,objetivo,stop,nat,sim,rr,ts,riesgo_u,R,coste_R,R_neto,ins,coste,uni
18,19,1,False,1877.495,1871.848,1886.548,1.0,0.0,0.623771125593711,2023-01-11 13:59:00,905.3000000000111,0.623771125593711,0.03866121727604062,0.5851099083176703,XAUUSD,35.0,u
24,25,1,False,1899.945,1892.205,1909.538,0.0,0.0,0.8068383196080422,2023-01-13 13:59:00,959.3000000000075,-1.0,0.03648493693318016,-1.0364849369331801,XAUUSD,35.0,u
26,27,1,False,1919.415,1899.025,1928.885,1.0,1.0,2.15311510031677,2023-01-16 05:59:00,947.0000000000027,2.15311510031677,0.03695881731784572,2.1161562829989244,XAUUSD,35.0,u
20,21,1,True,4154.389,4162.039,4140.349,1.0,1.0,0.5448717948717704,2023-01-17 13:58:00,14.039999999999964,0.5448717948717704,0.1424501424501428,0.4024216524216276,GRXEUR,2.0,p
22,23,1,False,4190.499,4154.349,4196.379,0.0,1.0,6.147959183673294,2023-01-18 13:59:00,5.880000000000109,-1.0,0.34013605442176237,-1.3401360544217624,GRXEUR,2.0,p
33,34,1,False,1903.298,1897.745,1925.798,0.0,0.0,0.24680000000000493,2023-01-18 21:59:00,2250.0,-1.0,0.015555555555555555,-1.0155555555555555,XAUUSD,35.0,u
34,35,1,True,1909.995,1925.798,1900.855,1.0,1.0,1.7289934354486138,2023-01-19 05:59:00,913.9999999999873,1.7289934354486138,0.03829321663019747,1.6907002188184164,XAUUSD,35.0,u
26,27,1,False,4107.379,4092.039,4123.499,0.0,0.0,0.9516129032257937,2023-01-20 13:57:00,16.11999999999989,-1.0,0.12406947890818942,-1.1240694789081895,GRXEUR,2.0,p
38,39,1,False,1924.055,1923.038,1937.435,1.0,0.0,0.07600896860987008,2023-01-20 13:59:00,1337.9999999999882,0.07600896860987008,0.026158445440956885,0.0498505231689132,XAUUSD,35.0,u
40,41,1,False,1926.145,1920.508,1935.445,1.0,0.0,0.6061290322580614,2023-01-23 05:59:00,929.9999999999955,0.6061290322580614,0.03763440860215072,0.5684946236559106,XAUUSD,35.0,u
28,29,1,False,4134.369,4103.339,4146.849,0.0,0.0,2.4863782051280907,2023-01-23 13:59:00,12.480000000000473,-1.0,0.1602564102564042,-1.1602564102564041,GRXEUR,2.0,p
30,31,1,False,4134.359,4126.339,4166.379,1.0,0.0,0.2504684572142584,2023-01-24 13:59:00,32.01999999999953,0.2504684572142584,0.062460961898814164,0.18800749531544425,GRXEUR,2.0,p
31,32,1,True,4155.069,4166.379,4130.379,0.0,0.0,0.4580801944106625,2023-01-24 20:59:00,24.69000000000051,-1.0,0.0810044552450368,-1.0810044552450369,GRXEUR,2.0,p
45,46,1,True,1936.698,1942.348,1917.065,1.0,0.0,0.28778077726276435,2023-01-24 21:59:00,1963.3000000000038,0.28778077726276435,0.01782712779503893,0.26995364946772543,XAUUSD,35.0,u
46,47,1,False,1927.505,1917.065,1939.528,0.0,0.0,0.8683356899276496,2023-01-25 05:59:00,1202.299999999991,-1.0,0.029110870830907642,-1.0291108708309076,XAUUSD,35.0,u
53,54,1,False,1928.735,1919.685,1934.918,1.0,1.0,1.463690765000803,2023-01-27 13:59:00,618.2999999999993,1.463690765000803,0.0566068251657772,1.4070839398350259,XAUUSD,35.0,u
