par,lado,R,neta,tam,prof,cierre,hora,rr
EURUSD,1,-1.0,-1.0851190476190413,0.9588400374181901,0.3951219512194805,0.4243902439024892,8,0.7023809523808753
EURUSD,1,-1.0,-1.1300000000000143,2.2728329072739135,0.01431492842536131,0.21063394683024506,16,3.5090909090912725
EURUSD,1,-1.0,-1.164367816091968,1.645106175250132,0.2522255192878485,0.005934718100863422,12,3.850574712643963
EURUSD,1,-1.0,-1.4612903225805969,1.0149407521896168,0.15228426395937197,0.00507614213201288,16,6.322580645160505
EURUSD,1,-1.0,-1.126548672566388,0.9299895506791584,0.36516853932588683,0.2696629213482263,20,1.1504424778763254
EURUSD,-1,1.1730769230772515,0.8980769230771742,0.555258942872369,0.08653846153839378,0.41346153846149947,4,1.1730769230772515
EURUSD,1,-1.0,-1.1459183673469417,1.116093672147504,0.18750000000003716,0.24999999999995043,12,1.714285714285876
EURUSD,-1,1.2195121951217531,0.8707317073168933,0.4246771879483363,0.22972972972974595,0.32432432432436487,4,1.2195121951217531
EURUSD,-1,-1.0,-1.157142857142863,0.8905852417301969,0.13571428571439673,0.5142857142856508,4,0.7472527472527901
EURUSD,-1,-1.0,-1.2803921568627394,1.5103999999999689,0.08898305084747915,0.12711864406778703,12,4.03921568627433
EURUSD,1,-1.0,-1.5958333333332888,0.9716599190282812,0.03472222222229825,0.13194444444439413,20,5.208333333332832
EURUSD,-1,-1.0,-1.2166666666667052,0.4760285617136622,0.44285714285723804,0.4999999999998414,0,0.5303030303032342
EURUSD,-1,-1.0,-1.2102941176470545,1.750933152358382,0.1744186046511848,0.08914728682168607,16,3.455882352941215
EURUSD,-1,0.16666666666671073,-0.003571428571394253,0.29036827195469583,1.3902439024388527,0.6585365853658008,4,0.16666666666671073
EURUSD,-1,-1.0,-1.1265486725663632,2.337078651685482,0.2335164835164827,0.076923076923091,12,2.973451327433456
EURUSD,1,-1.0,-1.3325581395349375,0.8583690987123728,0.10833333333331482,0.25,20,2.0930232558140616
EURUSD,-1,0.8679245283018394,0.5981132075470814,0.4129583481666356,0.7068965517237616,0.20689655172433594,0,0.8679245283018394
EURUSD,1,-1.0,-1.2072463768115704,2.7051573143042615,0.0743405275779453,0.09112709832135403,16,5.492753623187715
EURUSD,-1,0.2374999999998508,0.05874999999988073,0.43478260869567475,0.523076923076902,0.70769230769246,4,0.2374999999998508
EURUSD,1,2.3934426229508494,2.1590163934426525,1.0911701363963846,0.36184210526300026,0.03947368421063396,12,2.3934426229508494
EURUSD,-1,0.4722222222221965,0.27361111111110026,0.7474518686296843,0.07070707070708203,0.6565656565656657,4,0.4722222222221965
EURUSD,-1,0.6039603960395636,0.5331683168316474,1.6866643812136173,0.3170731707316919,0.5040650406504329,12,0.6039603960395636
EURUSD,1,-1.0,-1.3404761904763,1.075592327942845,0.2517482517481855,0.04195804195800504,0,3.2619047619060333
EURUSD,1,-1.0,-1.1349056603773509,0.7167106752168851,0.2105263157896828,0.9052631578945843,4,0.0849056603774909
EURUSD,-1,-1.0,-1.0893749999999975,0.7935930105569812,0.7798165137614586,0.6880733944954166,8,0.21249999999999827
EURUSD,-1,0.02173913043473224,-0.04043478260874687,1.4677538917715625,0.1868686868686897,0.974747474747532,12,0.02173913043473224
EURUSD,-1,-1.0,-1.3177777777777344,0.7814661134163595,0.23008849557514124,0.1681415929204618,8,2.088888888888472
EURUSD,1,-1.0,-1.0748691099476497,3.8722442057659374,0.058394160583934984,0.22043795620436427,16,2.7958115183248817
EURUSD,-1,-1.0,-1.420588235294109,1.1234673510122646,0.1472081218273591,0.025380710659951688,20,5.647058823529066
EURUSD,1,0.5294117647059439,0.36117647058830027,0.3437410484102827,1.1666666666662349,0.25000000000009254,4,0.5294117647059439
EURUSD,1,-1.0,-1.141584158415848,0.9066378845115433,0.2083333333333884,0.39285714285709566,16,1.0099009900990752
EURUSD,-1,-1.0,-1.1459183673469417,0.5221339387060316,0.4565217391302721,0.608695652174018,20,0.3673469387754316
EURUSD,-1,-1.0,-1.1857142857143008,0.5666857469947446,0.15151515151527387,0.6262626262625787,0,0.4805194805194955
EURUSD,-1,-1.0,-1.4766666666667192,0.6431417188389698,0.15044247787609924,0.11504424778757062,4,3.3333333333340733
EURUSD,1,-1.0,-1.2166666666666321,1.1960897067280352,0.08173076923076769,0.2355769230769626,16,2.409090909090496
EURUSD,-1,-1.0,-1.132407407407411,0.9713855421686797,0.186046511627919,0.6511627906976304,12,0.4166666666667352
EURUSD,-1,0.10714285714274385,-0.14821428571434614,0.4452554744525456,0.01639344262305823,0.9016393442623786,4,0.10714285714274385
EURUSD,-1,-1.0,-1.1554347826086904,1.525179856115009,0.1367924528302534,0.29716981132072556,16,1.6195652173912387
EURUSD,1,0.5412844036695865,0.41009174311913205,0.7097966728279788,0.7500000000001735,0.38541666666670765,4,0.5412844036695865
EURUSD,1,-1.0,-1.1857142857143008,0.6762360446571316,0.33018867924512296,0.39622641509439893,20,0.8311688311688649
EURUSD,-1,0.11111111111115027,-0.11587301587300972,0.44936502767833547,0.014492753622959879,0.8985507246376718,0,0.11111111111115027
EURUSD,1,-1.0,-1.157142857142863,1.3333333333333426,0.014285714285702201,0.41904761904761706,16,1.340659340659389
EURUSD,-1,0.3823529411763553,-0.038235294117753726,0.3164556962025796,0.044444444444236106,0.7111111111112317,0,0.3823529411763553
EURUSD,-1,0.445255474452524,0.3408759124087355,0.7899216887981361,0.7068965517241446,0.47413793103450586,8,0.445255474452524
EURUSD,-1,1.1999999999999318,1.0899999999999386,1.4681789540012402,0.22746781115886455,0.33047210300427304,12,1.1999999999999318
EURUSD,1,-1.0,-1.325000000000003,0.7797147385102184,0.03252032520328872,0.3252032520325262,8,1.8863636363633955
EURUSD,1,-1.0,-1.571999999999809,0.9993293091884746,0.10067114093966133,0.06711409395972454,20,5.559999999998152
EURUSD,-1,1.6857142857152645,1.2771428571436614,0.5018157807858121,0.23684210526292723,0.22368421052629273,0,1.6857142857152645
EURUSD,1,-1.0,-1.166279069767426,0.6024885396200631,0.2391304347827766,0.6956521739131589,4,0.325581395348615
EURUSD,-1,0.8749999999997572,0.6962499999997871,0.5634715025906418,0.7241379310346939,0.19540229885059524,8,0.8749999999997572
EURUSD,-1,1.181818181818113,1.0193181818181116,0.930521091811474,0.27999999999989933,0.3066666666667397,12,1.181818181818113
EURUSD,1,-1.0,-1.3325581395349375,0.5286646069344032,0.38961038961037836,0.16883116883113514,0,1.4883720930234359
EURUSD,1,0.2873563218390365,0.205172413793063,0.5818181818181914,1.5454545454545914,0.43181818181823917,4,0.2873563218390365
EURUSD,-1,1.0808823529413913,0.9757352941178469,1.2259774685221707,0.529729729729746,0.20540540540532107,8,1.0808823529413913
EURUSD,-1,0.5781249999999946,0.35468749999998544,0.6389351081531468,0.05208333333320805,0.6145833333333816,0,0.5781249999999946
EURUSD,1,-1.0,-1.4333333333334102,0.9088191330343719,0.05921052631574046,0.15789473684212063,20,3.878787878788409
EURUSD,-1,-1.0,-1.650000000000334,0.8562149394744532,0.11034482758616782,0.04137931034479379,4,6.318181818185075
EURUSD,-1,-1.0,-1.109160305343518,0.7081174438686622,0.5609756097562341,0.5040650406503434,8,0.46564885496185926
EURUSD,-1,0.8766233766234235,0.7837662337662731,0.9744148067501311,0.6145251396647511,0.24581005586592525,12,0.8766233766234235
EURUSD,1,0.6400000000002665,0.35400000000023496,0.35352071863228657,0.3442622950820388,0.47540983606541265,0,0.6400000000002665
EURUSD,-1,0.44067796610150356,0.319491525423556,0.48666080328343625,1.0481927710846597,0.3734939759037047,8,0.44067796610150356
EURUSD,1,-1.0,-1.3108695652174556,0.7805182641273747,0.015999999999927524,0.35200000000000425,16,1.7608695652177062
EURUSD,1,-1.0,-1.1505263157894727,0.3758389261745794,1.5714285714282317,0.125,0,0.5157894736843138
EURUSD,-1,2.4047619047613007,2.0642857142851807,0.925553319919483,0.036231884058049134,0.26811594202898437,4,2.4047619047613007
EURUSD,1,-1.0,-1.038337801608579,1.0094431781178521,2.3096774193548737,0.09677419354845179,12,0.3753351206433892
EURUSD,1,-1.0,-1.27499999999996,2.1138211382114225,0.10256410256413359,0.0641025641025568,20,5.61538461538386
EURUSD,-1,-1.0,-1.5296296296296443,0.7394957983194025,0.07272727272713693,0.17272727272737917,4,3.37037037037034
