id,gano,R,ts,ins
EUR01578,1,4.0425531914896435,2024-08-20 17:00,EURUSD
EUR00415,1,0.1635220125787121,2021-03-18 21:00,EURUSD
EUR00293,0,-1.0,2020-11-02 05:00,EURUSD
EUR01075,0,-1.0,2023-01-17 01:00,EURUSD
EUR01487,1,0.982456140350761,2024-05-22 21:00,EURUSD
EUR00690,0,-1.0,2021-12-23 21:00,EURUSD
EUR01542,0,-1.0,2024-07-23 21:00,EURUSD
EUR01497,0,-1.0,2024-06-04 21:00,EURUSD
EUR01516,1,0.9747474747474226,2024-06-27 09:00,EURUSD
EUR01671,0,-1.0,2024-11-12 13:00,EURUSD
EUR01373,0,-1.0,2024-01-16 09:00,EURUSD
EUR00344,1,1.77037037037034,2020-12-28 13:00,EURUSD
EUR00945,0,-1.0,2022-09-19 21:00,EURUSD
EUR01367,0,-1.0,2024-01-10 21:00,EURUSD
EUR00530,0,-1.0,2021-07-12 01:00,EURUSD
EUR01992,0,-1.0,2025-09-18 17:00,EURUSD
EUR00927,1,0.5352112676056305,2022-09-06 01:00,EURUSD
EUR00081,1,2.0279720279719,2020-04-03 09:00,EURUSD
EUR00509,0,-1.0,2021-06-29 09:00,EURUSD
EUR00244,0,-1.0,2020-09-09 09:00,EURUSD
EUR00278,0,-1.0,2020-10-12 21:00,EURUSD
EUR00968,0,-1.0,2022-10-13 13:00,EURUSD
EUR01132,0,-1.0,2023-03-22 09:00,EURUSD
EUR00047,1,0.5185185185184759,2020-02-25 21:00,EURUSD
EUR02292,0,-1.0,2026-07-28 01:00,EURUSD
EUR01644,1,0.8529411764706074,2024-10-20 17:00,EURUSD
EUR01869,0,-1.0,2025-05-29 17:00,EURUSD
EUR00809,0,-1.0,2022-05-04 09:00,EURUSD
EUR01079,0,-1.0,2023-01-19 21:00,EURUSD
EUR02014,0,-1.0,2025-10-07 13:00,EURUSD
EUR01298,0,-1.0,2023-10-29 17:00,EURUSD
EUR01051,1,0.45000000000002777,2022-12-23 09:00,EURUSD
EUR01124,1,0.9008620689654463,2023-03-17 01:00,EURUSD
EUR00571,1,4.218750000000054,2021-08-25 05:00,EURUSD
EUR01418,0,-1.0,2024-02-29 21:00,EURUSD
EUR00775,0,-1.0,2022-03-29 09:00,EURUSD
EUR01763,0,-1.0,2025-02-19 05:00,EURUSD
EUR01634,0,-1.0,2024-10-14 01:00,EURUSD
EUR01799,1,0.3445378151260614,2025-03-25 01:00,EURUSD
EUR01696,0,-1.0,2024-12-11 21:00,EURUSD
EUR00833,1,2.5145631067957797,2022-05-30 13:00,EURUSD
EUR01073,1,0.3712574850299656,2023-01-16 17:00,EURUSD
EUR01994,1,0.3605769230769226,2025-09-23 09:00,EURUSD
EUR00434,0,-1.0,2021-04-15 09:00,EURUSD
EUR01929,0,-1.0,2025-07-22 21:00,EURUSD
EUR00962,0,-1.0,2022-10-10 13:00,EURUSD
EUR02077,1,0.22992700729923962,2025-12-23 05:00,EURUSD
EUR00544,0,-1.0,2021-07-20 09:00,EURUSD
EUR00839,0,-1.0,2022-06-03 01:00,EURUSD
EUR00873,0,-1.0,2022-07-12 01:00,EURUSD
EUR01679,1,0.8780487804875539,2024-11-20 21:00,EURUSD
EUR01724,1,0.504854368932179,2025-01-15 17:00,EURUSD
EUR01452,0,-1.0,2024-04-15 09:00,EURUSD
EUR02106,0,-1.0,2026-01-15 13:00,EURUSD
EUR02218,0,-1.0,2026-04-30 05:00,EURUSD
EUR01167,0,-1.0,2023-05-09 13:00,EURUSD
EUR01545,0,-1.0,2024-07-24 21:00,EURUSD
EUR00326,0,-1.0,2020-12-09 05:00,EURUSD
EUR00549,0,-1.0,2021-07-28 09:00,EURUSD
EUR00730,1,1.2777777777778234,2022-02-11 01:00,EURUSD
EUR00350,1,1.4095238095238507,2021-01-05 21:00,EURUSD
EUR01269,0,-1.0,2023-09-25 21:00,EURUSD
EUR02072,0,-1.0,2025-12-18 21:00,EURUSD
EUR00671,1,1.7230769230768337,2021-12-06 05:00,EURUSD
NAS01960,1,0.9223078766576095,2025-10-22 13:00,NAS100
NAS00116,1,1.838889923635757,2020-05-22 01:00,NAS100
NAS00022,1,0.15464616775944412,2020-02-06 01:00,NAS100
NAS01850,1,0.19223831456546875,2025-06-30 21:00,NAS100
NAS01497,1,3.6616639340816928,2024-06-24 01:00,NAS100
NAS01170,0,-1.0,2023-05-19 05:00,NAS100
NAS02115,0,-1.0,2026-04-27 13:00,NAS100
NAS00946,0,-1.0,2022-09-15 01:00,NAS100
NAS00087,0,-1.0,2020-04-17 13:00,NAS100
NAS01973,1,4.600540286586481,2025-11-10 17:00,NAS100
NAS00452,0,-1.0,2021-04-19 17:00,NAS100
NAS01668,0,-1.0,2024-12-30 17:00,NAS100
NAS00144,1,0.5498084291187775,2020-06-16 21:00,NAS100
NAS01883,1,0.6826434175129324,2025-08-06 05:00,NAS100
NAS01923,0,-1.0,2025-09-08 17:00,NAS100
NAS00867,0,-1.0,2022-06-19 17:00,NAS100
NAS01156,1,0.2003220611915983,2023-05-05 01:00,NAS100
NAS01071,0,-1.0,2023-01-27 05:00,NAS100
NAS01925,0,-1.0,2025-09-10 01:00,NAS100
NAS00314,1,0.3635407905803036,2020-11-18 21:00,NAS100
NAS00492,0,-1.0,2021-06-01 21:00,NAS100
NAS00661,1,2.7237073039016906,2021-12-03 13:00,NAS100
NAS01806,0,-1.0,2025-05-20 09:00,NAS100
NAS00833,1,0.9974509922922913,2022-05-20 05:00,NAS100
NAS00847,0,-1.0,2022-06-01 05:00,NAS100
NAS02087,1,3.3174589253347464,2026-03-23 21:00,NAS100
NAS01586,1,0.5513075719126325,2024-10-01 21:00,NAS100
NAS00709,1,0.16208200938115142,2022-01-25 13:00,NAS100
NAS01684,1,1.164051716204966,2025-01-10 01:00,NAS100
NAS00072,0,-1.0,2020-04-01 05:00,NAS100
NAS02137,0,-1.0,2026-05-20 13:00,NAS100
NAS01298,1,0.4418644211958683,2023-10-30 09:00,NAS100
NAS00123,1,0.7087027914613928,2020-06-01 17:00,NAS100
NAS01698,0,-1.0,2025-01-29 05:00,NAS100
NAS00167,0,-1.0,2020-07-02 21:00,NAS100
NAS01647,1,0.7362041290749688,2024-12-05 01:00,NAS100
NAS00776,1,0.4781624500665915,2022-03-23 09:00,NAS100
NAS00404,1,1.574848724020001,2021-03-01 05:00,NAS100
NAS00380,0,-1.0,2021-02-05 13:00,NAS100
NAS01319,1,0.4947793869990285,2023-11-17 05:00,NAS100
NAS00080,1,0.5275030558951036,2020-04-09 01:00,NAS100
NAS01494,0,-1.0,2024-06-20 17:00,NAS100
NAS01971,1,0.10422845172527073,2025-11-06 21:00,NAS100
NAS00137,0,-1.0,2020-06-10 17:00,NAS100
NAS00450,0,-1.0,2021-04-16 09:00,NAS100
NAS01725,0,-1.0,2025-02-26 21:00,NAS100
NAS02055,1,1.2162242958723959,2026-02-17 05:00,NAS100
NAS01062,0,-1.0,2023-01-17 05:00,NAS100
NAS00865,1,1.3558768656716293,2022-06-16 13:00,NAS100
NAS01459,0,-1.0,2024-05-09 17:00,NAS100
NAS00522,0,-1.0,2021-06-29 21:00,NAS100
NAS00767,1,0.5773861967694722,2022-03-10 21:00,NAS100
NAS01524,0,-1.0,2024-07-22 13:00,NAS100
NAS00264,1,1.9865961199296092,2020-10-04 21:00,NAS100
NAS01431,1,2.59316279804173,2024-03-28 13:00,NAS100
NAS00733,0,-1.0,2022-02-10 09:00,NAS100
NAS01467,0,-1.0,2024-05-16 01:00,NAS100
NAS01096,1,0.26241974317818206,2023-02-22 09:00,NAS100
NAS01372,1,0.4553916491954931,2024-01-28 17:00,NAS100
NAS01891,1,0.31409202958096744,2025-08-12 21:00,NAS100
NAS01517,0,-1.0,2024-07-16 05:00,NAS100
NAS01943,0,-1.0,2025-10-07 01:00,NAS100
NAS01401,0,-1.0,2024-02-28 17:00,NAS100
NAS01213,0,-1.0,2023-07-20 05:00,NAS100
NAS02134,1,2.6269452574839676,2026-05-18 17:00,NAS100
NAS00531,0,-1.0,2021-07-12 17:00,NAS100
NAS00655,0,-1.0,2021-11-24 17:00,NAS100
NAS01501,0,-1.0,2024-07-01 05:00,NAS100
NAS01842,1,1.0956566970090507,2025-06-25 13:00,NAS100
NAS01724,0,-1.0,2025-02-26 13:00,NAS100
NAS00194,1,4.37685459940667,2020-08-04 05:00,NAS100
NAS01809,1,0.43062729197872623,2025-05-22 13:00,NAS100
NAS00190,0,-1.0,2020-07-31 13:00,NAS100
NAS00250,1,0.3516704049108863,2020-09-23 05:00,NAS100
NAS01875,0,-1.0,2025-07-29 05:00,NAS100
NAS01817,1,1.2630051300512695,2025-06-03 01:00,NAS100
NAS00238,1,3.3068024062933374,2020-09-14 05:00,NAS100
NAS01493,0,-1.0,2024-06-20 13:00,NAS100
NAS00149,1,1.0055031446541367,2020-06-18 09:00,NAS100
NAS00957,0,-1.0,2022-09-26 21:00,NAS100
NAS01072,0,-1.0,2023-01-30 05:00,NAS100
NAS00964,0,-1.0,2022-09-30 05:00,NAS100
NAS01091,0,-1.0,2023-02-15 05:00,NAS100
NAS01323,0,-1.0,2023-11-21 21:00,NAS100
NAS01694,1,0.7101749020938107,2025-01-27 05:00,NAS100
NAS01587,0,-1.0,2024-10-02 01:00,NAS100
NAS00528,1,0.9063528220703441,2021-07-08 21:00,NAS100
NAS00216,1,0.5250410509030685,2020-08-27 05:00,NAS100
NAS01343,0,-1.0,2023-12-18 13:00,NAS100
NAS00720,1,0.4132150862489058,2022-02-03 01:00,NAS100
NAS02119,0,-1.0,2026-04-30 01:00,NAS100
NAS01900,1,3.617287854235111,2025-08-20 05:00,NAS100
NAS01022,1,1.9734026291653135,2022-11-30 09:00,NAS100
NAS01781,1,0.5799034591619998,2025-04-28 13:00,NAS100
NAS00235,1,0.42109548884425424,2020-09-10 09:00,NAS100
NAS00336,1,0.5129974695191781,2020-12-14 21:00,NAS100
NAS00311,0,-1.0,2020-11-17 09:00,NAS100
NAS01994,1,1.1185756781433396,2025-12-05 09:00,NAS100
NAS00686,1,3.738439306358458,2021-12-29 01:00,NAS100
NAS00889,0,-1.0,2022-07-15 01:00,NAS100
NAS02176,0,-1.0,2026-07-07 17:00,NAS100
NAS01327,0,-1.0,2023-11-24 05:00,NAS100
NAS00346,1,0.45410334346514647,2020-12-29 05:00,NAS100
NAS00614,1,1.9412059044283272,2021-10-04 13:00,NAS100
NAS01001,0,-1.0,2022-11-08 13:00,NAS100
NAS00402,0,-1.0,2021-02-25 17:00,NAS100
NAS01142,1,0.4299738219894913,2023-04-17 01:00,NAS100
NAS01075,0,-1.0,2023-02-01 09:00,NAS100
NAS01665,0,-1.0,2024-12-26 21:00,NAS100
NAS00307,1,1.6184880532706476,2020-11-12 13:00,NAS100
NAS01795,0,-1.0,2025-05-13 13:00,NAS100
NAS01783,0,-1.0,2025-04-29 01:00,NAS100
NAS00308,1,0.33888671513005564,2020-11-13 09:00,NAS100
NAS00291,1,0.5515818128310734,2020-10-29 13:00,NAS100
NAS00236,0,-1.0,2020-09-10 21:00,NAS100
NAS01790,1,0.3499066787246742,2025-05-05 13:00,NAS100
NAS01229,0,-1.0,2023-08-08 01:00,NAS100
NAS00105,1,0.42578271642016297,2020-05-14 09:00,NAS100
NAS01138,0,-1.0,2023-04-13 01:00,NAS100
NAS01726,1,0.8758424020767209,2025-02-27 05:00,NAS100
NAS00292,1,0.2553646682125902,2020-10-30 01:00,NAS100
NAS02122,1,1.55223991665412,2026-05-01 05:00,NAS100
NAS01333,1,0.7065476716444367,2023-11-30 13:00,NAS100
NAS01456,1,1.3687491078650647,2024-05-02 05:00,NAS100
NAS00267,1,5.245586193215616,2020-10-06 17:00,NAS100
NAS01452,0,-1.0,2024-04-29 13:00,NAS100
NAS00290,1,0.2916294642857236,2020-10-29 05:00,NAS100
NAS01874,1,0.11638181365636854,2025-07-28 01:00,NAS100
NAS01652,1,1.1938270635354657,2024-12-10 01:00,NAS100
NAS01076,1,1.0136862581631314,2023-02-01 21:00,NAS100
NAS01147,0,-1.0,2023-04-26 01:00,NAS100
NAS02156,1,0.5847814598358657,2026-06-12 05:00,NAS100
NAS00735,0,-1.0,2022-02-13 21:00,NAS100
NAS00051,0,-1.0,2020-03-13 09:00,NAS100
NAS01958,1,0.7047066589884234,2025-10-22 01:00,NAS100
NAS00046,1,0.896109770808211,2020-03-04 05:00,NAS100
NAS01513,1,2.718060672953586,2024-07-14 17:00,NAS100
NAS01353,0,-1.0,2024-01-03 09:00,NAS100
NAS01251,1,0.6194945848375236,2023-08-29 21:00,NAS100
NAS01877,1,0.8432008135508846,2025-07-30 05:00,NAS100
NAS00772,0,-1.0,2022-03-20 17:00,NAS100
NAS01133,0,-1.0,2023-04-02 17:00,NAS100
NAS01757,1,0.4165153020067844,2025-03-27 09:00,NAS100
NAS00276,0,-1.0,2020-10-15 09:00,NAS100
NAS00344,0,-1.0,2020-12-23 09:00,NAS100
NAS01607,0,-1.0,2024-10-27 21:00,NAS100
NAS01241,1,0.3734060247643698,2023-08-18 09:00,NAS100
NAS00111,1,1.7750834260289836,2020-05-19 05:00,NAS100
NAS01945,1,0.38175672969875335,2025-10-09 13:00,NAS100
NAS00609,0,-1.0,2021-09-29 13:00,NAS100
