tf,nA,brutaA,netaA,nB,brutaB,netaB,dif,z
H1,28227,0.09578861378499709,-0.13885548872737696,19181,0.07300553795379519,-0.14449751054721308,-0.0227830758312019,-1.675058179410745
H2,13872,0.15940201865756573,-0.0013252005736055076,9308,0.09239737841205191,-0.05890612864166821,-0.06700464024551382,-1.0174229740241099
H4,6809,0.08227061428049237,-0.02268315525611627,4583,0.06320810529582946,-0.03997302412009335,-0.019062508984662913,-0.6501303374451686
H8,2945,0.07260600623760953,0.0006735012125143324,1985,0.05076922563990412,-0.01685981157479689,-0.021836780597705413,-0.5036652451158835
H12,1822,0.1398296170781004,0.08504774639161947,1286,0.10352873097198065,0.05462388535095292,-0.036300886106119756,-0.6012118275176529
D1,1156,0.05036745794041908,0.01866055538308937,796,0.030183374391726147,-0.0047623267035179564,-0.020184083548692933,-0.3328367127388108
