tf,N,k,M,aj_n,aj_ret,aj_pf,aj_t,fu_n,fu_ret,fu_pf,fu_t
60,20,1.0,5,1932,-0.9747268908956839,0.7433934178080439,-3.809120879543652,1268,-0.023974052027389003,0.6613191368452782,-4.425264556966058
60,20,1.0,10,1314,-0.9133739221237549,0.7374168393547024,-3.669732189948811,874,-0.07895474007566683,0.6615792993277184,-4.087483731701137
60,20,1.0,20,910,-0.7873669910304342,0.8176200366776544,-2.095201193085174,597,-0.18462890609210914,0.6357726799208245,-3.816358480614636
60,20,1.0,40,488,0.018745747579521854,1.0040536425432705,0.028670197284187203,330,-0.3836523399929579,0.8534976606519192,-0.9316645958348508
60,20,2.0,5,1932,-0.8517303812267367,0.7325651403023894,-4.795829616223348,1268,-0.10610274869642011,0.7415738324990963,-3.7517001923615783
60,20,2.0,10,1314,-0.7356220702543024,0.7695222795493354,-3.6167912979376804,874,-0.18193825883899206,0.7412742915701033,-3.4568609472598664
60,20,2.0,20,910,-0.40935148309928737,0.9001305498595238,-1.2736495826380485,597,-0.2824903676415711,0.819339145063181,-1.9436037524562435
60,20,2.0,40,488,0.053849494256505315,1.015770545886801,0.13587559368455973,330,-0.2747018787390749,0.8801586718893896,-0.8862874722072367
60,20,3.0,5,1932,-0.6776038687698218,0.7656752920679597,-4.249668994186598,1268,-0.14383602991654754,0.8236973061639609,-2.382097375403584
60,20,3.0,10,1314,-0.6028673644999933,0.7841426017210009,-3.362003063642107,874,-0.1809606806154217,0.8067005362995273,-2.4385950671207075
60,20,3.0,20,910,-0.4727102134338801,0.8348223917694676,-2.1718098415967035,597,-0.12072801315499149,0.8958526771425359,-1.0684176600403907
60,20,3.0,40,488,0.20754793491948065,1.0762654326524699,0.6583295795445229,330,0.04580709544575967,1.0219001489219135,0.15352223090040548
60,40,1.0,5,1410,-0.8986739506550829,0.7646010340868854,-3.4603418217819346,890,-0.0801279162604649,0.72801177417031,-3.4543389901730004
60,40,1.0,10,1035,-0.9035238875812516,0.7088653665204535,-3.9101289849421246,658,-0.07961449157630152,0.6199677656041063,-4.599264284677311
60,40,1.0,20,749,-0.8417370122713617,0.7376139075203764,-2.9475136498018024,485,-0.13402586286701768,0.5595170762840156,-4.604534871661224
60,40,1.0,40,433,-0.6823817325298,0.7276802041364735,-2.204307693791433,302,-0.19903909295538968,0.6261985437072656,-2.783079672869691
60,40,2.0,5,1410,-0.6651012161838776,0.7877411634314733,-3.3817497172912456,890,-0.16097360446488285,0.8085067651523042,-2.3913557926289517
60,40,2.0,10,1035,-0.6377271078760468,0.7947216785604394,-2.9398066486370387,658,-0.24411502039637456,0.675222927020768,-4.070380805699404
60,40,2.0,20,749,-0.646885567342365,0.778081983792087,-2.709752206190453,485,-0.24324277540299777,0.6188924133418866,-4.369564023672595
60,40,2.0,40,433,-0.36098630111730867,0.8647418025885912,-1.2141835348563084,302,-0.2813888298188033,0.737284654459144,-2.11008947208217
60,40,3.0,5,1410,-0.35523046518521717,0.8698612114167519,-1.9481554680717252,890,-0.1948606593408002,0.8508872474452298,-1.7297981891609442
60,40,3.0,10,1035,-0.5787849662320883,0.7681688081255715,-3.3252705590769716,658,-0.2154682165271744,0.7083711464272623,-3.551894995996474
60,40,3.0,20,749,-0.5826660970366981,0.758520187301493,-2.9955674780949995,485,-0.2076526304402153,0.6975800172851179,-3.2518506763577184
60,40,3.0,40,433,-0.3313437055785742,0.8557068936035701,-1.3690723943463432,302,-0.18358863413188842,0.8066475865630559,-1.5389029770098954
60,60,1.0,5,1152,-0.755069084859418,0.8146525640028695,-2.6501340058939737,700,-0.17620930838547855,0.7152453636431191,-3.3129458575425033
60,60,1.0,10,851,-0.7126615923408419,0.8109775260284178,-2.3880197051590644,523,-0.1916722740925667,0.7045771378559285,-3.1172137530564283
60,60,1.0,20,629,-0.7959332887081227,0.7202197154040928,-3.0104570613511403,397,-0.16046096306667013,0.5641753651586647,-4.113062807861545
60,60,1.0,40,397,-0.6088701906120862,0.7289468452223677,-2.2061253834040966,262,-0.24902880995525545,0.590916440190248,-2.948842045921229
60,60,2.0,5,1152,-0.515219530730975,0.8312996240229437,-2.4471790564920024,700,-0.16054495856584516,0.8475335916575875,-1.7133740527186558
60,60,2.0,10,851,-0.5755079325604234,0.7934949721606305,-2.736416198251239,523,-0.23872076711871226,0.6966556800425218,-3.3914177796455554
60,60,2.0,20,629,-0.6208092042474089,0.744755662451592,-2.9997564391908202,397,-0.2536929912151563,0.5825133663933918,-4.500475901878134
60,60,2.0,40,397,-0.4269945490978896,0.8132282825128322,-1.6726316225194693,262,-0.331253161691748,0.5751442599712684,-3.7448792554203485
60,60,3.0,5,1152,-0.2117026119487836,0.9166536798067594,-1.1245181538786584,700,-0.17316524537765332,0.8642175737530794,-1.4668909782481776
60,60,3.0,10,851,-0.4173552030380717,0.8209196724385737,-2.2779815560982897,523,-0.1925896086033524,0.7908824914462207,-2.149150593199463
60,60,3.0,20,629,-0.5189963689773334,0.7498899176096928,-2.8918297272839357,397,-0.23517264870894694,0.6588095201155575,-3.4972635337516325
60,60,3.0,40,397,-0.33797150614763105,0.8349705860218869,-1.5108663491862464,262,-0.253901526184813,0.6975039290893731,-2.4517383914037603
60,100,1.0,5,897,-0.6176645161052448,0.8328224835951896,-2.152742870086049,532,-0.164993533499889,0.8348962295797713,-1.6279009616876032
60,100,1.0,10,668,-0.4045463508432213,0.8896987805347011,-1.2031337147058891,397,-0.2019779123732769,0.8424363236621091,-1.3411409700221995
60,100,1.0,20,509,-0.5512725121412329,0.8046347264254963,-1.8582028265620807,310,-0.20564604787782415,0.7474296124469169,-2.014124703414215
60,100,1.0,40,342,-0.7436317907319463,0.5401223046522078,-4.0571677810515085,217,-0.06649940283324929,0.8510377830124144,-0.8706780554306623
60,100,2.0,5,897,-0.42484242692829743,0.8314548703233504,-2.1793924688552258,532,-0.1611062805322725,0.840733466487958,-1.585592884572768
60,100,2.0,10,668,-0.3824213601714781,0.8465587061875236,-1.7729001617893965,397,-0.22450195599888367,0.7817074033621335,-2.041454919145996
60,100,2.0,20,509,-0.43261017035374105,0.8107942895904177,-1.9568129796323033,310,-0.2551504356277674,0.7014048865835966,-2.716036925439156
60,100,2.0,40,342,-0.5900112976253711,0.6269798272942949,-3.5414965352889363,217,-0.16359556687092225,0.6951640072330112,-2.2868505268999875
60,100,3.0,5,897,-0.27509160865591953,0.8598061423911864,-1.7289884049107493,532,-0.16325534298429556,0.8272948592141536,-1.6738297021912112
60,100,3.0,10,668,-0.28962393058854363,0.85202407056143,-1.6629881673356093,397,-0.1396329971244451,0.8495070745105199,-1.3104919328737201
60,100,3.0,20,509,-0.34814806460991177,0.8118689999270698,-1.9069090517140304,310,-0.20903972966119622,0.7419089268816431,-2.232335458155253
60,100,3.0,40,342,-0.42918454990945376,0.7253797831186527,-2.515530932007655,217,-0.17244878460509494,0.7292484018699361,-1.9462846416794313
240,20,1.0,5,552,-0.3435053739426548,0.8645947247170902,-1.406088096964222,335,-0.34099049540804593,0.64675232542121,-3.316871172509247
240,20,1.0,10,369,-0.5218357660997279,0.709533665633167,-2.7110218735142553,233,-0.1930473260065263,0.6963168327445937,-2.2722272651009265
240,20,1.0,20,230,-0.3512174494917475,0.8194198110357972,-1.1371069562548723,144,-0.20798907858358406,0.6733627076610211,-1.8016764230124067
240,20,1.0,40,128,-0.22450328461963842,0.8036378144862931,-0.7549629422083591,81,-0.1812738252083017,0.6227788437596452,-1.4935374717927286
240,20,2.0,5,552,-0.14977918383649536,0.9032328675173632,-0.9346694536861381,335,-0.18083826162393324,0.7808328081116804,-1.8231748939019545
240,20,2.0,10,369,-0.2624691737003374,0.829408715205477,-1.5011087039119515,233,-0.09060220429783816,0.8661387744458362,-0.875835213376387
240,20,2.0,20,230,-0.20696773119954626,0.8520530864505893,-1.0164582887711138,144,-0.19474821855335356,0.6664458319840512,-2.044922801998102
240,20,2.0,40,128,-0.2757827629048427,0.7034564913176489,-1.5232380678971205,81,-0.04166073316760888,0.8824799808140579,-0.40735871798213397
240,20,3.0,5,552,-0.07511203316721227,0.9292874211431515,-0.654937427253526,335,-0.13126742179846207,0.7920762777413511,-1.6576572715822997
240,20,3.0,10,369,-0.13537049757856556,0.8837478291119912,-0.9626904030346877,233,-0.09636977438962047,0.8298828799257626,-1.102054828817068
240,20,3.0,20,230,-0.1240573758563126,0.8783681591772121,-0.8192761259730635,144,-0.12379278463819787,0.7451871220345565,-1.4517791851351114
240,20,3.0,40,128,-0.17279212459942572,0.7660155622402592,-1.2337795044129762,81,-0.025686942995331363,0.9160067095614041,-0.29729701249027757
240,40,1.0,5,406,-0.2268782443045506,0.8890982332798607,-0.9780810676574127,229,-0.27440258519664673,0.6708560030467645,-2.6062404094242044
240,40,1.0,10,284,-0.3735353131445486,0.7778902171358827,-1.6931918649648023,168,-0.18945273700282628,0.7002787046457624,-1.9386409687038098
240,40,1.0,20,192,-0.2668417784091359,0.8256813063458842,-1.0202185799925048,116,-0.17877036334469265,0.6980118398406079,-1.5647990763788293
240,40,1.0,40,120,-0.19034124775827954,0.8210213781776035,-0.6461724075501608,78,-0.36098486449271316,0.20798840925700707,-6.405892975335909
240,40,2.0,5,406,-0.08951293119869164,0.9230451044876545,-0.6312753949103134,229,-0.1106794059626891,0.8219243076988971,-1.1978820320680492
240,40,2.0,10,284,-0.12745192356971502,0.8980821858225442,-0.7479092350749179,168,-0.118640993807137,0.8085751582097906,-1.0984209202855626
240,40,2.0,20,192,-0.1453915581759314,0.8687616222670467,-0.8209153080208924,116,-0.1504541983560621,0.7153246505838384,-1.5744092963672727
240,40,2.0,40,120,-0.17161339102847817,0.7976940410165907,-0.915498310967893,78,-0.26535801910687185,0.32931565600838925,-4.62837018260212
240,40,3.0,5,406,-0.058978225013976315,0.9275633243273483,-0.5759243407235852,229,-0.06467789930929235,0.8560346552711489,-0.9160778611286572
240,40,3.0,10,284,-0.08149087629123208,0.9109347319703326,-0.6302846317206742,168,-0.07031035842273092,0.846593681461043,-0.835378609787584
240,40,3.0,20,192,-0.16498329708617687,0.8015762743153567,-1.287006705214738,116,-0.10437389240675043,0.7269330208718466,-1.4582330393202616
240,40,3.0,40,120,-0.1210667076681452,0.8319640408153803,-0.7945794400317842,78,-0.20864819904061138,0.4190721807153404,-3.2830914568709826
240,60,1.0,5,333,-0.009981371810276918,0.9947153607328068,-0.03998991811134875,190,-0.22062675711690505,0.7631105284184773,-1.5792363322448002
