instr,F,obj,n,ac,R,neta,z,stop
EURUSD,0.5,1:2,7750,32.56787983824379,0.014753621801319826,-0.11587415818329497,-7.5594157662657775,13.500000000000178
EURUSD,0.5,nivel,7182,61.20045950603101,-0.017803495761585006,-0.15130333524955838,-12.833492381632997,13.200000000002099
EURUSD,0.618,1:2,6809,33.31774243841596,0.02063306741935765,-0.14224145819416814,-8.46427204962735,10.844999999999327
EURUSD,0.618,nivel,6484,60.21943573667712,-0.028262250795783206,-0.19327131199430006,-15.229760225408462,10.700399999998833
EURUSD,0.705,1:2,6136,33.60296595888103,0.02062576206887292,-0.18062347156953548,-10.084064963636573,8.749249999999709
EURUSD,0.705,nivel,5947,58.132017693092884,-0.017738672422242207,-0.22046410292928514,-15.375044260994276,8.729499999999835
EURUSD,0.79,1:2,5568,33.93574297188755,0.025821456259583812,-0.23459226491414925,-12.356708564629464,6.758000000000042
EURUSD,0.79,nivel,5474,55.67826247009019,-0.02406571172590293,-0.28544088473452167,-18.033655787829165,6.726999999999705
GBPUSD,0.5,1:2,8108,32.57586254676458,0.012189936723172987,-0.09746730989419729,-6.515671003262187,17.700000000000493
GBPUSD,0.5,nivel,7523,63.241698421339144,0.01356286448900097,-0.09856789674075848,-8.293812364156036,17.339999999999023
GBPUSD,0.618,1:2,7191,33.23464100666173,0.01917782211267905,-0.1182960964825336,-7.245767919623072,14.12260000000165
GBPUSD,0.618,nivel,6874,60.34228385954559,-0.01790204473368891,-0.1570190380683741,-12.120838455202252,13.977999999998936
GBPUSD,0.705,1:2,6510,33.9268680445151,0.030268971739299325,-0.14015470860147078,-8.034753420111459,11.376000000000719
GBPUSD,0.705,nivel,6313,59.54247320428732,-0.011019542627087387,-0.18284289647137125,-13.352689126629874,11.296999999999002
GBPUSD,0.79,1:2,5897,33.91319324836376,0.023981913706812307,-0.19449239811125185,-10.492939853092539,8.83500000000037
GBPUSD,0.79,nivel,5796,57.58417216244359,-0.01902694374310653,-0.23848670683391424,-16.290209469276302,8.804000000000034
USDJPY,0.5,1:2,7085,32.44232299124901,0.015934653590836914,-0.0836280988972156,-5.225156313972698,19.200000000000728
USDJPY,0.5,nivel,6519,63.455464308275424,-0.01667156460324573,-0.11836788136311431,-9.97235977085102,18.779999999998154
USDJPY,0.618,1:2,6137,33.6920673494185,0.03024408125624466,-0.09535664538558652,-5.377350586657797,15.13479999999987
USDJPY,0.618,nivel,5813,63.25532658050995,-0.008961466786268446,-0.13667559942061638,-10.51770998303118,14.893800000000113
USDJPY,0.705,1:2,5429,32.477486108449895,-0.01016669148542066,-0.165428830327864,-8.755852981889735,12.205499999998892
USDJPY,0.705,nivel,5234,60.532407407407405,-0.03506606549667105,-0.19225619843069686,-13.644839853617377,12.008000000000152
USDJPY,0.79,1:2,4803,33.10739250158864,-0.0004187495438020625,-0.20321997753916285,-9.978826269807689,9.331000000000245
USDJPY,0.79,nivel,4721,57.782515991471215,-0.03223589377017584,-0.23629440905125743,-15.098202333887476,9.237999999999147
NSXUSD,0.5,1:2,7166,32.507788161993766,0.013854920147977196,-0.02481726290960551,-1.5545411542225431,52.919999999998254
NSXUSD,0.5,nivel,6554,60.742126598066726,-0.024309008722373696,-0.06383364620908251,-4.986026055451327,51.60689999999977
NSXUSD,0.618,1:2,6261,32.617880682778434,-0.000426667828412491,-0.04885990701852261,-2.8027474054514703,41.818319999998494
NSXUSD,0.618,nivel,5935,58.82052156127493,-0.027016853384236296,-0.07594178060794896,-5.222776499951218,41.48381199999858
NSXUSD,0.705,1:2,5629,32.493100275988965,-0.009697873655409835,-0.06942097162107078,-3.746816288435695,33.535499999999956
NSXUSD,0.705,nivel,5449,57.63683431952663,-0.03539263415484591,-0.0954987928947579,-6.174172942633525,33.360515000000305
NSXUSD,0.79,1:2,5090,32.22710915633746,-0.028328956690774926,-0.1056321949739463,-5.405732575778328,25.773400000000038
NSXUSD,0.79,nivel,4992,54.752774974772954,-0.04466016538713278,-0.12235542423942902,-7.162580645785532,25.686910000000353
