R,neta,mot,rgo,hniv,izq,velas,pos,i
2.0,0.8172043010772392,TP,1.209000000002014,23,11,12,0.5370370370370383,EURUSD
2.0,0.8172043010772392,TP,1.209000000002014,2,0,12,0.5370370370370383,EURUSD
2.0,1.7023933402704796,TP,4.804999999998838,20,0,12,0.04718693284935236,EURUSD
-1.0,-1.6319045514803006,SL,2.263000000000126,20,0,52,0.047923322683667544,EURUSD
-1.0,-1.6319045514803006,SL,2.263000000000126,16,9,52,0.047923322683667544,EURUSD
2.0,0.9971949509115898,TP,1.4259999999999273,16,0,8,0.1597444089456767,EURUSD
2.0,1.8020213207807958,TP,7.222999999998425,16,16,48,-0.1255060728745085,EURUSD
2.0,1.7716384541680457,TP,6.262000000001322,16,0,6,0.004048582995933038,EURUSD
-1.0,-1.4478546821172555,SL,3.192999999999113,23,0,24,2.937499999998916,EURUSD
2.0,1.5194892473120216,TP,2.9760000000012,21,10,2,0.1325301204819492,EURUSD
-1.0,-1.3494623655913993,SL,4.0919999999999845,21,15,6,0.4268656716418083,EURUSD
-1.0,-1.1630001139860993,SL,8.772999999999698,21,0,72,0.6955223880597583,EURUSD
2.0,1.6728437428504992,TP,4.3709999999985705,16,16,11,0.9044776119403345,EURUSD
-1.0,-1.1962937542896606,SL,7.284999999999098,20,8,72,0.0599001663893386,EURUSD
-1.0,-1.7440166493232856,SL,1.9220000000008675,23,1,68,0.04999999999996299,EURUSD
2.0,1.4086021505375335,TP,2.417999999999587,16,3,57,0.16666666666666666,EURUSD
-1.0,-1.5491551459294692,SL,2.6039999999993846,23,4,77,-0.06666666666674068,EURUSD
2.0,1.5477545857053925,TP,3.1620000000009973,23,7,68,0.850000000000111,EURUSD
-1.0,-1.3367082646572732,SL,4.247000000001666,23,0,30,1.7833333333333703,EURUSD
2.0,1.5728793309439484,TP,3.348000000000795,16,1,11,-0.9833333333335924,EURUSD
2.0,1.6657316503038633,TP,4.277999999999782,16,1,34,-0.15137614678895905,EURUSD
2.0,1.6657316503038633,TP,4.277999999999782,1,47,34,-0.15137614678895905,EURUSD
2.0,1.6657316503038633,TP,4.277999999999782,23,0,34,-0.15137614678895905,EURUSD
2.0,1.6657316503038633,TP,4.277999999999782,17,7,34,-0.15137614678895905,EURUSD
-1.0,-1.3225806451613455,SL,4.432999999999243,1,0,79,-0.0688073394495824,EURUSD
