id,opera,rama,rango,exceso,mecha,cuerpo,dist,hora,tend_asia,vel_gatillo,rgo_mec,fr
S01,0,mínimo,18.199999999999328,2.20000000000109,3.1000000000003247,5.300000000001415,15.199999999999658,9,5.999999999999339,1,6.500000000000394,08-09
S02,1,alto,13.499999999999623,0.700000000000145,1.80000000000069,2.2999999999995246,11.900000000000244,9,-2.9999999999996696,1,4.299999999999304,08-09
S03,1,alto,25.600000000001177,0.40000000000040004,0.7999999999985796,2.1999999999988695,23.900000000001143,13,-14.699999999998603,1,3.1999999999987594,12-13
S04,1,mínimo,11.200000000000099,0.40000000000040004,1.7000000000000348,2.20000000000109,9.500000000000064,9,5.9000000000009045,1,3.4000000000000696,08-09
S05,0,mínimo,18.000000000000238,7.300000000001194,11.900000000000244,2.8999999999990145,24.900000000001032,9,-13.400000000001189,2,4.299999999999304,08-09
S06,0,alto,34.600000000000186,1.9999999999997797,4.8000000000003595,1.9999999999997797,35.200000000000784,8,10.200000000000209,2,5.199999999999649,08-09
S07,1,alto,20.000000000000018,0.9999999999998899,6.800000000000139,3.1000000000003247,18.599999999999728,8,7.699999999999374,2,9.200000000000319,08-09
S08,1,mínimo,40.70000000000018,0.5999999999994898,1.7000000000000348,2.2999999999995246,39.00000000000014,12,15.500000000001624,1,4.3999999999999595,12-13
S09,0,alto,50.60000000000064,3.8000000000004697,8.399999999999519,2.5999999999992696,52.700000000001076,8,20.100000000000673,2,6.800000000000139,08-09
S10,0,alto,22.699999999999942,0.1999999999990898,2.9999999999996696,1.1999999999989797,22.699999999999942,8,-2.100000000000435,2,2.100000000000435,08-09
S11,1,mínimo,11.300000000000754,0.1999999999990898,1.8999999999991246,1.7000000000000348,10.499999999999954,9,1.2999999999996348,2,3.2999999999994145,08-09
S12,0,mínimo,19.299999999999873,0.5999999999994898,1.80000000000069,1.7000000000000348,18.199999999999328,11,7.299999999998974,1,3.900000000001125,10-11
S13,1,mínimo,34.600000000000186,3.8000000000004697,10.900000000000354,11.799999999999589,30.09999999999957,8,-0.1999999999990898,2,15.499999999999403,08-09
S14,1,alto,21.999999999999797,2.4000000000001798,3.5000000000007248,7.800000000000029,16.700000000000603,8,14.899999999999913,1,9.799999999999809,08-09
S15,1,alto,104.99999999999953,4.500000000000615,6.699999999999484,10.100000000001774,99.69999999999811,9,99.59999999999968,1,12.300000000000644,08-09
S16,0,mínimo,17.000000000000348,0.9999999999998899,4.900000000001015,2.6999999999999247,17.500000000001403,8,-10.700000000001264,2,4.599999999999049,08-09
S17,0,alto,26.299999999999102,1.40000000000029,5.399999999999849,2.500000000000835,25.599999999998957,9,-1.40000000000029,2,7.099999999999884,08-09
S18,1,alto,24.899999999998812,0.5000000000010552,1.100000000000545,4.699999999999704,20.700000000000163,8,5.800000000000249,1,6.299999999999084,08-09
S19,0,alto,42.200000000001125,4.100000000000215,7.599999999998719,4.899999999998794,43.90000000000116,8,28.799999999999937,2,6.899999999998574,08-09
S20,0,alto,91.30000000000082,5.599999999998939,9.900000000000464,1.8999999999991246,96.30000000000027,8,67.30000000000125,2,5.9000000000009045,08-09
S21,1,mínimo,46.60000000000108,0.9999999999998899,3.8999999999989043,6.399999999999739,42.200000000001125,11,-23.599999999999177,2,9.299999999998754,10-11
S22,0,mínimo,30.300000000000882,2.6999999999999247,4.599999999999049,1.1999999999989797,32.70000000000106,12,-18.000000000000238,2,2.4999999999986144,12-13
S23,1,alto,34.40000000000109,1.2999999999996348,3.1000000000003247,5.399999999999849,30.400000000001537,8,6.200000000000649,1,8.099999999999774,08-09
S24,0,alto,11.699999999998933,0.5000000000010552,1.80000000000069,1.4999999999987246,10.799999999999699,8,-2.4000000000001798,1,3.6999999999998145,08-09
S25,0,alto,28.200000000000447,1.7999999999984695,3.4999999999985043,2.5999999999992696,28.600000000000847,8,11.900000000000244,2,4.099999999997994,08-09
S26,0,alto,47.40000000000188,2.5999999999992696,8.099999999999774,5.00000000000167,49.5000000000001,8,3.6999999999998145,2,7.0000000000014495,08-09
S27,0,mínimo,44.800000000000395,3.1000000000003247,6.699999999999484,2.8999999999990145,45.30000000000145,8,-31.600000000000517,2,5.399999999999849,08-09
S28,1,mínimo,21.200000000001218,0.40000000000040004,2.2999999999995246,2.5999999999992696,20.500000000001073,8,-9.399999999999409,2,3.8999999999989043,08-09
S29,0,alto,32.90000000000015,3.2999999999994145,10.399999999999299,5.499999999998284,35.70000000000073,9,2.9999999999996696,2,7.599999999998719,08-09
S30,0,alto,34.19999999999978,5.199999999998539,12.699999999998823,1.5999999999993797,38.49999999999909,9,22.499999999998632,2,6.099999999999994,08-09
S31,0,alto,23.500000000000743,3.4000000000000696,7.599999999998719,3.8999999999989043,25.500000000000522,10,0.8999999999992347,2,6.6000000000010495,10-11
S32,0,mínimo,22.800000000000598,2.9999999999996696,6.199999999998429,4.499999999998394,22.800000000000598,9,12.800000000001699,2,7.199999999998319,08-09
S33,1,alto,30.399999999999316,1.9999999999997797,7.500000000000284,7.999999999999119,26.600000000001067,9,11.299999999998533,2,12.299999999998423,08-09
S34,0,alto,38.200000000001566,0.7999999999985796,1.9999999999997797,2.500000000000835,37.400000000000766,8,20.299999999999763,2,3.5000000000007248,08-09
S35,1,mínimo,17.900000000001803,0.3999999999981796,5.799999999998029,4.999999999999449,17.20000000000166,10,11.700000000001154,2,6.099999999999994,10-11
S36,0,alto,63.20000000000103,1.4999999999987246,2.6999999999999247,0.5000000000010552,64.10000000000026,13,-19.000000000000128,2,1.7000000000000348,12-13
S37,1,alto,20.299999999999763,0.10000000000065512,5.599999999998939,7.600000000000939,15.799999999999148,9,11.200000000000099,2,11.099999999999444,08-09
