ejec,n,riesgo,rr,tp,coste,bruta,neta,z,rec
1H,3060,9.100000000001884,6.520926966291376,0.13300653594771242,0.13050288686828398,0.02363788928156182,-0.12000992508108099,-2.242664158770487,-0.15302599292682031
15M,12329,6.5,8.78257765083917,0.1086868359153216,0.1829268292682831,0.01754857615542028,-0.1671497703031175,-4.206314927309411,-0.23550785242022104
10M,16720,6.099999999999994,9.760282248321513,0.10550239234449761,0.19639934533549683,0.050789698551248125,-0.14376078230873096,-3.5200588783475237,-0.23456771509829494
5M,25691,5.400000000000205,11.491803278688835,0.08972013545599626,0.2201834862385027,-0.024871267935363435,-0.23783082443362377,-7.113381968017616,-0.326032585587963
