ts,dir,riesgo_u,motivo,bruto,R
2020-01-09 12:45:00,corto,15.05999999999949,SL,-1.0,-1.0996015936255015
2020-01-22 08:45:00,corto,15.539999999999054,SL,-1.0,-1.0965250965251023
2020-02-25 13:15:00,corto,31.26000000000022,SL,-1.0,-1.0479846449136272
2020-03-12 15:15:00,largo,92.13000000000011,TP,3.0,2.9837186584174535
2020-03-17 12:30:00,corto,265.28999999999996,SL,-1.0,-1.005654189754608
2020-04-15 06:30:00,largo,38.82999999999993,SL,-1.0,-1.0386299253154778
2020-06-04 08:45:00,corto,29.0,SL,-1.0,-1.0517241379310345
2020-06-18 14:45:00,largo,69.63999999999942,SL,-1.0,-1.0215393452039059
2020-07-02 12:15:00,corto,13.450000000000728,SL,-1.0,-1.1115241635687672
2020-07-09 13:30:00,corto,53.98999999999978,SL,-1.0,-1.027782922763475
2020-07-10 14:15:00,largo,91.63000000000102,TP,3.0,2.9836298155625887
2020-08-24 13:45:00,corto,67.65999999999985,SL,-1.0,-1.022169671888856
2020-08-26 09:30:00,corto,14.469999999999345,SL,-1.0,-1.1036627505183185
2020-08-31 15:15:00,corto,53.51000000000022,SL,-1.0,-1.0280321435245747
2020-09-08 14:45:00,corto,108.70999999999913,TP,3.0,2.9862018213595802
2020-11-02 14:45:00,largo,68.22999999999956,SL,-1.0,-1.0219844643118865
2020-11-05 14:45:00,largo,94.19900000000052,SL,-1.0,-1.0159237359207633
2020-11-24 09:30:00,largo,15.100000000000364,SL,-1.0,-1.0993377483443685
2020-12-11 14:30:00,corto,78.1919999999991,SL,-1.0,-1.0191835481890732
2020-12-16 13:00:00,largo,16.11999999999898,SL,-1.0,-1.0930521091811474
2020-12-18 14:15:00,corto,15.201999999999316,TP,3.0,2.9013287725299257
2020-12-28 14:30:00,corto,27.3700000000008,SL,-1.0,-1.0548045305078537
2021-01-06 13:30:00,corto,35.9900000000016,SL,-1.0,-1.0416782439566528
2021-01-12 08:15:00,corto,27.19999999999891,SL,-1.0,-1.0551470588235317
2021-01-15 09:15:00,corto,16.30999999999949,SL,-1.0,-1.0919681177191936
2021-01-21 13:30:00,corto,20.497999999999593,TP,3.0,2.9268221289881926
2021-01-25 11:45:00,corto,20.210000000000946,SL,-1.0,-1.0742206828302785
2021-02-18 09:15:00,corto,35.22999999999956,TP,3.0,2.957422651149588
2021-03-12 06:30:00,largo,20.709999999999127,SL,-1.0,-1.0724287783679411
2021-04-07 13:45:00,largo,64.23799999999937,TP,3.0,2.976649335284411
2021-04-19 13:30:00,largo,60.76800000000003,SL,-1.0,-1.0246840442338072
2021-06-04 11:30:00,corto,17.30000000000109,SL,-1.0,-1.0867052023121333
2021-07-26 07:30:00,corto,26.600000000000364,SL,-1.0,-1.0563909774436082
2021-08-05 13:30:00,largo,31.0099999999984,SL,-1.0,-1.0483714930667551
2021-08-13 12:00:00,largo,12.479999999999563,TP,3.0,2.879807692307688
2021-10-15 14:30:00,largo,42.0,SL,-1.0,-1.0357142857142858
2021-11-03 11:15:00,corto,12.450000000000728,SL,-1.0,-1.1204819277108364
2021-11-15 09:45:00,largo,14.239999999999782,TP,3.0,2.894662921348313
2021-11-19 15:15:00,corto,70.08000000000175,SL,-1.0,-1.0214041095890405
2021-11-22 14:15:00,corto,24.270000000000437,SL,-1.0,-1.0618046971569828
2021-11-23 12:15:00,corto,40.01000000000022,SL,-1.0,-1.037490627343164
2021-11-23 13:45:00,corto,28.170000000000073,SL,-1.0,-1.0532481363152288
2021-12-02 09:30:00,corto,57.461999999999534,SL,-1.0,-1.0261042079983296
2021-12-21 10:45:00,largo,40.150000000001455,SL,-1.0,-1.0373599003735976
2022-05-06 06:45:00,corto,51.52000000000044,SL,-1.0,-1.0291149068322978
2022-07-12 09:15:00,corto,25.079999999999927,SL,-1.0,-1.0598086124401915
2022-07-15 12:30:00,largo,92.20000000000073,TP,3.0,2.983731019522777
2022-07-18 13:30:00,largo,44.17000000000007,SL,-1.0,-1.0339597011546298
2022-09-30 15:45:00,corto,111.21999999999935,TP,3.0,2.9865132170472934
2022-10-24 14:45:00,largo,145.48799999999937,SL,-1.0,-1.010310128670406
2022-12-05 06:45:00,largo,20.0,SL,-1.0,-1.075
2022-12-06 12:45:00,corto,25.502000000000407,TP,3.0,2.941181083836563
2022-12-15 13:00:00,corto,21.868000000000393,TP,3.0,2.9314066215474677
2023-08-28 07:15:00,largo,34.6200000000008,TP,3.0,2.9566724436741776
2023-09-18 06:30:00,corto,18.080000000001746,SL,-1.0,-1.0829646017699035
2023-09-18 14:30:00,corto,56.900000000001455,SL,-1.0,-1.0263620386643226
2023-11-03 10:15:00,largo,19.987999999999374,TP,3.0,2.924954972983788
2023-11-27 09:45:00,corto,25.8700000000008,SL,-1.0,-1.057982218786237
2023-12-12 09:45:00,largo,17.81999999999971,TP,3.0,2.9158249158249143
2023-12-14 13:45:00,largo,46.13999999999942,SL,-1.0,-1.0325097529258782
2024-01-05 13:30:00,corto,45.780000000000655,SL,-1.0,-1.0327653997378763
2024-01-29 14:30:00,largo,38.998999999999796,SL,-1.0,-1.0384625246801202
2024-02-02 06:30:00,largo,15.699000000000524,SL,-1.0,-1.095547487101086
2024-03-28 12:45:00,largo,57.83300000000236,SL,-1.0,-1.0259367489149782
2024-04-04 07:15:00,largo,29.38799999999901,TP,3.0,2.9489587586770094
2024-04-16 14:15:00,corto,73.90100000000166,SL,-1.0,-1.0202974249333563
2024-04-26 07:30:00,largo,32.31100000000151,SL,-1.0,-1.0464238185138166
2024-05-20 09:30:00,largo,14.179000000000087,SL,-1.0,-1.1057902531913386
2024-05-22 13:00:00,corto,15.1349999999984,SL,-1.0,-1.0991080277502583
2024-06-21 13:30:00,corto,56.27600000000166,SL,-1.0,-1.0266543464354245
2024-07-01 13:00:00,corto,33.69999999999709,TP,3.0,2.95548961424332
2024-07-04 09:30:00,largo,9.902999999998428,SL,-1.0,-1.1514692517419205
2024-07-25 13:30:00,corto,102.25599999999758,SL,-1.0,-1.0146690658738855
2024-08-01 13:30:00,largo,127.41200000000026,SL,-1.0,-1.0117728314444479
2024-09-17 15:45:00,largo,64.15799999999945,SL,-1.0,-1.0233797811652485
2024-10-31 11:45:00,corto,34.58799999999974,TP,3.0,2.956632358043252
2024-11-11 13:15:00,corto,33.199000000000524,TP,3.0,2.954817916202296
2024-12-05 08:00:00,largo,18.122000000003027,TP,3.0,2.9172276790641347
2024-12-10 13:15:00,corto,23.244000000002416,SL,-1.0,-1.0645327826535813
2024-12-18 09:30:00,largo,35.15599999999904,SL,-1.0,-1.0426669700762328
2024-12-23 09:30:00,largo,22.36699999999837,SL,-1.0,-1.067063084007695
2025-04-03 09:00:00,corto,74.84499999999753,TP,3.0,2.979958581067539
2025-04-14 12:15:00,largo,115.29000000000087,SL,-1.0,-1.0130106687483735
2025-05-01 07:00:00,largo,42.24399999999878,SL,-1.0,-1.035508001136257
2025-05-22 11:15:00,corto,63.34400000000096,SL,-1.0,-1.0236802222783528
2025-06-04 14:45:00,largo,120.54500000000189,SL,-1.0,-1.0124434858351652
2025-06-30 09:45:00,corto,35.18000000000029,SL,-1.0,-1.0426378624218302
2025-07-15 13:30:00,corto,58.744000000002416,TP,3.0,2.974465477325345
2025-07-29 13:45:00,corto,68.18899999999849,TP,3.0,2.978002317089266
2025-08-22 13:30:00,largo,66.84400000000096,TP,3.0,2.9775596912213516
2025-09-18 15:45:00,corto,83.18000000000029,SL,-1.0,-1.0180331810531378
2025-10-02 09:15:00,corto,22.778999999998632,SL,-1.0,-1.0658501251152417
2025-10-15 13:45:00,largo,117.40199999999822,SL,-1.0,-1.0127766136863088
2025-10-24 14:15:00,corto,43.79200000000128,SL,-1.0,-1.0342528315674087
2025-11-21 09:15:00,corto,84.85800000000017,SL,-1.0,-1.0176765891253623
2025-11-27 13:30:00,largo,21.88000000000102,SL,-1.0,-1.0685557586837262
2026-01-12 13:00:00,corto,31.402000000001863,SL,-1.0,-1.0477676581109454
2026-02-09 14:30:00,largo,195.38000000000102,SL,-1.0,-1.0076773467089772
2026-04-01 09:30:00,largo,46.913000000000466,TP,3.0,2.968025920320594
2026-04-09 14:45:00,largo,82.28600000000006,TP,3.0,2.981770896628831
2026-05-15 14:45:00,corto,98.64800000000105,SL,-1.0,-1.0152055794339467
2026-06-03 09:45:00,corto,36.984999999996944,SL,-1.0,-1.0405569825605008
