toca,mecha,fuera,R,mot,dentro_asia,d_asia_alto,d_asia_bajo,d_max_ses,d_min_ses,cerca_ses,en_extremo,imp15,a_favor_imp,lado,hora,cerca,clase
True,True,False,2.0,TP,True,1.7000000000000348,8.599999999998609,2.100000000000435,0.700000000000145,0.700000000000145,bajo,1.5999999999993797,False,-1,5,0.4000000000004,rechazo del nivel de Asia
False,False,False,2.0,TP,True,7.099999999999884,3.1999999999987594,7.500000000000284,-0.10000000000065512,0.10000000000065512,bajo,-5.399999999999849,True,-1,40,3.99999999999956,extremo de la sesión (no de Asia)
False,False,False,2.0,TP,False,14.000000000000679,-3.700000000002035,14.400000000001079,-3.8999999999989043,3.8999999999989043,bajo,-1.80000000000069,False,1,80,4.00000000000178,"fuera del rango de Asia, sin nivel cerca"
True,False,True,2.0,TP,False,-4.60000000000127,101.10000000000063,2.80000000000058,-18.299999999999983,2.80000000000058,alto,26.89999999999859,True,1,10,7.099999999999884,rotura del nivel de Asia
False,False,False,2.0,TP,False,-26.500000000000412,122.99999999999977,28.700000000001502,-40.19999999999912,28.700000000001502,alto,-25.299999999999212,True,-1,90,29.100000000001906,"fuera del rango de Asia, sin nivel cerca"
True,True,False,-1.0,SL,True,1.80000000000069,19.199999999999218,16.100000000001113,-1.7999999999984695,1.7999999999984695,bajo,-4.900000000001015,True,-1,90,1.40000000000029,rechazo del nivel de Asia
False,False,False,2.0,TP,True,8.500000000000174,23.100000000000342,13.300000000000534,-16.00000000000046,13.300000000000534,alto,-1.9999999999997797,True,-1,150,6.500000000000394,"dentro del rango de Asia, sin nivel cerca"
False,False,False,-1.0,SL,True,9.099999999999664,15.199999999999658,4.900000000001015,-6.6000000000010495,4.900000000001015,alto,3.8000000000004697,True,1,40,9.399999999999409,"dentro del rango de Asia, sin nivel cerca"
False,False,False,2.0,TP,True,13.699999999998713,9.099999999999664,8.299999999998864,1.40000000000029,1.40000000000029,bajo,-4.099999999997994,True,-1,30,10.299999999998644,extremo de la sesión (no de Asia)
True,True,False,-1.0,SL,True,21.499999999998742,1.2999999999996348,16.099999999998893,-12.199999999999989,12.199999999999989,bajo,10.799999999999699,True,1,95,1.5999999999993797,rechazo del nivel de Asia
False,False,False,2.0,TP,False,25.500000000000522,-0.700000000000145,1.9999999999997797,-8.099999999999774,1.9999999999997797,alto,6.500000000000394,True,1,25,3.4000000000000696,extremo de la sesión (no de Asia)
False,False,False,-1.0,SL,True,12.700000000001044,12.099999999999334,6.500000000000394,-20.899999999999253,6.500000000000394,alto,6.699999999999484,True,1,110,10.3999999999993,"dentro del rango de Asia, sin nivel cerca"
True,False,True,-1.0,SL,True,19.000000000000128,4.100000000000215,-0.5999999999994898,-9.300000000000974,0.5999999999994898,alto,1.900000000001345,True,1,5,2.5999999999992696,rotura del nivel de Asia
False,False,False,-1.0,SL,True,10.600000000000609,12.499999999999734,4.699999999999704,-17.700000000000493,4.699999999999704,alto,7.899999999998464,True,1,70,11.499999999999844,"dentro del rango de Asia, sin nivel cerca"
False,False,False,-1.0,SL,True,18.500000000001293,12.599999999999278,-3.4999999999996145,-17.199999999999438,3.4999999999996145,alto,5.5000000000005045,True,1,25,8.500000000000174,"dentro del rango de Asia, sin nivel cerca"
False,False,False,2.0,TP,True,5.399999999999849,26.600000000001067,7.199999999998319,0.8999999999992347,0.8999999999992347,bajo,-3.5999999999991594,True,-1,25,4.39999999999996,extremo de la sesión (no de Asia)
False,False,False,0.35,cierre,True,23.800000000000487,8.20000000000043,25.599999999998957,0.4999999999988347,0.4999999999988347,bajo,-2.6999999999999247,True,-1,200,9.799999999999809,extremo de la sesión (no de Asia)
True,True,False,2.0,TP,True,4.3999999999999595,16.300000000000203,5.300000000001415,-6.499999999998174,5.300000000001415,alto,1.100000000000545,False,-1,25,2.40000000000018,rechazo del nivel de Asia
