lado,t,ent,stop,obj,rgoP,largo,gana,Rb,Rn,anio
compra,2020-06-26 01:45:00,1.12196,1.12081,1.12426,11.499999999999844,True,0,-1,-1.1243478260869582,2020
compra,2020-06-26 07:30:00,1.12279,1.12159,1.1251899999999997,11.999999999998678,True,0,-1,-1.1191666666666797,2020
compra,2020-07-03 07:00:00,1.12453,1.12275,1.1280900000000003,17.80000000000115,True,0,-1,-1.0803370786516802,2020
compra,2020-07-06 09:45:00,1.1294,1.1281,1.1319999999999997,12.999999999998568,True,1,2,1.889999999999988,2020
venta,2020-07-06 15:00:00,1.13052,1.13454,1.1224799999999997,40.200000000001346,False,0,-1,-1.0355721393034814,2020
compra,2020-07-07 11:00:00,1.12841,1.12627,1.1326899999999995,21.399999999998087,True,0,-1,-1.066822429906548,2020
venta,2020-07-08 00:30:00,1.127,1.12757,1.12586,5.699999999999594,False,0,-1,-1.250877192982474,2020
venta,2020-07-09 05:30:00,1.13594,1.13706,1.1337,11.200000000000099,False,1,2,1.8723214285714298,2020
venta,2020-07-09 14:30:00,1.13028,1.13486,1.12112,45.80000000000028,False,0,-1,-1.0312227074235807,2020
compra,2020-07-14 03:45:00,1.1342,1.13352,1.1355600000000001,6.800000000000139,True,0,-1,-1.2102941176470545,2020
compra,2020-07-15 07:30:00,1.14332,1.1391,1.1517599999999997,42.1999999999989,True,0,-1,-1.0338862559241715,2020
venta,2020-07-15 13:45:00,1.14274,1.14456,1.1391000000000002,18.199999999999328,False,1,2,1.9214285714285686,2020
venta,2020-07-20 21:45:00,1.14427,1.14488,1.14305,6.099999999999994,False,0,-1,-1.234426229508197,2020
venta,2020-07-23 07:15:00,1.15757,1.15838,1.15595,8.099999999999774,False,0,-1,-1.176543209876548,2020
venta,2020-07-28 01:30:00,1.17583,1.1769,1.1736899999999997,10.700000000001264,False,1,2,1.8663551401869316,2020
compra,2020-07-28 10:45:00,1.17377,1.16987,1.18157,39.00000000000014,True,1,2,1.9633333333333334,2020
venta,2020-07-29 00:30:00,1.17161,1.17234,1.1701500000000002,7.299999999998974,False,0,-1,-1.1958904109589317,2020
venta,2020-07-29 18:45:00,1.17664,1.17773,1.1744599999999998,10.900000000000354,False,0,-1,-1.1311926605504545,2020
compra,2020-08-03 15:45:00,1.17496,1.16959,1.1857000000000002,53.70000000000097,True,1,2,1.9733705772811923,2020
compra,2020-08-05 06:30:00,1.18183,1.18131,1.1828699999999996,5.199999999998539,True,0,-1,-1.2750000000000772,2020
venta,2020-08-14 06:30:00,1.18107,1.18185,1.17951,7.800000000000029,False,1,2,1.8166666666666673,2020
compra,2020-08-14 11:00:00,1.18105,1.17817,1.18681,28.799999999999937,True,1,2,1.950347222222222,2020
venta,2020-08-18 06:45:00,1.18855,1.1895,1.18665,9.500000000000064,False,0,-1,-1.1505263157894727,2020
venta,2020-08-19 03:45:00,1.19296,1.19526,1.18836,22.999999999999687,False,1,2,1.937826086956521,2020
compra,2020-08-19 13:15:00,1.19416,1.19254,1.1974000000000005,16.20000000000177,True,0,-1,-1.088271604938262,2020
venta,2020-08-21 02:15:00,1.18643,1.18754,1.1842100000000002,11.099999999999444,False,0,-1,-1.1288288288288353,2020
venta,2020-08-25 00:15:00,1.179,1.17951,1.17798,5.1000000000001044,False,0,-1,-1.2803921568627392,2020
venta,2020-08-26 02:00:00,1.18234,1.1839,1.17922,15.600000000000058,False,1,2,1.9083333333333337,2020
compra,2020-08-26 14:15:00,1.18238,1.17721,1.1927199999999998,51.699999999998965,True,0,-1,-1.0276595744680856,2020
venta,2020-08-27 02:45:00,1.18277,1.18497,1.1783700000000001,21.999999999999797,False,0,-1,-1.0650000000000006,2020
venta,2020-09-01 13:30:00,1.19714,1.19952,1.1923800000000004,23.799999999998267,False,1,2,1.9399159663865502,2020
