i_base,i_ent,k,alcista,entrada,objetivo,stop,nat,sim,rr,ts,riesgo_u,R,coste_R,R_neto,ins,coste,uni
19,20,1,True,1910.975,1920.745,1907.987,0.0,1.0,3.2697456492639025,2023-01-17 05:59:00,298.7999999999829,-1.0,0.11713520749665998,-1.11713520749666,XAUUSD,35.0,u
28,29,1,True,1923.765,1935.445,1911.248,1.0,1.0,0.9331309419189732,2023-01-23 17:59:00,1251.7000000000053,0.9331309419189732,0.027961971718462774,0.9051689702005103,XAUUSD,35.0,u
38,39,1,True,1924.255,1934.425,1920.585,0.0,0.0,2.771117166212437,2023-01-30 17:59:00,367.0000000000073,-1.0,0.09536784741144225,-1.0953678474114423,XAUUSD,35.0,u
21,22,1,False,4158.199,4122.389,4186.499,0.0,0.0,1.265371024734956,2023-02-01 17:59:00,28.300000000000182,-1.0,0.07067137809187234,-1.0706713780918724,GRXEUR,2.0,p
45,46,1,True,1914.885,1959.625,1911.225,0.0,0.0,12.224043715846724,2023-02-03 05:59:00,366.0000000000082,-1.0,0.0956284153005443,-1.0956284153005442,XAUUSD,35.0,u
23,24,1,False,4241.039,4191.339,4258.059,1.0,1.0,2.920094007050443,2023-02-03 17:59:00,17.020000000000437,2.920094007050443,0.11750881316098406,2.802585193889459,GRXEUR,2.0,p
47,48,1,True,1877.938,1918.145,1859.647,0.0,0.0,2.1981848996774103,2023-02-06 05:59:00,1829.1000000000167,-1.0,0.01913509376195926,-1.0191350937619592,XAUUSD,35.0,u
48,49,1,False,1865.885,1859.647,1881.198,0.0,0.0,0.4073662900803249,2023-02-06 17:59:00,1531.3000000000102,-1.0,0.022856396525827577,-1.0228563965258275,XAUUSD,35.0,u
51,52,1,True,1876.855,1884.348,1864.898,1.0,0.0,0.6266622062390124,2023-02-08 05:59:00,1195.7000000000107,0.6266622062390124,0.029271556410470592,0.5973906498285417,XAUUSD,35.0,u
52,53,1,False,1875.635,1864.898,1886.345,0.0,1.0,1.0025210084033653,2023-02-08 17:59:00,1071.0000000000036,-1.0,0.032679738562091394,-1.0326797385620914,XAUUSD,35.0,u
26,27,1,False,4214.059,4190.339,4241.379,0.0,0.0,0.8682284040995794,2023-02-08 17:59:00,27.31999999999971,-1.0,0.07320644216691147,-1.0732064421669114,GRXEUR,2.0,p
56,57,1,False,1861.625,1852.588,1872.035,1.0,1.0,0.8681075888568649,2023-02-10 17:59:00,1041.0000000000082,0.8681075888568649,0.03362151777137341,0.8344860710854914,XAUUSD,35.0,u
59,60,1,True,1859.265,1866.395,1850.325,0.0,0.0,0.7975391498881251,2023-02-14 05:59:00,894.0000000000055,-1.0,0.03914988814317649,-1.0391498881431764,XAUUSD,35.0,u
66,67,1,True,1840.745,1845.158,1818.805,1.0,0.0,0.2011394712853257,2023-02-17 17:59:00,2193.9999999999827,0.2011394712853257,0.015952597994530665,0.18518687329079503,XAUUSD,35.0,u
