id,R,motivo,rr,riesgo,neto
S01,-1.0,SL,4.903846153847632,5.199999999998539,-1.2307692307692957
S02,2.0,TP,2.0,2.4000000000001798,1.5000000000000375
S03,1.9999999999995375,TP,1.9999999999995375,4.8000000000003595,1.7499999999995561
S04,2.0,TP,2.0,2.9999999999996696,1.599999999999956
S05,-1.0,SL,2.0,3.5000000000007248,-1.342857142857072
S06,-1.0,SL,1.9999999999975329,1.80000000000069,-1.6666666666664112
S07,-0.37288135593233096,cierre,2.000000000000376,5.9000000000009045,-0.5762711864407744
S08,2.0,TP,2.0,4.999999999999449,1.7599999999999736
S09,0.0,cierre,2.0000000000007403,2.9999999999996696,-0.40000000000004404
S10,-1.0,SL,7.676470588235141,3.4000000000000696,-1.352941176470581
S11,7.088888888887979,TP,7.088888888887979,4.500000000000615,6.822222222221349
S12,-1.0,SL,2.0,3.5000000000007248,-1.342857142857072
S13,2.000000000000258,TP,2.000000000000258,8.60000000000083,1.8604651162793413
S14,3.249999999999207,cierre,11.46428571428311,2.80000000000058,2.821428571427867
S15,-1.0,SL,1.999999999998414,4.20000000000087,-1.2857142857142265
S16,-1.0,SL,5.51063829787241,4.699999999999704,-1.2553191489361861
S17,-1.0,SL,1.9999999999993832,3.5999999999991594,-1.3333333333334112
S18,-1.0,SL,5.245283018868731,5.299999999999194,-1.226415094339657
S19,-1.0,SL,14.192307692305508,5.20000000000076,-1.230769230769197
S20,-1.0,SL,2.000000000000453,4.900000000001015,-1.2448979591836227
S21,-1.0,SL,2.0,2.6999999999999247,-1.4444444444444569
S22,0.20512820512778177,cierre,2.0,3.900000000001125,-0.10256410256443718
S23,-1.0,SL,2.0,6.299999999999084,-1.1904761904762182
S24,-1.0,SL,2.0,7.599999999998719,-1.157894736842132
S25,-1.0,SL,2.0,6.6000000000010495,-1.1818181818181528
S26,2.0,TP,2.0,3.4999999999985043,1.6571428571427107
S27,2.4285714285714035,cierre,6.484126984126792,12.600000000000389,2.3333333333333113
S28,-1.0,SL,2.0,2.9999999999996696,-1.400000000000044
S29,-1.0,SL,5.571428571428911,8.399999999999519,-1.142857142857151
S30,1.051282051282202,cierre,2.0,11.699999999998933,0.9487179487180901
S31,-1.0,SL,2.0,7.900000000000684,-1.151898734177202
S32,-1.0,SL,2.0,7.600000000000939,-1.1578947368420858
S33,-1.0,SL,8.083333333332948,2.4000000000001798,-1.4999999999999625
S34,-1.0,SL,2.0,6.399999999999739,-1.1875000000000075
S35,-1.0,SL,2.0,2.20000000000109,-1.5454545454542752
S36,-1.0,SL,1.9999999999993998,7.4000000000018495,-1.1621621621621216
S37,-1.0,SL,6.6774193548380625,3.1000000000003247,-1.3870967741935079
S38,-1.0,SL,9.166666666667776,2.9999999999996696,-1.400000000000044
S39,-1.0,SL,8.45098039215676,5.1000000000001044,-1.235294117647054
S40,-1.0,SL,3.250000000000185,5.999999999999339,-1.200000000000022
S41,2.1445783132526026,TP,2.1445783132526026,8.300000000001084,1.9999999999996094
S42,2.0,TP,2.0,3.9999999999995595,1.6999999999999669
S43,2.0,TP,2.0,6.800000000000139,1.8235294117647096
S44,3.346666666666556,TP,3.346666666666556,7.500000000000284,3.186666666666562
S45,-1.0,SL,2.0000000000001834,12.099999999999334,-1.0991735537190137
S46,-1.0,SL,12.54545454545265,6.6000000000010495,-1.1818181818181528
S47,-1.0,SL,7.92857142856939,2.80000000000058,-1.4285714285713398
S48,-1.0,SL,5.490196078431091,5.1000000000001044,-1.235294117647054
S49,-1.0,SL,2.0000000000005165,4.299999999999304,-1.2790697674419056
S50,1.9999999999992344,TP,1.9999999999992344,2.8999999999990145,1.5862068965508178
S51,-1.0,SL,2.0,4.500000000000615,-1.2666666666666302
S52,-1.0,SL,2.0,7.099999999999884,-1.169014084507045
S53,-1.0,SL,2.662650602409078,8.300000000001084,-1.1445783132529932
S54,-1.0,SL,12.416666666665664,2.4000000000001798,-1.4999999999999625
S55,0.5599999999998313,cierre,4.499999999999445,10.000000000001119,0.43999999999984474
S56,-1.0,SL,5.571428571430189,4.899999999998794,-1.2448979591837337
S57,-1.0,SL,5.288461538460824,5.20000000000076,-1.230769230769197
S58,-1.0,SL,3.4769230769227564,6.500000000000394,-1.1846153846153733
S59,-1.0,SL,31.03846153847034,2.5999999999992696,-1.4615384615385911
S60,0.11347517730508516,cierre,2.0,14.099999999999113,0.028368794326356403
S61,-1.0,SL,15.19047619047317,2.100000000000435,-1.571428571428453
S62,-1.0,SL,11.828571428569072,3.5000000000007248,-1.342857142857072
S63,2.2972972972974595,cierre,6.324324324324665,3.6999999999998145,1.972972972973119
S64,2.0,TP,2.0,4.299999999999304,1.7209302325580944
S65,2.0,TP,2.0,2.8999999999990145,1.5862068965515834
S66,-1.0,SL,2.0,2.6999999999999247,-1.4444444444444569
S67,-1.0,SL,8.444444444444079,2.6999999999999247,-1.4444444444444569
S68,-1.0,SL,2.840579710144545,6.900000000000794,-1.1739130434782408
S69,-1.0,SL,6.26923076923127,10.399999999999299,-1.1153846153846232
S70,-1.0,SL,2.0,1.7000000000000348,-1.705882352941162
S71,-1.0,SL,2.0,5.599999999998939,-1.2142857142857548
S72,-1.0,SL,8.0,2.6999999999999247,-1.4444444444444569
S73,-1.0,SL,6.21428571428443,4.20000000000087,-1.2857142857142265
S74,2.0,TP,2.0,4.999999999999449,1.7599999999999736
S75,4.9032258064509895,TP,4.9032258064509895,6.200000000000649,4.709677419354236
S76,-1.0,SL,6.666666666660636,2.700000000002145,-1.4444444444440914
S77,-1.0,SL,2.0,3.5000000000007248,-1.342857142857072
S78,-1.0,SL,2.0,3.5000000000007248,-1.342857142857072
S79,-1.0,SL,3.2812500000012577,3.1999999999987594,-1.3750000000001454
S80,-1.0,SL,2.0000000000004725,4.699999999999704,-1.2553191489361861
S81,-1.0,SL,2.8965517241376406,5.800000000000249,-1.206896551724129
S82,2.0,TP,2.0,3.5999999999991594,1.6666666666665888
S83,-1.0,SL,4.605263157894537,3.8000000000004697,-1.3157894736841715
S84,-1.0,SL,2.0,7.099999999999884,-1.169014084507045
S85,-1.0,SL,1.9999999999992837,3.1000000000003247,-1.3870967741935079
S86,-1.0,SL,2.0,6.900000000000794,-1.1739130434782408
S87,-1.0,SL,2.0,8.399999999999519,-1.142857142857151
S88,-1.0,SL,5.395348837210407,4.299999999999304,-1.2790697674419056
S89,-1.0,SL,2.0,15.899999999999803,-1.0754716981132084
S90,2.0,TP,2.0,6.999999999999229,1.8285714285714096
