R,neta,rgo,lado,gana,fvg,pos,anio
-1.0,-1.4027183488548367,3.972999999999338,1,False,True,0.0622188905547312,2020
-1.0,-1.424403183023792,3.770000000000717,1,False,True,0.3101467772814238,2020
-1.0,-1.7770762506067432,2.059000000000921,-1,False,True,0.5462667517549447,2020
-1.0,-1.7881773399016594,2.029999999999532,-1,False,True,0.5449904275686072,2020
-1.0,-1.7881773399016594,2.029999999999532,-1,False,True,0.767766497461929,2020
-1.0,-1.2982292637465387,5.364999999999398,-1,False,True,1.0790585395292651,2020
-1.0,-1.3969238402381645,4.030999999999896,1,False,True,0.38619402985075024,2020
2.448275862069535,2.177822853279773,5.915999999999144,-1,True,True,0.8339041095890427,2020
-1.0,-1.5997001499252614,2.6679999999990045,1,False,True,0.14114114114114418,2020
-1.0,-1.3031451307313566,5.277999999999672,1,False,True,0.27627800114876516,2020
2.448275862068888,2.042596348884321,3.9440000000001696,1,True,True,0.18174904942964967,2020
-1.0,-1.2089864158829586,7.656000000000329,1,False,True,0.05425867507885585,2020
2.44827586206848,2.006896551723705,3.6250000000004334,1,True,True,0.21975532396918956,2020
2.44827586206848,2.006896551723705,3.6250000000004334,1,True,True,0.22473946533755532,2020
2.448275862067704,1.8352490421444891,2.6100000000006673,1,True,True,0.42886597938144033,2020
2.448275862068865,2.0271123979993604,3.798999999999886,-1,True,True,0.9673344947735177,2020
-1.0,-1.1963431095840096,8.148999999999518,1,False,True,-0.05936493327197477,2020
2.4482758620691505,2.233597209177683,7.452999999999488,-1,True,True,0.7251383851880144,2020
2.44827586206889,2.369345370233265,20.271000000000594,-1,True,True,0.9309163911195099,2020
-1.0,-1.2463054187192013,6.496000000000279,-1,False,True,0.6253878702397753,2020
2.448275862068721,2.1928480204339937,6.264000000000269,1,True,True,0.3435286542176434,2020
-1.0,-1.3885381253035811,4.117999999999622,-1,False,True,0.8570867687475507,2020
-1.0,-1.1585414189457102,10.091999999999324,1,False,True,0.33399014778325187,2020
-1.0,-1.1963431095840096,8.148999999999518,1,False,True,0.2659416707859589,2020
-1.0,-1.3343782654127145,4.785000000000483,-1,False,True,0.8172523961661281,2020
-1.0,-1.1400315070890823,11.426000000001046,-1,False,True,0.6285195277020843,2020
-1.0,-1.2028397565922835,7.888000000000339,1,False,True,0.13999213527330043,2020
-1.0,-1.169240533107682,9.453999999999851,1,False,True,0.20638923917612334,2020
-1.0,-1.346996313164095,4.611000000001031,1,False,True,0.41046831955923396,2020
-1.0,-1.2172142275319104,7.365999999999762,1,False,True,0.09206586826346098,2020
-1.0,-1.249648931190492,6.409000000000553,1,False,True,0.10853293413173257,2020
-1.0,-1.5869405722671521,2.725999999999562,1,False,True,0.49473156046161454,2020
-1.0,-1.5156300354495889,3.102999999999856,-1,False,True,0.8014293006636064,2020
-1.0,-1.1671891327063573,9.570000000000967,-1,False,True,1.2056962025316467,2020
-1.0,-1.8757525998900944,1.8270000000009112,-1,False,True,0.9179869524697123,2020
-1.0,-2.0818120351590474,1.478999999999786,-1,False,True,0.9155017086051556,2020
2.44827586206848,2.006896551723705,3.6250000000004334,-1,True,True,0.7674275138803168,2020
2.448275862069188,2.3030852994557494,11.019999999999364,-1,True,True,1.1069982648930103,2020
-1.0,-1.1774032597849182,9.018999999999,-1,False,True,1.0994794679005313,2020
2.448275862069188,2.157894736842311,5.509999999999682,1,True,True,0.42130177514793016,2020
2.4482758620692513,2.209434243917249,6.6989999999989,1,True,True,0.20281690140845163,2020
-1.0,-1.2691337258199926,5.945000000000533,1,False,True,0.21352112676055926,2020
-1.0,-1.2308469196364524,6.93099999999891,-1,False,True,0.7741935483870995,2020
-1.0,-1.3014885999622536,5.307000000001061,-1,False,True,0.7555685814771401,2020
2.4482758620690555,2.3143622363576326,11.947999999999404,-1,True,True,0.5406839622641423,2020
2.4482758620686056,2.090013434840721,4.466000000000747,-1,True,True,0.9978260869565235,2020
-1.0,-1.324543610547617,4.930000000000767,-1,False,True,0.8733806936899253,2020
-1.0,-1.160852518347256,9.94699999999904,-1,False,True,0.5575723199092448,2020
-1.0,-1.1857657030070923,8.612999999999538,-1,False,True,0.5388542257515498,2020
-1.0,-1.3170828378914203,5.045999999999662,1,False,True,0.46171298922290405,2020
-1.0,-1.4970487729110349,3.2189999999987506,1,False,True,0.23449497932664234,2020
-1.0,-1.265251989389909,6.032000000000259,1,False,True,0.11742892459827127,2020
-1.0,-1.4882514494965937,3.2769999999993082,-1,False,True,0.6882738528769079,2020
-1.0,-1.6647278770253908,2.406999999999826,-1,False,True,0.6795338674435577,2020
-1.0,-1.2786485545106385,5.741999999999692,-1,False,True,0.9782135076252748,2020
