id,opera,lado,exceso,mecha,cuerpo,hora,rgo
S01,1,1,0.10000000000065512,3.4000000000000696,2.1999999999988695,8,5.199999999998539
S02,0,-1,0.9999999999998899,2.5999999999992696,1.500000000000945,8,2.4000000000001798
S03,0,-1,3.900000000001125,6.900000000000794,3.5000000000007248,11,4.8000000000003595
S04,0,-1,6.499999999998174,8.099999999999774,1.3999999999980695,10,2.9999999999996696
S05,0,-1,4.20000000000087,6.800000000000139,2.100000000000435,12,3.5000000000007248
S06,0,-1,3.8000000000004697,5.800000000000249,0.700000000000145,11,1.80000000000069
S07,1,-1,21.499999999998742,24.999999999999467,3.20000000000098,11,5.9000000000009045
S08,1,-1,1.8999999999991246,2.5999999999992696,3.4000000000000696,9,4.999999999999449
S09,1,-1,0.4999999999988347,1.5999999999993797,1.9999999999997797,13,2.9999999999996696
S10,0,1,4.100000000000215,6.500000000000394,1.500000000000945,10,3.4000000000000696
S11,0,1,13.700000000000934,18.800000000001038,1.7000000000000348,9,4.500000000000615
S12,0,-1,3.8000000000004697,5.20000000000076,1.100000000000545,10,3.5000000000007248
S13,1,-1,0.40000000000040004,3.8000000000004697,4.500000000000615,8,8.60000000000083
S14,0,1,11.299999999998533,12.999999999998568,1.100000000000545,13,2.80000000000058
S15,0,-1,23.599999999999177,27.800000000000047,1.7000000000000348,11,4.20000000000087
S16,0,1,6.800000000000139,8.60000000000083,3.6999999999998145,9,4.699999999999704
S17,0,-1,14.300000000000423,15.400000000000968,1.7999999999984695,11,3.5999999999991594
S18,0,1,6.500000000000394,9.699999999999154,2.4000000000001798,9,5.299999999999194
S19,0,1,31.000000000001027,34.10000000000135,2.20000000000109,10,5.20000000000076
S20,1,-1,0.2999999999997449,2.80000000000058,1.6000000000016001,8,4.900000000001015
S21,0,-1,3.8000000000004697,5.20000000000076,1.7999999999984695,9,2.6999999999999247
S22,0,-1,26.699999999999502,29.200000000000337,2.80000000000058,13,3.900000000001125
S23,0,-1,10.300000000000864,14.199999999999768,2.500000000000835,9,6.299999999999084
