par,t,d,rr,R,neta,tp,p_D5,p_D10,p_D20,p_W3,p_W6,p_W12,bd,fuera
EURUSD,2020-03-23 00:00:00,1,3.9287383177569066,3.9287383177569066,3.8953271028036363,1,1,1,1,0,0,0,1,False
EURUSD,2020-03-24 00:00:00,-1,6.326086956521669,-1.0,-1.0444099378881988,0,1,1,1,0,0,0,1,False
EURUSD,2020-03-24 12:00:00,-1,2.4657534246575463,-1.0,-1.0217656012176561,0,1,1,1,0,0,0,1,False
EURUSD,2020-03-25 00:00:00,1,4.075060532687713,4.075060532687713,4.040435835351151,1,-1,-1,-1,0,0,0,-1,False
EURUSD,2020-03-27 12:00:00,-1,1.6367690782953006,-1.0,-1.0141724479682852,0,-1,-1,-1,0,0,0,1,False
EURUSD,2020-03-28 00:00:00,1,0.8995124593716183,-0.8921993499458211,-0.8999458288190605,0,-1,-1,-1,0,0,0,1,False
EURUSD,2020-04-02 00:00:00,1,3.6837782340863092,-1.0,-1.0293634496919921,0,1,1,1,0,0,0,-1,False
EURUSD,2020-04-04 00:00:00,1,4.664473684210382,-1.0,-1.0627192982456124,0,1,1,1,0,0,0,-1,False
EURUSD,2020-04-06 12:00:00,-1,2.2997237569060816,-1.0,-1.0395027624309396,0,1,1,1,0,0,0,-1,False
EURUSD,2020-04-07 00:00:00,1,2.5721311475409467,2.5721311475409467,2.525245901639307,1,1,1,1,0,0,0,1,False
EURUSD,2020-04-09 12:00:00,-1,1.8248407643312605,-1.0,-1.0455414012738866,0,0,1,1,0,0,0,-1,False
EURUSD,2020-04-10 12:00:00,-1,9.571428571428054,-1.0,-1.0972789115646204,0,0,1,1,0,0,0,1,False
EURUSD,2020-04-11 00:00:00,-1,2.462121212121078,-1.0,-1.0722222222222189,0,0,1,1,0,0,0,1,False
EURUSD,2020-04-13 12:00:00,-1,0.847480106100741,0.847480106100741,0.8095490716179828,1,-1,-1,-1,1,1,1,1,False
EURUSD,2020-04-14 00:00:00,1,3.5625,-0.3235294117646963,-0.3761029411764599,0,-1,-1,-1,1,1,1,-1,False
EURUSD,2020-04-16 00:00:00,1,2.6701902748413042,-1.0,-1.0302325581395342,0,-1,-1,-1,1,1,1,-1,False
EURUSD,2020-04-16 12:00:00,1,4.291666666666727,-1.0,-1.049652777777778,0,-1,-1,-1,1,1,1,-1,False
