instr,n,stop,rangoM1,coste,cs,ac,nec,neta,medido
EURUSD,85156,4.699999999999704,1.7000000000000348,1.43,30.42553191489553,31.331050195595168,43.47517730496517,-0.3567529673765749,True
GBPUSD,85363,6.40000000000196,2.2999999999995246,1.6,24.999999999992344,31.76495787519634,41.66666666666411,-0.2800094220133977,False
USDJPY,84499,5.400000000000205,2.0999999999986585,1.5,27.777777777776723,31.429820088862993,42.59259259259224,-0.3462319948404637,False
XAUUSD,38924,166.00000000000819,61.00000000001273,20.0,12.048192771083743,32.018474597428536,37.34939759036124,-0.12857444509442836,False
GRXEUR,38149,13.621999999999389,5.621999999999389,1.5,11.011598884158474,30.79104331671067,37.003866294719494,-0.19974247948449253,False
NSXUSD,80493,25.7599999999984,10.119999999998981,1.5,5.822981366459989,30.406228735104683,35.27432712215333,-0.06894474596884691,False
SPXUSD,80602,5.29700000000048,2.0150000000003274,0.5,9.439305267131484,30.515361590595386,36.47976842237716,-0.12278769936606895,False
