h,n,bruto,z,p,h1,h2,Rneto,pf
H1a,88,-0.13636363636363544,-0.7728221040942409,0.4396276699063022,-0.2727272727272727,1.836914458925259e-15,-19.94313186529778,0.7354431809431284
H1b,136,0.05882352941176531,0.3872983346207454,0.698535358303336,-0.058823529411764705,0.17647058823529532,-3.2360295351359287,0.9702400160884533
H2a,110,0.127272727272728,0.7383918606080202,0.4602763592587116,0.01818181818181818,0.23636363636363786,4.079666687811338,1.047124338258879
H2b,157,0.19745222929936374,1.3462283440605614,0.17822888673348136,0.07692307692307693,0.316455696202533,18.223624504429196,1.1523428611275564
H3a,142,0.3521126760563382,2.2097086912079615,0.027125386179066346,0.23943661971830985,0.4647887323943666,39.00344207962971,1.382498474994306
H3b,87,0.33333333333333365,1.6393596310755014,0.10113838378897011,0.20930232558139536,0.4545454545454551,22.463375631738845,1.3584925261238903
H4a,123,0.2357723577235779,1.409018387863505,0.15882973103262765,-0.01639344262295082,0.4838709677419369,18.89781683910181,1.2040763843291873
H4b,57,0.0526315789473684,0.22360679774997885,0.8230632737581216,-0.14285714285714285,0.2413793103448276,-1.516704395210993,0.9667562447409698
H5a,105,0.10476190476190476,0.5973702199418056,0.5502602317338054,0.38461538461538464,-0.16981132075471703,2.466617471623736,1.0298023031690857
H5b,53,0.05660377358490564,0.2314550249431378,0.8169613217153913,0.6923076923076923,-0.5555555555555556,-1.4913986169866718,0.9650472258007967
