par,dia,asia,ses_alto,ses_bajo
EURUSD,2020-05-12,13.499999999999623,NY,NY
EURUSD,2020-05-13,22.499999999998632,ASIA,NY
EURUSD,2020-05-14,14.499999999999513,NY,NY
EURUSD,2020-05-17,14.100000000001334,NY,LONDRES
EURUSD,2020-05-18,40.70000000000018,LONDRES,ASIA
EURUSD,2020-05-19,26.500000000000412,NY,ASIA
EURUSD,2020-05-20,28.300000000001102,NY,NY
EURUSD,2020-05-21,34.70000000000084,ASIA,NY
EURUSD,2020-05-24,34.399999999998876,NY,LONDRES
EURUSD,2020-05-25,35.00000000000058,NY,ASIA
EURUSD,2020-05-26,33.90000000000004,LONDRES,LONDRES
EURUSD,2020-05-27,29.50000000000008,NY,LONDRES
EURUSD,2020-05-28,40.99999999999992,NY,ASIA
EURUSD,2020-05-31,39.1000000000008,LONDRES,LONDRES
EURUSD,2020-06-01,23.299999999999432,NY,ASIA
EURUSD,2020-06-02,44.800000000000395,NY,ASIA
EURUSD,2020-06-03,36.19999999999956,NY,LONDRES
EURUSD,2020-06-04,57.800000000001184,ASIA,NY
EURUSD,2020-06-07,38.7000000000004,ASIA,LONDRES
EURUSD,2020-06-08,49.29999999999879,NY,LONDRES
EURUSD,2020-06-09,38.19999999999934,LONDRES,ASIA
EURUSD,2020-06-10,70.10000000000183,NY,ASIA
EURUSD,2020-06-11,39.400000000000546,LONDRES,NY
EURUSD,2020-06-14,41.49999999999876,NY,ASIA
EURUSD,2020-06-15,22.599999999999287,LONDRES,NY
EURUSD,2020-06-16,30.49999999999997,LONDRES,NY
EURUSD,2020-06-17,36.30000000000022,LONDRES,NY
EURUSD,2020-06-18,22.899999999999032,NY,NY
EURUSD,2020-06-21,38.09999999999869,NY,ASIA
EURUSD,2020-06-22,47.900000000000716,NY,ASIA
EURUSD,2020-06-23,18.400000000000638,ASIA,NY
EURUSD,2020-06-24,24.699999999999722,ASIA,NY
EURUSD,2020-06-25,20.400000000000418,LONDRES,NY
EURUSD,2020-06-28,47.099999999999916,LONDRES,ASIA
EURUSD,2020-06-29,47.80000000000006,NY,NY
EURUSD,2020-06-30,25.500000000000522,NY,LONDRES
EURUSD,2020-07-01,28.300000000001102,LONDRES,NY
EURUSD,2020-07-02,21.700000000000053,ASIA,LONDRES
EURUSD,2020-07-05,58.100000000000925,NY,ASIA
EURUSD,2020-07-06,40.90000000000149,ASIA,LONDRES
EURUSD,2020-07-07,20.199999999999108,NY,ASIA
EURUSD,2020-07-08,43.10000000000036,ASIA,NY
EURUSD,2020-07-09,32.2,NY,LONDRES
EURUSD,2020-07-12,32.399999999999096,NY,LONDRES
EURUSD,2020-07-13,14.999999999998348,NY,LONDRES
EURUSD,2020-07-14,32.00000000000092,NY,ASIA
EURUSD,2020-07-15,25.699999999999612,NY,LONDRES
EURUSD,2020-07-16,16.100000000001113,NY,ASIA
EURUSD,2020-07-19,54.30000000000046,LONDRES,NY
EURUSD,2020-07-20,46.800000000000175,NY,ASIA
EURUSD,2020-07-21,27.900000000000702,NY,LONDRES
EURUSD,2020-07-22,29.50000000000008,NY,NY
EURUSD,2020-07-23,30.89999999999815,NY,LONDRES
EURUSD,2020-07-26,82.9000000000013,NY,ASIA
EURUSD,2020-07-27,59.499999999999,ASIA,LONDRES
EURUSD,2020-07-28,36.89999999999971,NY,ASIA
EURUSD,2020-07-29,40.40000000000043,NY,LONDRES
EURUSD,2020-07-30,65.70000000000186,ASIA,NY
EURUSD,2020-08-02,56.09999999999893,ASIA,NY
EURUSD,2020-08-03,27.89999999999848,LONDRES,NY
EURUSD,2020-08-04,31.600000000000517,NY,ASIA
EURUSD,2020-08-05,53.300000000000566,ASIA,NY
EURUSD,2020-08-06,62.29999999999958,ASIA,NY
EURUSD,2020-08-09,35.60000000000007,ASIA,LONDRES
EURUSD,2020-08-10,34.49999999999953,LONDRES,ASIA
EURUSD,2020-08-11,32.600000000000406,NY,ASIA
EURUSD,2020-08-12,52.499999999999766,NY,ASIA
EURUSD,2020-08-13,25.100000000000122,NY,LONDRES
EURUSD,2020-08-16,26.599999999998847,NY,LONDRES
EURUSD,2020-08-17,32.89999999999793,NY,ASIA
EURUSD,2020-08-18,24.899999999998812,ASIA,NY
EURUSD,2020-08-19,22.100000000000453,LONDRES,NY
EURUSD,2020-08-20,20.000000000000018,ASIA,NY
EURUSD,2020-08-23,24.200000000000887,NY,ASIA
EURUSD,2020-08-24,31.000000000001027,NY,ASIA
EURUSD,2020-08-25,32.09999999999935,ASIA,NY
EURUSD,2020-08-26,25.700000000001832,NY,NY
EURUSD,2020-08-27,68.50000000000023,LONDRES,ASIA
EURUSD,2020-08-30,35.799999999999166,NY,LONDRES
EURUSD,2020-08-31,61.49999999999878,NY,NY
EURUSD,2020-09-01,38.000000000000256,ASIA,NY
EURUSD,2020-09-02,65.29999999999924,ASIA,LONDRES
EURUSD,2020-09-03,23.299999999999432,LONDRES,NY
