dia,i,fin,lado,entrada,stop,obj,riesgo,hora,dist_niv,dist_niv_R,sitio,dist_obj,atrae_contra,atrae_favor,cuerpo,cuerpo_pct,mecha_arriba,mecha_abajo,mecha_niv,mecha_niv_R,dentro,exceso,rango_asia,atr,dsem,R,motivo,rr,neto,ts,mecha_rechazo,ac,limpio,R240,M240,R360,M360,min_tp,min_sl,prim_sl,prim_tp
2020-01-20,3568,3634,-1,1.10986,1.11033,1.10892,4.699999999999704,8,2.4999999999986144,0.5319148936167599,0.7950819672132281,9.399999999999409,inf,1.1914893617024491,2.6999999999999247,0.6750000000000556,0.0499999999997779,0.2750000000001665,1.2000000000012,0.2553191489364416,1,0.2000000000013102,12.199999999999989,1.470833333333162,0,2.0,TP,2.0,1.744680851063814,2020-01-20,0.0499999999997779,99.0,1,2.0000000000004725,TP,2.0000000000004725,TP,43.0,,,43.0
2020-01-21,3868,3922,1,1.10896,1.1086,1.10993,3.5999999999991594,9,0.8999999999992347,0.2499999999998458,0.0849056603772814,9.700000000001374,2.083333333333899,2.305555555556395,2.5999999999992696,0.9629629629627192,0.0370370370372807,0.0,1.7000000000000348,0.4722222222223421,1,1.7000000000000348,10.600000000000607,2.366666666666813,1,-1.0,SL,2.6944444444454554,-1.3333333333334112,2020-01-21,0.0,2.083333333333899,1,-1.0,SL,-1.0,SL,94.0,51.0,51.0,
2020-01-22,4144,4210,1,1.10791,1.10743,1.10868,4.80000000000036,8,1.7999999999984695,0.374999999999653,0.1894736842103639,7.700000000001594,inf,0.3750000000001156,2.100000000000435,0.75,0.25,0.0,2.000000000002,0.4166666666670521,1,0.3000000000019653,9.500000000000064,1.4499999999999698,2,1.6041666666668788,TP,1.6041666666668788,1.3541666666668974,2020-01-22,0.0,99.0,1,1.6041666666668788,TP,1.6041666666668788,TP,123.0,450.0,,123.0
2020-01-24,4748,4786,1,1.10434,1.1041,1.10562,2.40000000000018,10,1.2999999999996348,0.5416666666664739,-0.1130434782608393,12.799999999999478,3.0,14.833333333332254,1.500000000000945,0.4411764705887923,0.2058823529406962,0.3529411764705114,3.99999999999956,1.6666666666663583,0,2.40000000000018,11.499999999999844,4.362499999999991,4,-1.0,SL,5.333333333332717,-1.4999999999999625,2020-01-24,0.3529411764705114,3.0,0,-1.0,SL,-1.0,SL,,2.0,2.0,
2020-01-27,5057,5074,1,1.10235,1.10206,1.10358,2.8999999999990145,12,0.9000000000014552,0.3103448275868141,-0.0789473684211859,12.300000000000644,inf,0.379310344827903,0.99999999999989,0.357142857143027,0.4642857142858559,0.178571428571117,2.80000000000058,0.9655172413798384,0,0.9000000000014552,11.399999999999189,2.866666666666943,0,-1.0,SL,4.241379310346491,-1.4137931034484166,2020-01-27,0.178571428571117,99.0,0,-1.0,SL,-1.0,SL,,74.0,74.0,
2020-01-28,5295,5362,1,1.10172,1.10142,1.10252,2.9999999999996696,8,0.0,0.0,0.0,7.999999999999119,0.700000000000222,4.966666666667185,1.5999999999993797,0.8421052631579562,0.1578947368420437,0.0,1.99999999999978,0.6666666666666666,1,0.4000000000004,7.999999999999119,1.124999999999876,1,-1.0,SL,2.6666666666666665,-1.400000000000044,2020-01-28,0.0,0.700000000000222,1,-1.0,SL,-1.0,SL,,6.0,6.0,
2020-01-29,5599,5650,1,1.10054,1.10018,1.10276,3.60000000000138,9,5.800000000000249,1.611111111110563,-0.3536585365854104,22.199999999998887,0.8888888888888203,5.027777777775482,0.700000000000145,0.5384615384618012,0.3076923076909938,0.1538461538472049,8.40000000000174,2.3333333333329223,0,6.200000000000649,16.399999999998638,2.345833333333528,2,-1.0,SL,6.1666666666639935,-1.3333333333332056,2020-01-29,0.1538461538472049,0.8888888888888203,0,-1.0,SL,-1.0,SL,,10.0,10.0,
2020-01-30,5870,5938,1,1.10087,1.10059,1.10179,2.80000000000058,8,0.2999999999997449,0.1071428571427438,-0.0337078651685084,9.20000000000032,5.071428571427439,2.28571428571372,1.2000000000012,0.705882352941868,0.294117647058132,0.0,2.100000000000435,0.75,0,0.4999999999988347,8.900000000000574,1.25000000000014,3,3.28571428571372,TP,3.28571428571372,2.85714285714238,2020-01-30,0.0,5.071428571427439,0,3.28571428571372,TP,3.28571428571372,TP,76.0,,,76.0
2020-02-03,6457,6514,1,1.10782,1.10726,1.10907,5.60000000000116,9,1.7000000000000348,0.3035714285713719,-0.157407407407415,12.499999999999734,inf,0.553571428571372,2.40000000000018,0.6315789473683903,0.0263157894738533,0.3421052631577563,8.60000000000083,1.5357142857141155,0,3.99999999999956,10.7999999999997,2.420833333333187,0,-1.0,SL,2.2321428571423474,-1.21428571428567,2020-02-03,0.3421052631577563,99.0,0,-1.0,SL,-1.0,SL,,22.0,22.0,
2020-02-04,6741,6802,1,1.1052,1.1048,1.10641,3.99999999999956,8,3.5000000000007248,0.8750000000002776,-0.4069767441861966,12.099999999999334,4.100000000000111,1.5750000000004996,1.80000000000069,0.6428571428572561,0.0357142857145122,0.3214285714282315,6.500000000000394,1.6250000000002776,0,5.300000000001415,8.599999999998609,2.050000000000015,1,-1.0,SL,3.0250000000001664,-1.3000000000000331,2020-02-04,0.3214285714282315,4.100000000000111,0,0.2750000000001665,cierre,-1.0,SL,,252.0,252.0,
2020-02-05,7040,7090,-1,1.10392,1.10484,1.10208,9.20000000000032,9,6.699999999999484,0.728260869565136,0.4552845528455989,18.40000000000064,0.4130434782609063,0.6956521739129911,7.999999999999119,0.8602150537634614,0.0752688172043267,0.0645161290322118,1.99999999999978,0.2173913043477946,1,1.2000000000012,12.300000000000644,2.224999999999866,2,2.0,TP,2.0,1.8695652173913089,2020-02-05,0.0752688172043267,0.4130434782609063,1,2.0,TP,2.0,TP,118.0,,,118.0
2020-02-06,7315,7378,-1,1.10027,1.10066,1.0994900000000003,3.899999999998904,8,0.6000000000017103,0.1538461538466356,1.0740740740742871,7.799999999997809,3.0256410256417703,2.307692307693271,2.0999999999982144,0.875,0.0,0.125,3.5000000000007248,0.8974358974363353,0,2.100000000000435,8.099999999999774,1.67916666666675,3,-1.0,SL,2.0,-1.307692307692394,2020-02-06,0.0,3.0256410256417703,0,-1.0,SL,-1.0,SL,50.0,17.0,17.0,
2020-02-07,7600,7666,1,1.09729,1.09676,1.09849,5.300000000001415,8,4.299999999999304,0.8113207547166333,-0.5584415584415136,11.999999999998678,1.6037735849052652,3.962264150942321,3.300000000001635,0.9166666666667694,0.0833333333332305,0.0,8.60000000000083,1.6226415094336857,0,5.399999999999849,7.699999999999374,1.4833333333335217,4,-1.0,SL,2.264150943395373,-1.2264150943395622,2020-02-07,0.0,1.6037735849052652,0,-1.0,SL,-1.0,SL,,26.0,26.0,
2020-02-11,8191,8242,1,1.09098,1.09061,1.0917,3.699999999999815,9,1.99999999999978,0.5405405405405082,0.217391304347847,7.199999999998319,0.594594594594919,9.432432432432886,2.20000000000109,0.5000000000002524,0.045454545454339,0.4545454545454087,2.20000000000109,0.594594594594919,1,0.1000000000006551,9.1999999999981,2.2124999999998765,1,1.9459459459455888,TP,1.9459459459455888,1.621621621621249,2020-02-11,0.4545454545454087,0.594594594594919,0,1.9459459459455888,TP,1.9459459459455888,TP,108.0,259.0,,108.0
2020-02-13,8752,8815,-1,1.08767,1.08797,1.08707,2.9999999999996696,8,0.2999999999997449,0.0999999999999259,1.026785714285691,5.999999999999339,6.833333333334443,3.766666666666592,0.2999999999997449,0.3333333333333333,0.4444444444452668,0.2222222222213998,2.2999999999995246,0.7666666666665927,0,0.2000000000013102,11.2000000000001,1.6374999999997175,3,-1.0,SL,2.0,-1.400000000000044,2020-02-13,0.4444444444452668,6.833333333334443,0,-1.0,SL,-1.0,SL,198.0,18.0,18.0,
2020-02-14,9043,9103,-1,1.0841,1.08442,1.0834600000000003,3.1999999999987594,8,0.7999999999985796,0.249999999999653,0.9455782312926084,6.399999999997519,3.7812500000012577,2.187500000001301,1.99999999999978,0.7142857142854877,0.0714285714282315,0.2142857142862807,1.40000000000029,0.4375000000002602,1,0.5000000000010552,14.699999999998605,1.6499999999998922,4,2.0,TP,2.0,1.6249999999998546,2020-02-14,0.0714285714282315,3.7812500000012577,1,2.0,TP,2.0,TP,14.0,71.0,,14.0
2020-02-17,9347,9391,-1,1.08468,1.08519,1.08366,5.100000000000104,10,5.20000000000076,1.019607843137383,1.634146341463474,10.200000000000207,inf,1.039215686274766,2.79999999999836,0.8749999999998265,0.0,0.1250000000001734,9.300000000000974,1.8235294117648595,0,6.900000000000794,8.20000000000043,2.2875000000000902,0,2.0,TP,2.0,1.764705882352946,2020-02-17,0.0,99.0,0,2.0,TP,2.0,TP,157.0,,,157.0
2020-02-19,9918,9967,-1,1.08048,1.08076,1.0799200000000004,2.79999999999836,9,1.100000000000545,0.3928571428575677,1.0887096774193894,5.599999999996719,2.714285714286848,6.928571428575677,0.3999999999981796,0.2352941176459831,0.6470588235297191,0.1176470588242977,3.1000000000003247,1.107142857143622,0,1.40000000000029,12.4000000000013,2.4208333333330945,2,-1.0,SL,2.0,-1.4285714285716795,2020-02-19,0.6470588235297191,2.714285714286848,0,-1.0,SL,-1.0,SL,57.0,19.0,19.0,
2020-02-20,10189,10255,1,1.07855,1.07768,1.08152,8.699999999999264,8,1.500000000000945,0.1724137931035715,-0.0531914893617347,29.700000000001392,0.1034482758619897,2.5747126436784016,1.99999999999978,0.6666666666666666,0.0,0.3333333333333333,9.20000000000032,1.0574712643679425,0,2.100000000000435,28.200000000000447,1.8999999999999573,3,0.2988505747128402,cierre,3.4137931034487248,0.1609195402300699,2020-02-20,0.3333333333333333,0.1034482758619897,0,0.7471264367817178,cierre,1.1724137931035714,cierre,396.0,,,396.0
2020-02-21,10489,10543,-1,1.08001,1.0806,1.0788299999999995,5.9000000000009045,9,5.299999999999194,0.8983050847454884,1.5353535353534289,11.800000000001807,1.0169491525424814,2.932203389830075,0.8000000000008001,0.1818181818183653,0.5000000000002524,0.3181818181813823,10.200000000000207,1.7288135593218044,0,5.5000000000005045,9.900000000000464,2.80833333333332,4,-1.0,SL,2.0,-1.2033898305084434,2020-02-21,0.5000000000002524,1.0169491525424814,0,-1.0,SL,-1.0,SL,,1.0,1.0,
2020-02-24,10805,10831,1,1.08187,1.08132,1.08423,5.5000000000005045,11,4.00000000000178,0.7272727272729842,0.1449275362319435,23.599999999999177,1.0,2.8727272727268542,4.40000000000218,0.8627450980396254,0.078431372548661,0.0588235294117134,0.700000000000145,0.1272727272727419,1,0.2999999999997449,27.60000000000096,5.241666666666774,0,-0.0909090909092744,cierre,4.290909090908547,-0.3090909090910725,2020-02-24,0.0588235294117134,1.0,0,-1.0,SL,-1.0,SL,241.0,189.0,189.0,
2020-02-25,11093,11119,1,1.0839,1.08338,1.08675,5.20000000000076,11,5.999999999999339,1.1538461538458582,-0.2666666666666272,28.500000000000192,4.999999999999573,0.5384615384611443,0.6000000000017103,0.352941176471587,0.3529411764702809,0.294117647058132,10.200000000000207,1.9615384615382152,0,6.300000000001305,22.500000000000853,4.220833333333322,1,-1.0,SL,5.480769230768467,-1.230769230769197,2020-02-25,0.294117647058132,4.999999999999573,0,-1.0,SL,-1.0,SL,317.0,26.0,26.0,
2020-02-26,11365,11407,-1,1.0887,1.0895,1.0871000000000002,7.999999999999119,10,5.999999999999339,0.75,1.3225806451612596,15.999999999998238,0.4000000000001665,2.637500000000361,5.399999999999849,0.7199999999999527,0.0,0.2800000000000474,12.999999999998568,1.625,0,9.299999999998754,18.599999999999728,4.283333333333361,2,-1.0,SL,2.0,-1.1500000000000166,2020-02-26,0.0,0.4000000000001665,0,-1.0,SL,-1.0,SL,207.0,19.0,19.0,
