entrada,salida,px_ent,px_sal,lotes,atr,motivo,noches,bruto,coste,neto,peor,capital
2023-01-12 12:21:00,2023-01-12 13:30:00,1886.688,1882.1161052631578,2.2563712799562916,4.431894736842117,stop,0,-1031.5891979194284,13.53822767973775,-1045.1274255991661,-3156.2121464028855,98954.87257440084
2023-01-13 08:07:00,2023-01-13 12:27:00,1901.615,1896.9745473684209,2.1987760048856004,4.500452631578965,stop,0,-1020.3315898124447,13.192656029313603,-1033.5242458417583,-1065.746729568058,97921.34832855908
2023-01-13 15:00:00,2023-01-13 15:01:00,1912.298,1907.3683999999998,2.044457748633682,4.789600000000012,stop,0,-1007.8358917664934,12.266746491802092,-1020.1026382582955,-1028.9755848873233,96901.24569030078
2023-01-15 23:04:00,2023-01-15 23:58:00,1921.938,1917.0580105263157,2.044334617793634,4.73998947368422,stop,0,-997.6331415521593,12.266007706761805,-1009.899149258921,-983.9382515441081,95891.34654104186
2023-01-18 14:09:00,2023-01-18 14:45:00,1924.287,1918.9782105263157,1.8551993078699056,5.1687894736842015,stop,0,-984.8862557206206,11.131195847219434,-996.0174515678401,-1031.8618550372328,94895.32908947402
2023-01-19 19:24:00,2023-01-20 01:00:00,1925.938,1930.177,1.9683485982563498,4.82106315789472,tiempo,1,834.3829708008284,80.70229252851034,753.680678272318,-232.8556391737534,95649.00976774633
2023-01-20 08:09:00,2023-01-20 08:36:00,1935.1850000000002,1930.4146210526317,2.065684274547484,4.630378947368399,stop,0,-985.4096775211489,12.394105647284903,-997.8037831684337,-1017.9692104970343,94651.2059845779
2023-01-24 06:32:00,2023-01-24 11:00:00,1937.575,1938.3049999999998,1.9696885445585086,4.8053894736841904,tiempo,0,143.78726375272993,11.818131267351053,131.96913248537888,-665.7547280607633,94783.17511706328
2023-01-25 19:55:00,2023-01-26 01:00:00,1942.488,1945.0349999999999,1.9657089544748299,4.821831578947357,tiempo,1,500.66607070469945,80.59406713346803,420.07200357123145,-230.18451856899614,95203.2471206345
2023-02-01 19:40:00,2023-02-02 01:00:00,1933.765,1952.2649999999999,2.0115270707213817,4.732884210526302,tiempo,1,3721.3250808345106,82.47260989957664,3638.852470934934,-466.674280407377,98842.09959156944
2023-02-02 07:08:00,2023-02-02 10:52:00,1957.278,1952.2698105263157,2.0303667333795574,4.868189473684204,stop,0,-1016.8461301830271,12.182200400277345,-1029.0283305833045,-1090.916045844857,97813.07126098614
2023-02-08 07:58:00,2023-02-08 12:00:00,1884.488,1880.0149999999999,1.6265737584033089,6.013442105263166,tiempo,0,-727.5664421338299,9.759442550419854,-737.3258846842498,-982.938522203111,97075.74537630189
2023-02-09 13:52:00,2023-02-09 14:36:00,1886.4850000000001,1880.9942210526317,1.8142357651318197,5.350778947368426,stop,0,-996.1567544748644,10.88541459079092,-1007.0421690656553,-1190.1386619265152,96068.70320723623
2023-02-20 06:05:00,2023-02-20 13:00:00,1845.298,1842.675,1.8624690687350225,5.158136842105277,tiempo,0,-488.5256367292052,11.174814412410136,-499.7004511416153,-812.5952546891109,95569.00275609462
