lado,t,ent,stop,obj,rgoP,largo,gana,Rb,Rn,anio
venta,2020-01-02 09:30:00,1.1209,1.12141,1.11988,5.1000000000001044,False,1,2,1.7196078431372608,2020
venta,2020-01-03 04:35:00,1.11728,1.11749,1.11686,2.100000000000435,False,1,2,1.31904761904776,2020
venta,2020-01-03 07:10:00,1.11633,1.11701,1.11497,6.800000000000139,False,0,-1,-1.2102941176470545,2020
venta,2020-01-05 23:50:00,1.11614,1.11677,1.1148799999999996,6.300000000001305,False,0,-1,-1.22698412698408,2020
venta,2020-01-06 03:55:00,1.11657,1.11709,1.1155300000000004,5.199999999998539,False,0,-1,-1.2750000000000772,2020
compra,2020-01-06 06:45:00,1.11609,1.11571,1.1168500000000001,3.8000000000004697,True,1,2,1.6236842105263622,2020
venta,2020-01-07 03:55:00,1.11922,1.11943,1.1188000000000005,2.0999999999982144,False,1,2,1.3190476190470402,2020
venta,2020-01-07 18:55:00,1.11434,1.11495,1.11312,6.099999999999994,False,0,-1,-1.234426229508197,2020
compra,2020-01-08 13:35:00,1.11191,1.11111,1.1135099999999998,7.999999999999119,True,0,-1,-1.1787500000000197,2020
compra,2020-01-09 12:05:00,1.11115,1.11034,1.11277,8.099999999999774,True,0,-1,-1.176543209876548,2020
venta,2020-01-09 19:55:00,1.11061,1.11098,1.1098700000000001,3.6999999999998145,False,0,-1,-1.3864864864865059,2020
compra,2020-01-10 19:25:00,1.11208,1.11171,1.11282,3.6999999999998145,True,0,-1,-1.3864864864865059,2020
compra,2020-01-13 08:55:00,1.1128,1.112,1.1143999999999998,7.999999999999119,True,0,-1,-1.1787500000000197,2020
venta,2020-01-13 09:50:00,1.11167,1.11361,1.1077899999999998,19.400000000000528,False,0,-1,-1.0737113402061835,2020
compra,2020-01-13 14:30:00,1.11256,1.11176,1.1141599999999998,7.999999999999119,True,1,2,1.8212499999999803,2020
venta,2020-01-15 07:30:00,1.11322,1.11368,1.1123000000000003,4.599999999999049,False,1,2,1.6891304347825444,2020
compra,2020-01-15 20:55:00,1.11523,1.11482,1.11605,4.100000000000215,True,0,-1,-1.3487804878048597,2020
venta,2020-01-16 03:45:00,1.11532,1.11549,1.11498,1.7000000000000348,False,1,2,1.158823529411782,2020
venta,2020-01-17 07:50:00,1.11358,1.11411,1.1125200000000002,5.299999999999194,False,1,2,1.730188679245242,2020
compra,2020-01-19 23:55:00,1.10946,1.10889,1.1105999999999998,5.699999999999594,True,0,-1,-1.250877192982474,2020
venta,2020-01-20 00:55:00,1.10928,1.10985,1.1081400000000001,5.699999999999594,False,0,-1,-1.250877192982474,2020
compra,2020-01-20 04:55:00,1.10965,1.1094,1.1101500000000002,2.500000000000835,True,1,2,1.428000000000191,2020
