R,neta,rgo,lado,hfrac,hbar,gana,fvg,pos,anio
-1.0,-1.1055648511271725,189.45699999999306,1,12,20,False,True,0.2288083538083486,2023
-1.0,-1.0722378938319665,276.863000000003,1,2,6,False,True,0.17728605705145542,2023
-1.0,-1.0308156913500357,649.0199999999959,1,12,15,False,True,0.14640585321700345,2023
-1.0,-1.0658067912608595,303.9199999999937,1,2,7,False,True,0.14385377075415406,2023
-1.0,-1.0569351252715087,351.2770000000046,-1,10,15,False,False,0.5632517482517474,2023
-1.0,-1.0572280451758194,349.47899999999663,-1,4,6,False,True,0.9468303109093712,2023
2.448275862069,2.3231115839539727,159.78999999999814,1,7,10,True,True,0.2606541381014537,2023
-1.0,-1.0263730467462255,758.3499999999958,1,10,17,False,False,0.31067773987839314,2023
-1.0,-1.0760369539596235,263.0300000000034,1,4,7,False,False,0.0915219907407412,2023
-1.0,-1.0795450025852111,251.43000000000484,1,22,2,False,True,0.4588192419825034,2023
2.4482758620690928,2.323338330834705,160.07999999999356,1,5,9,True,False,0.03954636075432354,2023
-1.0,-1.058594322210179,341.32999999999356,-1,9,13,False,False,0.6809567901234558,2023
2.4482758620689493,2.389376282906443,339.56100000000333,-1,10,14,True,False,0.8749346208006419,2023
2.448275862069066,2.359745031207218,225.90999999999894,1,6,8,True,True,0.08729619565217932,2023
-1.0,-1.079116114765837,252.79299999999694,1,12,14,False,True,0.047044632086852674,2023
-1.0,-1.121482327358425,164.63300000000345,1,6,9,False,True,0.09147953924072996,2023
-1.0,-1.2004811547714676,99.75999999999203,-1,1,3,False,False,0.551020408163268,2023
-1.0,-1.0371581450653986,538.2399999999961,-1,14,16,False,False,0.6430555149530841,2023
2.448275862068885,2.3339051867100533,174.8700000000099,-1,12,15,True,False,0.8484430972719756,2023
2.4482758620689693,2.3550792171481847,214.59999999999582,1,9,14,True,False,0.2557239600129012,2023
-1.0,-1.1570968502081675,127.30999999998858,-1,5,8,False,False,0.7542613636363618,2023
-1.0,-1.3317244696554682,60.291000000006534,1,19,20,False,False,0.3314829737069851,2023
-1.0,-1.1117755546861956,178.9299999999912,1,4,8,False,False,0.30462291461485924,2023
-1.0,-1.1326259946949568,150.80000000000382,1,5,7,False,False,0.44341542612792023,2023
-1.0,-1.034790655925632,574.8669999999947,-1,11,14,False,False,0.8004236290891971,2023
-1.0,-1.1151344194346864,173.7100000000055,-1,8,10,False,False,0.7938945293699728,2023
2.448275862068773,2.331365339537197,171.07100000000628,-1,21,2,True,False,0.8801150895140664,2023
2.4482758620689156,2.356930806120067,218.94999999999527,1,22,1,True,False,0.21524945089424838,2024
-1.0,-1.0752898659840364,265.6400000000076,1,9,16,False,False,0.3376112606085705,2024
-1.0,-1.0174230142337313,1147.9070000000092,1,12,14,False,False,0.19436969571517135,2024
-1.0,-1.2585883661094215,77.34299999999621,-1,0,1,False,False,0.6194889216396442,2024
-1.0,-1.1091226538629475,183.27999999999065,1,0,4,False,True,0.17797398689446328,2024
-1.0,-1.1110555833194542,180.0899999999956,1,0,5,False,True,0.20515510858591002,2024
-1.0,-1.0638569604086834,313.2000000000062,-1,22,2,False,True,0.8658536585365838,2024
2.4482758620688925,2.42231970202321,770.5300000000079,-1,14,16,True,True,0.7830497013411474,2024
2.448275862069029,2.4221822119587824,766.4699999999812,-1,14,16,True,True,0.7851910289642743,2024
-1.0,-1.0315588327650105,633.7370000000192,-1,14,16,False,True,0.5216948736816315,2024
-1.0,-1.0502664119835143,397.87999999998647,-1,14,17,False,True,0.5050282070149658,2024
-1.0,-1.021038900927816,950.6199999999808,1,16,20,False,False,0.4483590257111808,2024
2.448275862068975,2.4068625928433818,482.9369999999926,-1,9,15,True,True,0.7462196523356976,2024
-1.0,-1.0481266693938416,415.5700000000252,-1,14,18,False,True,0.7562519380551983,2024
2.4482758620689062,2.4168893799129063,637.2170000000096,1,9,12,True,True,0.44964430012641454,2024
-1.0,-1.0254861482784103,784.7400000000107,-1,10,14,False,False,0.8732212160414037,2024
-1.0,-1.0291855764881,685.2699999999913,-1,10,15,False,False,0.7511858559724008,2024
-1.0,-1.0956128063792865,209.17699999999968,1,1,3,False,False,0.37262024407752964,2024
2.44827586206877,2.372713774590545,264.68300000001364,-1,0,3,True,False,0.7285990703467286,2024
-1.0,-1.04431376806617,451.32699999999204,-1,11,17,False,False,0.5213232104121464,2024
-1.0,-1.0657440583807212,304.21000000001186,-1,2,7,False,True,0.9839246307927326,2024
-1.0,-1.156633016673567,127.68700000001445,1,22,1,False,True,0.06433690313229543,2024
2.4482758620688503,2.4050372932654787,462.5500000000102,-1,8,14,True,False,0.7327976435424753,2024
-1.0,-1.0471075937441143,424.559999999974,-1,10,16,False,True,0.6949780143485239,2024
-1.0,-1.0411488766356676,486.0400000000027,1,7,9,False,False,0.10537354562155225,2024
2.4482758620689973,2.346511781736432,196.53299999999945,-1,0,3,True,False,0.8953233397022429,2024
2.4482758620690492,2.3593913186467255,225.01099999999497,1,20,21,True,True,0.39189557692657695,2024
2.448275862068833,2.3805962573177277,295.51000000001295,-1,5,8,True,False,0.9583484779645625,2024
2.448275862068766,2.3962656680707446,384.5400000000154,-1,10,15,True,True,0.984214680347276,2024
2.4482758620689653,2.3931034482758617,362.5,-1,10,16,True,False,0.8810463411884122,2024
-1.0,-1.0875085867800873,228.54899999997542,-1,14,19,False,False,0.7893720712277394,2024
-1.0,-1.0393638797039821,508.0800000000181,-1,5,7,False,True,0.9867282853418664,2024
-1.0,-1.0627358475769857,318.796999999995,-1,7,16,False,True,0.9896286660359513,2024
-1.0,-1.0628673812592389,318.12999999997373,-1,12,17,False,False,0.8338491466973234,2024
2.448275862068975,2.4172661870503687,644.9599999999919,-1,11,16,True,True,0.5991813855956145,2024
-1.0,-1.0624122327976318,320.44999999998254,-1,5,8,False,False,0.79824441359895,2024
-1.0,-1.0568553316087237,351.7699999999877,-1,12,14,False,False,0.9419224842953675,2024
-1.0,-1.080295165026645,249.0809999999783,-1,8,10,False,True,0.9421812040767917,2024
-1.0,-1.0897988505747203,222.71999999998116,-1,8,10,False,True,0.9164493955913674,2024
-1.0,-1.0397198164150097,503.5269999999855,1,7,10,False,True,0.3089264379586937,2024
-1.0,-1.0405918288648506,492.7099999999882,1,19,2,False,False,0.33123092573753543,2024
-1.0,-1.0388888672839631,514.2859999999928,1,6,9,False,True,0.12488507127651798,2024
2.4482758620690688,2.419037079162645,684.0229999999792,1,19,1,True,True,0.1480807729132208,2024
2.4482758620688503,2.4050616774448903,462.8110000000106,1,21,2,True,True,0.34420449537240755,2024
2.448275862068985,2.4234591951955125,805.9099999999944,-1,21,2,True,False,0.9260288615713516,2024
-1.0,-1.049544193420533,403.67999999998574,1,21,1,False,True,0.3472463768115947,2024
-1.0,-1.0992309600595398,201.54999999999745,-1,13,15,False,False,0.5157599309153668,2024
-1.0,-1.1137481729199847,175.82699999998113,-1,5,8,False,False,0.8103949652777777,2024
-1.0,-1.0737599114881093,271.1499999999887,-1,12,14,False,False,0.8756069628950984,2024
-1.0,-1.0499063009200238,400.7509999999911,-1,11,15,False,False,0.6139582420791353,2025
-1.0,-1.056147127934039,356.2069999999949,-1,15,2,False,True,0.9564413296344975,2025
-1.0,-1.044330858932555,451.1530000000221,-1,11,13,False,False,0.6808052671562417,2025
-1.0,-1.0639161420216654,312.91000000001077,-1,0,2,False,False,0.8574322613319858,2025
-1.0,-1.0730566919929885,273.75999999999294,-1,0,2,False,False,0.8355279817675388,2025
-1.0,-1.0502664119835143,397.87999999998647,-1,17,18,False,True,0.7833333333333287,2025
-1.0,-1.0237239481394493,843.0299999999988,-1,0,2,False,True,0.5843124801524249,2025
-1.0,-1.0394991507682585,506.34000000000015,-1,12,15,False,False,0.5461956521739136,2025
-1.0,-1.0373190028362451,535.9199999999873,-1,8,10,False,True,0.5720446473871167,2025
-1.0,-1.038012190509497,526.1469999999917,-1,8,10,False,True,0.5589294774226361,2025
-1.0,-1.0244471879622052,818.0899999999838,-1,7,10,False,True,0.8786479109804753,2025
-1.0,-1.1546312045770812,129.34000000000196,1,15,19,False,False,0.4043377711106989,2025
-1.0,-1.0277862680263417,719.7799999999916,-1,12,15,False,False,0.9133102852203997,2025
-1.0,-1.0439831104855737,454.7199999999975,-1,14,17,False,True,0.9400172860847051,2025
-1.0,-1.0255806814693555,781.8399999999656,-1,14,19,False,False,0.5692418612389768,2025
-1.0,-1.0192533548970908,1038.779999999997,-1,15,18,False,True,0.9627469563315585,2025
-1.0,-1.0238305173605315,839.260000000013,-1,20,22,False,False,0.9724065028796378,2025
-1.0,-1.0367620027939126,544.0399999999954,-1,8,10,False,False,0.8900901977181763,2025
-1.0,-1.022686025408349,881.5999999999804,1,14,16,False,True,0.47606382978723644,2025
