ins,regla,k,dia,lado,rgo_u,R,mot,neta,dias
EURUSD,A,1,2021-05-13,1,31.999999999998696,1.0,TP,0.9553124999999982,1
EURUSD,A,1,2021-05-19,-1,69.39999999999947,-1.0,SL,-1.020605187319885,4
EURUSD,A,1,2021-05-27,1,19.099999999998563,-1.0,SL,-1.0748691099476497,1
EURUSD,A,1,2021-06-04,1,60.499999999998884,-1.0,SL,-1.0236363636363641,5
EURUSD,A,1,2021-06-23,-1,42.69999999999996,-1.0,SL,-1.0334894613583139,2
EURUSD,A,1,2021-07-05,-1,18.400000000000638,-1.0,SL,-1.0777173913043452,1
EURUSD,A,1,2021-07-14,1,64.1999999999987,-1.0,SL,-1.0222741433021811,3
EURUSD,A,1,2021-07-21,1,43.400000000000105,1.0,TP,0.9670506912442397,4
EURUSD,A,1,2021-07-30,-1,41.80000000000072,1.0,TP,0.9657894736842111,5
EURUSD,A,1,2021-08-20,1,31.30000000000077,1.0,TP,0.9543130990415347,1
EURUSD,A,1,2021-09-20,1,27.200000000000557,1.0,TP,0.9474264705882364,2
EURUSD,A,1,2021-10-14,-1,26.399999999999757,-1.0,SL,-1.0541666666666671,3
EURUSD,A,1,2021-10-27,-1,24.200000000000887,-1.0,SL,-1.0590909090909069,1
EURUSD,A,1,2021-11-02,-1,34.30000000000044,-1.0,SL,-1.0416909620991248,1
EURUSD,A,1,2021-11-05,1,49.900000000000496,-1.0,SL,-1.0286573146292581,3
EURUSD,A,1,2021-11-23,1,23.200000000000998,-1.0,SL,-1.0616379310344801,1
EURUSD,A,1,2021-12-03,1,45.20000000000079,-1.0,SL,-1.0316371681415923,1
EURUSD,A,1,2021-12-10,1,49.5000000000001,-1.0,SL,-1.0288888888888887,1
EURUSD,A,1,2021-12-20,1,42.200000000001125,1.0,TP,0.9661137440758303,2
EURUSD,A,1,2021-12-27,1,22.999999999999687,-1.0,SL,-1.062173913043479,1
EURUSD,A,1,2022-01-10,1,41.59999999999941,1.0,TP,0.9656249999999995,1
EURUSD,A,1,2022-01-24,1,35.09999999999902,-1.0,SL,-1.0407407407407419,1
EURUSD,A,1,2022-01-28,1,23.699999999999832,1.0,TP,0.9396624472573836,1
EURUSD,A,1,2022-02-17,1,37.4999999999992,-1.0,SL,-1.0381333333333342,1
EURUSD,A,1,2022-02-28,1,77.80000000000119,-1.0,SL,-1.0183804627249355,1
