R,neta,rgo,lado,gana,fvg,pos,anio
-1.0,-1.6682705159048408,2.2445999999999913,-1,False,True,0.9692404532102394,2023
-1.0,-1.6700017866714063,2.238800000000083,-1,False,True,0.9694083088543853,2023
-1.0,-1.722404161047995,2.0763999999999214,-1,False,True,0.9155191256830599,2023
-1.0,-1.3014227152158455,4.976399999999558,-1,False,True,0.9290612437928588,2023
-1.0,-1.3230739408559427,4.642899999999827,-1,False,True,0.7514926909615045,2023
-1.0,-1.4260637391353952,3.520599999999831,-1,False,True,0.7309038501132442,2023
-1.0,-1.2155172413793092,6.960000000000036,-1,False,True,0.6272347174163787,2023
-1.0,-1.2461881862495836,6.092899999999645,1,False,True,0.1742541066040888,2023
-1.0,-1.1202607252523495,12.472899999999754,1,False,True,-0.17453231292517096,2023
-1.0,-1.2041205127507209,7.3486000000002605,1,False,True,0.12369014992745657,2023
-1.0,-1.204362457254175,7.339900000000398,1,False,True,0.06718523295179785,2023
2.4482758620693983,2.0172413793107236,3.4799999999995634,-1,True,True,0.9513481828839384,2023
-1.0,-1.7347178683387157,2.041599999999562,-1,False,True,0.5241193628000859,2023
-1.0,-2.2524004341657835,1.1976999999997133,-1,False,True,0.8974142776840894,2023
2.4482758620695453,1.8938906752416398,2.705699999999524,-1,True,True,0.625799049336175,2023
2.448275862068816,2.2249419331783473,6.716400000000249,1,True,True,0.15178654292343405,2023
2.448275862068761,2.203832866175416,6.136400000000322,1,True,True,0.19237382421361388,2023
2.4482758620693983,1.9310344827589887,2.899999999999636,-1,True,True,0.5694945848375434,2023
-1.0,-1.5646739948803212,2.6563999999998487,-1,False,True,0.5485976117745103,2023
-1.0,-1.2141786249732336,7.0034999999998035,1,False,True,0.06885453186965049,2023
-1.0,-1.6338742393509436,2.366399999999885,-1,False,True,0.5715451577801958,2023
-1.0,-1.5177591384487692,2.897100000000137,1,False,True,0.3444392740809705,2023
2.4482758620692504,2.0801325315992285,4.074499999999716,-1,True,True,0.9660902458794891,2023
-1.0,-1.3261294951515372,4.59940000000006,-1,False,True,0.5197751660705132,2023
