slf,rr,riesgo,sl,tp,ajuste,fuera,f1,f2,R,dias
0.5,1.0,0.03,107.84000000000015,107.84000000000015,0.32662194,0.32560240500000004,0.52695,0.6179,-0.011836019996257737,13.0
1.0,1.0,0.03,215.6800000000003,215.6800000000003,0.30635548,0.32490092249999997,0.51315,0.63315,-0.005551629151406714,21.0
0.5,1.5,0.03,107.84000000000015,71.89333333333343,0.29988864,0.22801068749999998,0.41325,0.55175,-0.0485698328150109,18.0
0.35,1.0,0.03,75.4880000000001,75.4880000000001,0.292147975,0.22041383,0.4186,0.52655,-0.07443441878716345,10.0
0.75,1.0,0.03,161.76000000000022,161.76000000000022,0.29001496,0.33593583,0.5381,0.6243,-0.004031906535615832,17.0
1.0,1.5,0.03,215.6800000000003,143.78666666666686,0.2873921025,0.30090452,0.4858,0.6194,-0.01048125276611923,25.0
0.5,1.0,0.02,107.84000000000015,107.84000000000015,0.2802367,0.29080899250000003,0.47545,0.61165,-0.011836019996257737,25.0
0.75,1.5,0.03,161.76000000000022,107.84000000000015,0.27982331,0.2940845775,0.48405,0.60755,-0.01799951843534934,20.0
1.0,2.0,0.03,215.6800000000003,107.84000000000015,0.26352340750000003,0.24852174749999997,0.42705,0.58195,-0.01725929610990814,29.0
0.35,1.5,0.03,75.4880000000001,50.3253333333334,0.2537309075,0.1370547675,0.30285,0.45255,-0.10064529477548759,16.0
0.35,1.0,0.02,75.4880000000001,75.4880000000001,0.24328095000000002,0.1694796875,0.34325,0.49375,-0.07443441878716345,22.0
0.5,2.0,0.03,107.84000000000015,53.92000000000007,0.241275965,0.14726666500000002,0.3133,0.47005,-0.06963601676602425,21.0
0.25,1.0,0.03,53.92000000000007,53.92000000000007,0.24019914750000002,0.150992345,0.3373,0.44765,-0.1265534080074139,10.0
0.75,2.0,0.03,161.76000000000022,80.88000000000011,0.22067028,0.24254816250000003,0.42385,0.57225,-0.027463461235716434,25.0
0.5,1.5,0.02,107.84000000000015,71.89333333333343,0.21596407999999997,0.150042775,0.30715,0.4885,-0.0485698328150109,32.0
0.75,1.0,0.02,161.76000000000022,161.76000000000022,0.20073689999999997,0.286403455,0.4643,0.61685,-0.004031906535615832,31.0
0.5,1.0,0.015,107.84000000000015,107.84000000000015,0.19978266000000003,0.21905344000000004,0.3904,0.5611,-0.011836019996257737,38.0
0.35,2.0,0.03,75.4880000000001,37.74400000000005,0.19861022999999997,0.12462634000000002,0.2846,0.4379,-0.08327632687795875,19.0
0.25,1.0,0.02,53.92000000000007,53.92000000000007,0.19483282,0.100103315,0.25285,0.3959,-0.1265534080074139,19.0
1.0,1.0,0.02,215.6800000000003,215.6800000000003,0.18965210999999998,0.23465123000000002,0.40555,0.5786,-0.005551629151406714,37.0
0.25,1.5,0.03,53.92000000000007,35.946666666666715,0.177327495,0.124676935,0.28355,0.4397,-0.11286427376931812,17.0
1.0,3.0,0.03,215.6800000000003,71.89333333333343,0.1769768875,0.157459105,0.31765,0.4957,-0.027399819608183756,36.0
0.75,1.5,0.02,161.76000000000022,107.84000000000015,0.1741256,0.20004505500000003,0.36645,0.5459,-0.01799951843534934,37.0
0.35,1.0,0.015,75.4880000000001,75.4880000000001,0.170576325,0.10886365,0.25495,0.427,-0.07443441878716345,32.0
0.35,1.5,0.02,75.4880000000001,50.3253333333334,0.17043764,0.070182605,0.20035,0.3503,-0.10064529477548759,32.0
1.0,1.5,0.02,215.6800000000003,143.78666666666686,0.15722217,0.18835501750000003,0.34955,0.53885,-0.01048125276611923,42.0
0.75,3.0,0.03,161.76000000000022,53.92000000000007,0.15640666,0.111821825,0.2581,0.43325,-0.050438197841758604,33.0
0.5,3.0,0.03,107.84000000000015,35.946666666666715,0.13888158750000001,0.11138771249999999,0.26175,0.42555,-0.05410424333829368,31.0
0.5,2.0,0.02,107.84000000000015,53.92000000000007,0.13685048000000002,0.0685959675,0.19185,0.35755,-0.06963601676602425,38.0
0.25,1.0,0.015,53.92000000000007,53.92000000000007,0.13038494250000002,0.05676135,0.17025,0.3334,-0.1265534080074139,32.0
1.0,2.0,0.02,215.6800000000003,107.84000000000015,0.12668174999999998,0.1341989425,0.28315,0.47395,-0.01725929610990814,47.0
0.5,1.5,0.015,107.84000000000015,71.89333333333343,0.123645605,0.07944106249999999,0.20435,0.38875,-0.0485698328150109,46.0
0.25,2.0,0.03,53.92000000000007,26.960000000000036,0.11753754999999999,0.0870816,0.2256,0.386,-0.10721962689692653,20.0
0.75,1.0,0.015,161.76000000000022,161.76000000000022,0.11527884750000002,0.19807996499999997,0.3609,0.54885,-0.004031906535615832,43.0
0.75,2.0,0.02,161.76000000000022,80.88000000000011,0.10882418749999999,0.1312833725,0.28055,0.46795,-0.027463461235716434,42.0
0.35,3.0,0.03,75.4880000000001,25.1626666666667,0.1077168375,0.058859482500000004,0.17355,0.33915,-0.08505486463572504,29.0
0.25,1.5,0.02,53.92000000000007,35.946666666666715,0.09947486999999999,0.056274075,0.1749,0.32175,-0.11286427376931812,32.0
0.35,2.0,0.02,75.4880000000001,37.74400000000005,0.0993859875,0.054705500000000004,0.1675,0.3266,-0.08327632687795875,38.0
1.0,1.0,0.015,215.6800000000003,215.6800000000003,0.097472475,0.139736675,0.28925,0.4831,-0.005551629151406714,50.0
0.35,1.5,0.015,75.4880000000001,50.3253333333334,0.09410775,0.03115075,0.11755,0.265,-0.10064529477548759,42.0
