i_base,i_ent,k,alcista,entrada,objetivo,stop,nat,sim,rr,ts,riesgo_u,R,coste_R,R_neto,ins,coste,uni
28,29,1,False,4216.049,4173.349,4320.389,0.0,0.0,0.40923902626030056,2023-08-24 19:59:00,104.34000000000015,-1.0,0.019168104274487226,-1.0191681042744871,GRXEUR,2.0,p
143,144,1,True,1914.778,1923.225,1903.705,1.0,1.0,0.762846563713521,2023-08-25 20:59:00,1107.3000000000093,0.762846563713521,0.03160841686986337,0.7312381468436576,XAUUSD,35.0,u
154,155,1,False,1922.165,1917.225,1930.558,1.0,1.0,0.5885857262004096,2023-09-12 04:59:00,839.3000000000029,0.5885857262004096,0.0417014178482067,0.5468843083522029,XAUUSD,35.0,u
32,33,1,True,4187.059,4245.389,4174.349,0.0,0.0,4.5892997639653625,2023-09-22 19:59:00,12.710000000000036,-1.0,0.1573564122737997,-1.1573564122737996,GRXEUR,2.0,p
34,35,1,True,4132.579,4153.199,4100.699,1.0,1.0,0.6468005018820521,2023-09-27 19:59:00,31.88000000000011,0.6468005018820521,0.06273525721455436,0.5840652446674977,GRXEUR,2.0,p
39,40,1,True,4113.549,4145.499,4058.499,1.0,1.0,0.5803814713896406,2023-10-04 19:59:00,55.05000000000018,0.5803814713896406,0.036330608537692884,0.5440508628519477,GRXEUR,2.0,p
172,173,1,True,1822.675,1830.455,1812.924,0.0,1.0,0.7978668854476455,2023-10-06 04:59:00,975.0999999999976,-1.0,0.0358937544867194,-1.0358937544867195,XAUUSD,35.0,u
177,178,1,False,1876.178,1858.535,1884.885,0.0,0.0,2.0263006776157426,2023-10-13 04:59:00,870.699999999988,-1.0,0.04019754220741987,-1.04019754220742,XAUUSD,35.0,u
48,49,1,False,4152.559,4107.849,4166.699,1.0,1.0,3.1619519094767945,2023-10-17 19:59:00,14.139999999999418,3.1619519094767945,0.14144271570014727,3.0205091937766473,GRXEUR,2.0,p
52,53,1,True,4022.079,4066.499,3991.359,1.0,1.0,1.4459635416666423,2023-10-23 19:59:00,30.720000000000255,1.4459635416666423,0.06510416666666613,1.3808593749999762,GRXEUR,2.0,p
184,185,1,True,1976.115,1997.135,1970.025,0.0,1.0,3.4515599343185985,2023-10-24 04:59:00,608.9999999999918,-1.0,0.05747126436781686,-1.0574712643678168,XAUUSD,35.0,u
185,186,1,True,1972.315,1982.725,1953.404,1.0,1.0,0.5504732695256634,2023-10-25 04:59:00,1891.1000000000058,0.5504732695256634,0.018507746814023528,0.5319655227116399,XAUUSD,35.0,u
54,55,1,False,4049.049,4025.339,4084.389,1.0,1.0,0.6709111488398398,2023-10-25 19:59:00,35.340000000000146,0.6709111488398398,0.0565930956423314,0.6143180531975084,GRXEUR,2.0,p
191,192,1,True,1985.325,2007.734,1969.815,0.0,0.0,1.444809800128942,2023-11-02 04:59:00,1550.999999999999,-1.0,0.022566086395873642,-1.0225660863958737,XAUUSD,35.0,u
197,198,1,True,1957.235,1969.055,1944.575,0.0,0.0,0.9336492890995497,2023-11-10 05:59:00,1265.9999999999854,-1.0,0.027646129541864458,-1.0276461295418644,XAUUSD,35.0,u
61,62,1,True,4230.079,4233.369,4174.339,1.0,1.0,0.05902404018658013,2023-11-10 20:59:00,55.73999999999978,0.05902404018658013,0.03588087549336218,0.023143164693217956,GRXEUR,2.0,p
199,200,1,True,1944.355,1958.145,1931.515,1.0,1.0,1.073987538940814,2023-11-14 05:59:00,1283.9999999999918,1.073987538940814,0.02725856697819332,1.0467289719626207,XAUUSD,35.0,u
201,202,1,False,1962.815,1937.978,1975.148,0.0,0.0,2.0138652396010928,2023-11-16 05:59:00,1233.2999999999856,-1.0,0.02837914538230796,-1.028379145382308,XAUUSD,35.0,u
203,204,1,False,1980.398,1962.015,1993.335,0.0,0.0,1.4209631290097884,2023-11-17 21:59:00,1293.7000000000126,-1.0,0.0270541856690111,-1.0270541856690112,XAUUSD,35.0,u
211,212,1,True,2040.838,2049.438,2031.258,1.0,1.0,0.8977035490605638,2023-12-01 05:59:00,957.9999999999927,0.8977035490605638,0.036534446764092135,0.8611691022964717,XAUUSD,35.0,u
214,215,1,True,2024.745,2087.845,2009.855,0.0,0.0,4.237743451981226,2023-12-06 05:59:00,1488.9999999999873,-1.0,0.02350570852921444,-1.0235057085292145,XAUUSD,35.0,u
64,65,1,False,16598.199,16391.149,16729.769,0.0,,1.5736870107167267,2023-12-07 05:59:00,131.5699999999997,-1.0,0.015201033670289613,-1.0152010336702897,GRXEUR,2.0,p
216,217,1,False,2029.945,2020.075,2039.778,1.0,1.0,1.0037628394182658,2023-12-08 05:59:00,983.3000000000084,1.0037628394182658,0.03559442692972613,0.9681684124885397,XAUUSD,35.0,u
76,77,1,False,16713.469,16622.559,16736.199,0.0,,3.9995600527937354,2023-12-22 20:58:00,22.729999999999563,-1.0,0.08798944126704965,-1.0879894412670497,GRXEUR,2.0,p
227,228,1,False,2052.908,2032.028,2070.525,0.0,0.0,1.1852188227280274,2023-12-22 21:58:00,1761.700000000019,-1.0,0.019867173752625093,-1.019867173752625,XAUUSD,35.0,u
78,79,1,True,16721.049,16809.069,16688.259,1.0,,2.6843549862762455,2023-12-29 05:59:00,32.79000000000087,2.6843549862762455,0.06099420555047108,2.6233607807257746,GRXEUR,2.0,p
236,237,1,True,2032.695,2063.838,2016.604,0.0,1.0,1.935429743334812,2024-01-09 05:59:00,1609.0999999999894,-1.0,0.0217512895407372,-1.0217512895407372,XAUUSD,35.0,u
238,239,1,True,2032.885,2041.898,2020.395,1.0,1.0,0.7216172938350611,2024-01-11 05:59:00,1249.000000000001,0.7216172938350611,0.028022417934347458,0.6935948759007137,XAUUSD,35.0,u
240,241,1,False,2043.815,2013.225,2062.145,1.0,1.0,1.6688488816148537,2024-01-12 17:59:00,1832.9999999999927,1.6688488816148537,0.01909438079650853,1.6497545008183452,XAUUSD,35.0,u
88,89,1,True,16539.077,16840.269,16529.055,0.0,0.0,30.05308321692015,2024-01-16 05:59:00,10.022000000000844,-1.0,0.19956096587505803,-1.1995609658750581,GRXEUR,2.0,p
246,247,1,True,2030.725,2039.278,2016.448,0.0,1.0,0.5990754360159852,2024-01-23 05:59:00,1427.6999999999816,-1.0,0.024514954122014744,-1.0245149541220147,XAUUSD,35.0,u
247,248,1,False,2024.378,2016.448,2037.808,1.0,0.0,0.5904690990320028,2024-01-24 05:59:00,1343.0000000000064,0.5904690990320028,0.026061057334326013,0.5644080416976768,XAUUSD,35.0,u
249,250,1,True,2023.005,2036.575,2009.455,1.0,1.0,1.0014760147601294,2024-01-26 05:59:00,1355.0000000000182,1.0014760147601294,0.02583025830258268,0.9756457564575467,XAUUSD,35.0,u
250,251,1,False,2017.915,2009.455,2026.715,0.0,0.0,0.9613636363636454,2024-01-26 21:59:00,879.9999999999955,-1.0,0.03977272727272748,-1.0397727272727275,XAUUSD,35.0,u
252,253,1,False,2035.005,2020.485,2048.448,0.0,0.0,1.0801160455255874,2024-01-31 05:59:00,1344.2999999999756,-1.0,0.026035855091869845,-1.0260358550918698,XAUUSD,35.0,u
99,100,1,False,16968.577,16857.266,17015.766,1.0,1.0,2.3588336264808554,2024-01-31 05:59:00,47.18899999999849,2.3588336264808554,0.04238275869376474,2.3164508677870908,GRXEUR,2.0,p
253,254,1,False,2044.455,2028.935,2055.878,0.0,1.0,1.3586623478945699,2024-02-01 05:59:00,1142.300000000023,-1.0,0.030639936969271905,-1.0306399369692718,XAUUSD,35.0,u
102,103,1,False,16933.397,16783.677,17004.277,0.0,0.0,2.112302483070072,2024-02-02 21:00:00,70.87999999999738,-1.0,0.028216704288940096,-1.02821670428894,GRXEUR,2.0,p
255,256,1,True,2039.275,2065.348,2027.635,0.0,0.0,2.239948453608217,2024-02-02 21:59:00,1164.00000000001,-1.0,0.03006872852233651,-1.0300687285223364,XAUUSD,35.0,u
103,104,1,True,16935.988,17004.277,16858.299,1.0,1.0,0.8790047497071035,2024-02-06 05:59:00,77.68900000000212,0.8790047497071035,0.025743670275070414,0.8532610794320331,GRXEUR,2.0,p
258,259,1,False,2033.445,2022.795,2044.465,1.0,1.0,0.9664246823956335,2024-02-08 05:59:00,1101.9999999999982,0.9664246823956335,0.031760435571687895,0.9346642468239457,XAUUSD,35.0,u
259,260,1,True,2032.775,2044.465,2020.095,0.0,0.0,0.9219242902208019,2024-02-09 05:59:00,1268.0000000000064,-1.0,0.027602523659305857,-1.0276025236593058,XAUUSD,35.0,u
107,108,1,True,16957.277,17028.255,16873.399,1.0,0.0,0.8462052027945988,2024-02-09 21:00:00,83.87799999999697,0.8462052027945988,0.023844154605499324,0.8223610481890995,GRXEUR,2.0,p
261,262,1,True,2020.675,2037.058,2011.795,0.0,0.0,1.8449324324324612,2024-02-13 05:59:00,887.9999999999882,-1.0,0.03941441441441494,-1.0394144144144148,XAUUSD,35.0,u
108,109,1,False,16986.699,16873.399,17042.299,1.0,1.0,2.0377697841727023,2024-02-13 05:59:00,55.599999999998545,2.0377697841727023,0.035971223021583676,2.0017985611511184,GRXEUR,2.0,p
263,264,1,True,1991.835,2032.845,1984.088,1.0,1.0,5.293662062733912,2024-02-15 05:59:00,774.7000000000071,5.293662062733912,0.04517877888214752,5.2484832838517645,XAUUSD,35.0,u
110,111,1,False,16998.555,16780.655,17013.199,0.0,0.0,14.879814258399207,2024-02-15 05:59:00,14.644000000000233,-1.0,0.13657470636437916,-1.1365747063643792,GRXEUR,2.0,p
112,113,1,False,17072.777,16983.577,17197.777,0.0,0.0,0.7135999999999767,2024-02-16 20:59:00,125.0,-1.0,0.016,-1.016,GRXEUR,2.0,p
114,115,1,True,17068.488,17098.655,17017.655,1.0,1.0,0.5934530718233479,2024-02-21 05:59:00,50.83300000000236,0.5934530718233479,0.03934452029193452,0.5541085515314135,GRXEUR,2.0,p
118,119,1,False,17398.555,17355.699,17461.899,0.0,0.0,0.6765597373073869,2024-02-27 05:59:00,63.34400000000096,-1.0,0.03157362970447035,-1.0315736297044704,GRXEUR,2.0,p
272,273,1,False,2030.848,2024.975,2039.375,1.0,0.0,0.6887533716430183,2024-02-28 05:59:00,852.7000000000044,0.6887533716430183,0.04104608889410088,0.6477072827489174,XAUUSD,35.0,u
273,274,1,True,2035.565,2039.375,2024.355,1.0,1.0,0.33987511150757654,2024-02-29 05:59:00,1121.0000000000036,0.33987511150757654,0.031222123104370995,0.30865298840320554,XAUUSD,35.0,u
122,123,1,False,17747.255,17596.699,17816.255,0.0,0.0,2.1819710144927607,2024-03-01 21:00:00,69.0,-1.0,0.028985507246376812,-1.0289855072463767,GRXEUR,2.0,p
124,125,1,True,17719.077,17759.599,17623.655,0.0,1.0,0.4246609796482596,2024-03-06 05:59:00,95.4220000000023,-1.0,0.020959527153066922,-1.020959527153067,GRXEUR,2.0,p
279,280,1,False,2157.675,2124.255,2164.635,0.0,0.0,4.80172413793102,2024-03-08 05:59:00,696.0000000000036,-1.0,0.05028735632183882,-1.050287356321839,XAUUSD,35.0,u
128,129,1,True,17854.755,17899.899,17659.488,1.0,1.0,0.23119113828757687,2024-03-12 04:59:00,195.26699999999983,0.23119113828757687,0.010242386066258005,0.22094875222131888,GRXEUR,2.0,p
284,285,1,True,2169.065,2179.745,2152.665,0.0,0.0,0.6512195121951083,2024-03-15 04:59:00,1640.000000000009,-1.0,0.021341463414634027,-1.021341463414634,XAUUSD,35.0,u
132,133,1,False,17983.766,17862.655,18043.399,0.0,0.0,2.03093924504884,2024-03-15 19:59:00,59.63300000000163,-1.0,0.03353847701775771,-1.0335384770177578,GRXEUR,2.0,p
285,286,1,False,2155.625,2152.665,2172.615,1.0,0.0,0.17422012948793847,2024-03-15 19:59:00,1698.9999999999782,0.17422012948793847,0.02060035314891139,0.15361977633902707,XAUUSD,35.0,u
136,137,1,False,18157.066,17952.855,18207.277,0.0,0.0,4.0670570193782645,2024-03-22 04:59:00,50.21099999999933,-1.0,0.03983190934257487,-1.039831909342575,GRXEUR,2.0,p
292,293,1,False,2176.945,2163.455,2199.995,0.0,0.0,0.5852494577006679,2024-03-27 04:59:00,2304.9999999999727,-1.0,0.015184381778742045,-1.015184381778742,XAUUSD,35.0,u
293,294,1,False,2197.175,2169.525,2200.545,0.0,0.0,8.204747774481005,2024-03-28 04:59:00,336.9999999999891,-1.0,0.103857566765582,-1.103857566765582,XAUUSD,35.0,u
298,299,1,False,2277.975,2265.405,2305.425,0.0,0.0,0.4579234972677444,2024-04-05 04:59:00,2745.0000000000273,-1.0,0.012750455373406066,-1.0127504553734061,XAUUSD,35.0,u
146,147,1,True,18181.788,18428.255,18083.899,0.0,0.0,2.517821205651325,2024-04-05 19:59:00,97.88899999999921,-1.0,0.020431304845284107,-1.0204313048452842,GRXEUR,2.0,p
149,150,1,True,18093.699,18300.566,17973.288,0.0,0.0,1.7180074910099432,2024-04-11 04:58:00,120.41100000000006,-1.0,0.016609778176412446,-1.0166097781764125,GRXEUR,2.0,p
302,303,1,True,2342.805,2365.185,2319.265,1.0,1.0,0.9507221750212466,2024-04-11 04:59:00,2353.9999999999964,0.9507221750212466,0.014868309260832649,0.935853865760414,XAUUSD,35.0,u
150,151,1,True,18046.699,18238.899,17859.755,0.0,0.0,1.0281153714481408,2024-04-12 04:59:00,186.9439999999995,-1.0,0.010698390961999343,-1.0106983909619993,GRXEUR,2.0,p
304,305,1,False,2343.285,2325.655,2431.385,1.0,0.0,0.20011350737797481,2024-04-12 20:59:00,8810.000000000036,0.20011350737797481,0.003972758229284887,0.19614074914868992,XAUUSD,35.0,u
305,306,1,True,2385.975,2431.385,2323.858,0.0,0.0,0.7310398119677464,2024-04-16 04:59:00,6211.699999999973,-1.0,0.005634528389973783,-1.0056345283899737,XAUUSD,35.0,u
154,155,1,False,17804.399,17712.266,17908.399,1.0,1.0,0.8858942307692464,2024-04-18 04:57:00,104.0,0.8858942307692464,0.019230769230769232,0.8666634615384772,GRXEUR,2.0,p
307,308,1,True,2374.928,2398.128,2354.435,1.0,0.0,1.1320938857170908,2024-04-18 04:59:00,2049.299999999994,1.1320938857170908,0.017079002586249014,1.1150148831308417,XAUUSD,35.0,u
311,312,1,True,2326.575,2370.385,2291.265,0.0,0.0,1.2407250070801605,2024-04-24 04:59:00,3530.9999999999945,-1.0,0.009912206173888433,-1.0099122061738883,XAUUSD,35.0,u
159,160,1,False,18042.199,17946.555,18237.799,1.0,1.0,0.4889775051124793,2024-04-25 04:58:00,195.59999999999854,0.4889775051124793,0.0102249488752557,0.47875255623722357,GRXEUR,2.0,p
312,313,1,False,2315.198,2291.265,2337.128,0.0,,1.0913360693114307,2024-04-25 04:59:00,2193.000000000029,-1.0,0.01595987232102122,-1.0159598723210213,XAUUSD,35.0,u
313,314,1,False,2335.835,2304.898,2344.708,0.0,1.0,3.4866448777188923,2024-04-26 04:59:00,887.3000000000047,-1.0,0.039445508847063916,-1.039445508847064,XAUUSD,35.0,u
162,163,1,False,18113.566,17984.088,18238.199,1.0,1.0,1.0388741344587507,2024-04-30 04:59:00,124.63300000000163,1.0388741344587507,0.01604711432766582,1.0228270201310847,GRXEUR,2.0,p
317,318,1,False,2318.078,2281.515,2328.225,1.0,0.0,3.6033310338031277,2024-05-02 04:59:00,1014.6999999999935,3.6033310338031277,0.03449295358233983,3.5688380802207877,XAUUSD,35.0,u
164,165,1,True,17915.066,18147.799,17795.066,1.0,1.0,1.939441666666668,2024-05-02 04:59:00,120.0,1.939441666666668,0.016666666666666666,1.9227750000000015,GRXEUR,2.0,p
322,323,1,True,2314.398,2323.528,2303.555,1.0,1.0,0.8420178917273264,2024-05-09 04:59:00,1084.3000000000302,0.8420178917273264,0.03227888960619665,0.8097390021211298,XAUUSD,35.0,u
173,174,1,True,18776.566,18800.666,18621.277,1.0,0.0,0.1551945083038855,2024-05-15 04:59:00,155.28900000000067,0.1551945083038855,0.012879212307375225,0.14231529599651027,GRXEUR,2.0,p
176,177,1,True,18719.577,18901.599,18624.766,0.0,0.0,1.9198405248335562,2024-05-17 19:59:00,94.81100000000151,-1.0,0.02109459872799536,-1.0210945987279954,GRXEUR,2.0,p
177,178,1,False,18721.566,18624.766,18805.577,1.0,1.0,1.1522300651104818,2024-05-21 04:59:00,84.01100000000224,1.1522300651104818,0.023806406303935754,1.128423658806546,GRXEUR,2.0,p
179,180,1,True,18723.555,18760.099,18589.166,1.0,0.0,0.2719270178362683,2024-05-23 04:59:00,134.3889999999992,0.2719270178362683,0.014882170415733517,0.2570448474205348,GRXEUR,2.0,p
181,182,1,True,18697.299,18766.799,18512.766,1.0,0.0,0.3766264028656132,2024-05-24 20:00:00,184.53299999999945,0.3766264028656132,0.010838169866636353,0.3657882329989769,GRXEUR,2.0,p
336,337,1,False,2358.138,2337.975,2363.975,1.0,1.0,3.454342984409808,2024-05-29 04:59:00,583.6999999999989,3.454342984409808,0.059962309405516646,3.394380675004291,XAUUSD,35.0,u
185,186,1,True,18473.599,18650.277,18379.566,1.0,1.0,1.8788935799134445,2024-05-31 04:57:00,94.03299999999945,1.8788935799134445,0.021269128922825092,1.8576244509906195,GRXEUR,2.0,p
338,339,1,True,2343.985,2361.275,2322.458,0.0,1.0,0.8031774051191494,2024-05-31 04:59:00,2152.7000000000044,-1.0,0.01625865192548889,-1.0162586519254888,XAUUSD,35.0,u
187,188,1,False,18570.577,18422.777,18700.399,1.0,1.0,1.1384819214000923,2024-06-04 04:59:00,129.82200000000012,1.1384819214000923,0.015405709355887278,1.123076212044205,GRXEUR,2.0,p
190,191,1,False,18632.199,18483.788,18785.299,1.0,1.0,0.9693729588504342,2024-06-07 04:57:00,153.09999999999854,0.9693729588504342,0.013063357282821809,0.9563096015676124,GRXEUR,2.0,p
192,193,1,True,18497.199,18652.199,18356.066,0.0,0.0,1.0982548376354093,2024-06-11 04:59:00,141.13300000000163,-1.0,0.014171030163037538,-1.0141710301630376,GRXEUR,2.0,p
