R,neta,rgo,lado,hfrac,hbar,gana,fvg,pos,anio
-1.0,-1.038528221922558,519.1000000000031,1,5,16,False,False,0.21580262336039532,2023
2.4482758620689493,2.4162747868328216,624.9790000000075,1,19,0,True,True,0.04239097285757701,2023
-1.0,-1.0627929684433939,318.5069999999996,-1,3,9,False,False,0.7595387779934476,2023
2.4482758620689724,2.3878857418926325,331.17999999999483,1,10,15,True,False,0.3039930049548249,2023
-1.0,-1.022858971574869,874.9299999999948,1,18,3,False,True,0.04467369101676681,2023
-1.0,-1.0261431073697418,765.0200000000041,1,7,15,False,False,0.10381135992881498,2023
-1.0,-1.0263730467462255,758.3499999999958,1,7,17,False,False,0.3075782292748033,2023
-1.0,-1.0335435395142902,596.2399999999889,1,21,2,False,True,0.049193787488314884,2023
2.448275862068927,2.4089792710481985,508.95000000000437,-1,13,12,True,True,0.8148579800872446,2023
-1.0,-1.070301240816899,284.49000000000524,-1,17,11,False,True,0.9831313509312297,2023
-1.0,-1.0314911037631864,635.1000000000113,1,8,14,False,False,0.2903324184202498,2023
-1.0,-1.0598139785267795,334.3700000000126,1,3,15,False,False,0.0653873489694359,2023
-1.0,-1.035330695308083,566.0800000000108,-1,8,16,False,True,0.9580079681274867,2023
-1.0,-1.0418988561612266,477.3400000000038,-1,3,14,False,False,0.8222586020405195,2023
-1.0,-1.049758670448324,401.94000000001324,-1,3,15,False,False,0.7662174408746786,2023
-1.0,-1.0682826903380025,292.899999999986,1,8,14,False,False,0.20437608318890318,2023
-1.0,-1.034790655925632,574.8669999999947,-1,11,14,False,False,0.8004236290891971,2023
-1.0,-1.116910522531576,171.07100000000628,-1,14,2,False,False,0.9101662404092088,2023
2.4482758620689054,2.3304666423193705,169.76600000000417,-1,1,4,True,False,0.8978812087530408,2023
-1.0,-1.0273857432559177,730.3070000000162,1,7,15,False,False,0.33264334506313453,2024
2.448275862068957,2.4044046678950517,455.8800000000019,1,9,14,True,False,0.3059581320450916,2024
-1.0,-1.049402232980932,404.83999999999014,1,9,13,False,False,0.43432451416529944,2024
-1.0,-1.0701582067562363,285.06999999999607,-1,4,8,False,False,0.799619047619048,2024
-1.0,-1.0186494097461813,1072.420000000011,-1,16,21,False,True,0.7379581151832466,2024
2.4482758620689062,2.4168893799129063,637.2170000000096,1,2,12,True,True,0.4969883251121696,2024
-1.0,-1.156633016673567,127.68700000001445,1,21,1,False,False,0.06433690313229543,2024
-1.0,-1.0454318295397755,440.21999999999935,-1,2,16,False,True,0.7554582148426763,2024
-1.0,-1.0411488766356676,486.0400000000027,1,5,9,False,False,0.11134415186772995,2024
2.448275862068866,2.399284232288816,408.23300000001836,-1,22,4,True,False,0.8810647977376148,2024
-1.0,-1.0434291670285767,460.5199999999968,1,19,5,False,False,0.07491589630509392,2024
2.4482758620689173,2.4176245210727494,652.5000000000091,-1,7,15,True,False,0.7258843997680295,2024
-1.0,-1.0129269947968844,1547.1500000000106,-1,13,20,False,False,0.5113735936349996,2024
-1.0,-1.0421549616389845,474.44000000000415,-1,18,8,False,False,0.9209977485484071,2024
-1.0,-1.0849329030066224,235.48000000000684,-1,7,17,False,False,0.9759105960264923,2024
-1.0,-1.0194559531811942,1027.9629999999997,-1,19,8,False,False,0.698295226160364,2024
-1.0,-1.0624122327976318,320.44999999998254,-1,5,8,False,False,0.7356845418466822,2024
-1.0,-1.0388888672839631,514.2859999999928,1,6,9,False,False,0.14907187290332943,2024
2.448275862068985,2.4234591951955125,805.9099999999944,-1,19,2,True,False,0.8915018706574017,2024
-1.0,-1.049544193420533,403.67999999998574,1,21,1,False,False,0.41492753623187906,2024
-1.0,-1.0690345517931692,289.7100000000137,1,6,17,False,True,0.10487114372851207,2024
-1.0,-1.0477600534912577,418.7600000000202,-1,6,10,False,False,0.5074098360655744,2025
-1.0,-1.0310278117790876,644.5830000000115,1,8,16,False,False,0.36806475349521456,2025
-1.0,-1.0244471879622052,818.0899999999838,-1,21,10,False,False,0.9069913919798435,2025
-1.0,-1.022686025408349,881.5999999999804,1,7,16,False,False,0.4703647416413363,2025
-1.0,-1.0235803731122444,848.1629999999768,-1,3,9,False,False,0.9695671076330658,2025
-1.0,-1.0288474159205998,693.3030000000144,-1,15,5,False,True,0.7274329692154927,2025
-1.0,-1.0168208578637512,1188.9999999999873,-1,9,14,False,False,0.5274132684114446,2025
-1.0,-1.0202780115381884,986.2900000000081,1,11,16,False,True,0.4117125110913905,2025
-1.0,-1.0119553301045972,1672.8939999999966,1,4,16,False,False,0.32445662100456846,2025
-1.0,-1.0152174574672064,1314.280000000008,-1,1,11,False,True,0.5583661902414994,2025
-1.0,-1.0153427179624872,1303.5499999999956,-1,1,12,False,True,0.5024273040906865,2025
-1.0,-1.0146860130411797,1361.8399999999838,1,20,0,False,False,0.19201928373153046,2025
2.448275862068972,2.434184011386222,1419.2599999999857,1,18,23,True,False,0.2920413367333232,2025
-1.0,-1.0095785440613025,2088.000000000011,-1,4,9,False,True,0.6176830200213957,2025
-1.0,-1.0138763616179842,1441.2999999999556,-1,10,14,False,True,0.9654720994927184,2025
-1.0,-1.0103076684414751,1940.30300000004,-1,7,15,False,False,0.6256969498196087,2025
-1.0,-1.0104130329520429,1920.6699999999728,-1,3,15,False,True,0.5404601522176496,2025
-1.0,-1.0127195716048285,1572.3799999999756,-1,3,16,False,True,0.5779896771935997,2025
-1.0,-1.0126821473411878,1577.0199999999932,-1,14,18,False,True,0.7854697603651566,2025
