ts,dir,entrada,rr,riesgo_pips,motivo,pips,R,b
2020-01-08 13:45:00,largo,1.112,3.0,9.900000000000464,SL,-11.100000000000463,-1.1212121212121156,-1.0
2020-01-09 10:30:00,largo,1.11108,3.0,15.199999999999658,SL,-16.399999999999658,-1.0789473684210544,-1.0
2020-01-10 09:45:00,largo,1.10963,3.0,6.099999999997774,SL,-7.299999999997774,-1.1967213114754816,-1.0
2020-01-20 07:15:00,corto,1.10985,3.0,4.8000000000003595,TP,13.20000000000108,2.7500000000000187,3.0
2020-01-20 09:45:00,largo,1.10895,3.0,8.40000000000174,SL,-9.600000000001739,-1.1428571428571133,-1.0
2020-01-20 13:30:00,largo,1.10848,3.0,5.299999999999194,SL,-6.499999999999194,-1.226415094339657,-1.0
2020-01-22 06:30:00,corto,1.10816,3.0,5.599999999998939,SL,-6.799999999998939,-1.2142857142857548,-1.0
2020-01-28 13:30:00,largo,1.10082,3.0,7.199999999998319,SL,-8.399999999998318,-1.1666666666667054,-0.9999999999999999
2020-01-29 11:30:00,largo,1.10022,3.0,8.699999999999264,SL,-9.899999999999263,-1.1379310344827702,-1.0
2020-02-03 09:45:00,largo,1.10726,3.0,14.599999999997948,SL,-15.799999999997947,-1.0821917808219292,-1.0
2020-02-06 08:15:00,corto,1.09986,3.0,16.199999999999548,TP,47.39999999999864,2.925925925925924,3.0
2020-02-10 07:15:00,largo,1.09526,3.0,5.499999999998284,SL,-6.699999999998284,-1.2181818181818862,-1.0
2020-02-11 07:45:00,largo,1.09144,3.0,9.799999999999809,SL,-10.999999999999808,-1.122448979591839,-1.0
2020-02-12 07:45:00,largo,1.09144,3.0,18.199999999999328,SL,-19.399999999999327,-1.0659340659340684,-1.0
2020-02-13 14:30:00,largo,1.08559,3.0,9.300000000000974,SL,-10.500000000000973,-1.1290322580645025,-1.0
2020-02-18 09:00:00,largo,1.08293,3.0,5.699999999999594,SL,-6.8999999999995945,-1.2105263157894888,-1.0
2020-02-19 09:15:00,corto,1.08022,3.0,6.699999999999484,SL,-7.899999999999484,-1.1791044776119541,-1.0
2020-03-09 12:45:00,corto,1.14011,3.0,84.29999999999937,TP,251.6999999999981,2.98576512455516,3.0
2020-03-20 09:15:00,largo,1.07539,3.0,48.90000000000061,SL,-50.10000000000061,-1.0245398773006134,-1.0
2020-03-23 09:45:00,largo,1.06915,3.0,25.399999999999867,TP,74.99999999999959,2.95275590551181,2.9999999999999996
2020-03-25 14:45:00,largo,1.0835,3.0,51.199999999997914,TP,152.39999999999375,2.976562499999999,3.0
2020-04-02 06:45:00,corto,1.09364,3.0,29.000000000001247,TP,85.80000000000373,2.958620689655174,3.0
2020-04-16 06:45:00,corto,1.08844,3.0,21.399999999998087,TP,62.99999999999426,2.9439252336448547,3.0
2020-04-21 09:45:00,corto,1.08325,3.0,21.599999999999397,SL,-22.799999999999397,-1.0555555555555571,-1.0
2020-04-23 06:45:00,corto,1.08166,3.0,18.699999999998163,TP,54.899999999994485,2.935828877005341,3.0
2020-05-07 07:45:00,corto,1.07988,3.0,18.500000000001293,SL,-19.700000000001292,-1.0648648648648602,-1.0
2020-05-27 09:15:00,largo,1.09768,3.0,43.8000000000005,TP,130.20000000000152,2.972602739726028,3.0
