ts,dir,entrada,rr,riesgo_pips,motivo,pips,R,bruto
2020-01-08 07:45:00,largo,1.11513,3.0,9.099999999999664,SL,-10.299999999999663,-1.1318681318681367,-1.0
2020-01-08 09:30:00,largo,1.11416,3.0,17.300000000000093,SL,-18.500000000000092,-1.0693641618497105,-1.0
2020-01-08 13:45:00,largo,1.112,3.0,9.900000000000464,SL,-11.100000000000463,-1.1212121212121156,-1.0
2020-01-09 08:45:00,largo,1.11172,3.0,13.099999999999223,SL,-14.299999999999223,-1.09160305343512,-1.0
2020-01-09 10:30:00,largo,1.11108,3.0,15.199999999999658,SL,-16.399999999999658,-1.0789473684210544,-1.0
2020-01-10 09:45:00,largo,1.10963,3.0,6.099999999997774,SL,-7.299999999997774,-1.1967213114754816,-1.0
2020-01-13 09:15:00,corto,1.11216,3.0,15.499999999999403,SL,-16.699999999999402,-1.0774193548387125,-1.0
2020-01-14 10:45:00,largo,1.11338,3.0,6.399999999999739,SL,-7.599999999999739,-1.1875000000000078,-1.0
2020-01-14 14:45:00,largo,1.11216,3.0,18.100000000000893,tiempo,19.500000000000163,1.0773480662982984,1.1436464088397316
2020-01-20 07:15:00,corto,1.10985,3.0,4.8000000000003595,TP,13.20000000000108,2.7500000000000187,3.0
2020-01-20 09:45:00,largo,1.10895,3.0,8.40000000000174,SL,-9.600000000001739,-1.1428571428571133,-1.0
2020-01-20 13:30:00,largo,1.10848,3.0,5.299999999999194,SL,-6.499999999999194,-1.226415094339657,-1.0
2020-01-21 09:30:00,largo,1.10925,3.0,8.00000000000134,TP,22.80000000000402,2.8500000000000254,3.0
2020-01-22 06:30:00,corto,1.10816,3.0,5.599999999998939,SL,-6.799999999998939,-1.2142857142857548,-1.0
2020-01-22 10:45:00,corto,1.1086,3.0,9.699999999999154,SL,-10.899999999999153,-1.1237113402061962,-1.0
2020-01-22 14:15:00,corto,1.10889,3.0,10.499999999999954,SL,-11.699999999999953,-1.1142857142857148,-1.0
2020-01-23 09:45:00,largo,1.10844,3.0,6.399999999999739,TP,17.99999999999922,2.8124999999999925,3.0
2020-01-24 06:30:00,largo,1.10495,3.0,5.800000000000249,SL,-7.00000000000025,-1.206896551724129,-1.0
2020-01-24 09:00:00,largo,1.10507,3.0,9.299999999998754,SL,-10.499999999998753,-1.1290322580645333,-1.0
2020-01-27 14:15:00,corto,1.10242,3.0,8.900000000000574,TP,25.500000000001723,2.8651685393258517,3.0
2020-01-29 11:30:00,largo,1.10022,3.0,8.699999999999264,SL,-9.899999999999263,-1.1379310344827702,-1.0
2020-01-30 07:15:00,largo,1.10131,3.0,7.200000000000539,TP,20.40000000000162,2.833333333333346,3.0
2020-01-31 07:15:00,largo,1.10244,3.0,8.60000000000083,TP,24.60000000000249,2.8604651162790833,3.0
2020-02-03 09:30:00,largo,1.1069,3.0,10.999999999998789,SL,-12.199999999998788,-1.1090909090909211,-1.0
2020-02-06 08:15:00,corto,1.09986,3.0,16.199999999999548,TP,47.39999999999864,2.925925925925924,3.0
2020-02-07 13:30:00,corto,1.09608,3.0,11.000000000001009,SL,-12.200000000001008,-1.109090909090899,-1.0
2020-02-10 07:15:00,largo,1.09526,3.0,5.499999999998284,SL,-6.699999999998284,-1.2181818181818862,-1.0
2020-02-11 07:45:00,largo,1.09144,3.0,9.799999999999809,SL,-10.999999999999808,-1.122448979591839,-1.0
2020-02-11 15:15:00,corto,1.09184,3.0,7.399999999999629,TP,20.999999999998888,2.8378378378378297,3.0
2020-02-13 14:30:00,largo,1.08559,3.0,9.300000000000974,SL,-10.500000000000973,-1.1290322580645025,-1.0
2020-02-14 06:45:00,corto,1.08353,3.0,4.599999999999049,SL,-5.7999999999990495,-1.2608695652174453,-1.0
2020-02-17 09:15:00,corto,1.08447,3.0,7.200000000000539,TP,20.40000000000162,2.833333333333346,3.0
2020-02-18 06:30:00,corto,1.08312,3.0,6.499999999998174,TP,18.299999999994522,2.8153846153845636,3.0
