R,neta,rgo,lado,gana,fvg,pos,anio
-1.0,-1.0941765905248955,212.36699999999473,-1,False,True,0.7863090306545151,2023
-1.0,-1.0946288655891545,211.35200000001078,1,False,True,0.3602009324315442,2023
-1.0,-1.0688966206207575,290.2900000000045,1,False,True,0.10205599300086905,2023
-1.0,-1.0603742600379749,331.26700000000255,-1,False,True,0.6987907465825423,2023
2.4482758620689093,2.3048964083446286,139.4900000000007,-1,True,True,0.5389882924674149,2023
-1.0,-1.1369178424486375,146.07300000000123,-1,False,True,0.8278445606206892,2023
-1.0,-1.058594322210179,341.32999999999356,-1,False,True,0.6824388694823732,2023
-1.0,-1.079116114765837,252.79299999999694,1,False,True,0.24267729752412587,2023
2.4482758620690905,2.3741193919170667,269.6999999999889,1,True,True,-0.07915993537964633,2023
-1.0,-1.0835945663531896,239.24999999999272,1,False,True,-0.09369951534733523,2023
-1.0,-1.0686224052153006,291.4500000000089,1,False,True,-0.24275595621376814,2023
-1.0,-1.2004811547714676,99.75999999999203,-1,False,True,0.7663551401869134,2023
2.4482758620687983,2.22363248343239,89.03000000000247,-1,True,True,0.853333333333332,2023
-1.0,-1.1896219885657828,105.47300000000632,-1,False,True,0.626143525106727,2023
-1.0,-1.1474567398789304,135.6330000000071,-1,False,True,0.8426619656236259,2023
-1.0,-1.1926411096127987,103.81999999999607,1,False,True,0.23757070556713258,2023
-1.0,-1.148312940304035,134.85000000000582,-1,False,True,0.8262511803588266,2023
2.4482758620690466,2.3686665844038255,251.2269999999944,-1,True,True,0.798967832929978,2023
-1.0,-1.0301501780368012,663.3460000000014,-1,False,True,0.8492554242435364,2023
2.4482758620690905,2.289002150195227,125.56999999999334,-1,True,True,0.5895645028759227,2023
2.4482758620690404,2.2362699683051845,94.3369999999959,1,True,True,0.3177368933531528,2023
2.4482758620688183,2.3309875674406295,170.52000000001044,1,True,True,-0.2295262578038926,2024
2.448275862069008,2.3652148994755127,240.78700000000026,1,True,True,0.1788794165475823,2024
2.4482758620690652,2.2529061248413544,102.36999999999625,1,True,True,0.4019596926845589,2024
-1.0,-1.2386350077556547,83.80999999999403,1,False,True,0.2770850651149912,2024
-1.0,-1.2411381721726322,82.94000000000779,1,False,True,0.2727308712346077,2024
-1.0,-1.2353771919501044,84.96999999999844,-1,False,True,0.8256320836965979,2024
-1.0,-1.275862068965552,72.4999999999909,-1,False,True,0.8389172582721018,2024
-1.0,-1.2769699487605768,72.20999999999549,-1,False,True,0.8443143604433926,2024
-1.0,-1.3253090435913806,61.48000000000593,-1,False,True,0.8517872711421124,2024
-1.0,-1.052806674763688,378.74000000001615,-1,False,True,0.9522532188841267,2024
-1.0,-1.0542181739319034,368.8799999999901,-1,False,True,0.9388412017167446,2024
-1.0,-1.1043824992301865,191.60299999998642,-1,False,True,0.8859255347240513,2024
-1.0,-1.0410264825945126,487.49000000002525,-1,False,True,0.9077207826546863,2024
2.448275862068699,2.2863849765255586,123.54000000000269,-1,True,True,0.6019526849417932,2024
-1.0,-1.0872981230903471,229.10000000001673,-1,False,True,0.7971540092817424,2024
2.4482758620686296,2.3508806957907433,205.3490000000238,-1,True,True,0.9291353069075082,2024
-1.0,-1.0638569604086834,313.2000000000062,-1,False,True,0.7519845526711024,2024
-1.0,-1.0342039960528577,584.7270000000208,-1,False,True,0.8968662736580805,2024
2.4482758620690883,2.3700215590606,255.57699999999386,-1,True,True,0.8812417871222076,2024
2.448275862068649,2.3585937850317538,223.01000000002205,1,True,True,0.30294110936180835,2024
2.4482758620691327,2.381578069766056,299.85999999998967,1,True,True,0.26357605871818385,2024
-1.0,-1.0779183337943545,256.67899999998554,-1,False,True,0.8144562194134415,2024
-1.0,-1.0345466699601147,578.9270000000215,-1,False,True,0.9065826634803353,2024
-1.0,-1.1260795561999672,158.62999999999374,-1,False,True,0.9734121122599778,2024
-1.0,-1.041728999359461,479.2829999999867,-1,False,True,1.0497262773722589,2024
-1.0,-1.0382929024105367,522.2900000000209,-1,False,True,0.9859690588740913,2024
-1.0,-1.0414381525214083,482.6469999999972,-1,False,True,0.9741512677266873,2024
2.4482758620689653,2.3931034482758617,362.5,-1,True,True,0.7489159110895539,2024
-1.0,-1.052250562346677,382.77100000000246,-1,False,True,1.122018828451888,2024
-1.0,-1.0524492487956307,381.3210000000254,-1,False,True,1.0057531380753204,2024
-1.0,-1.1188445928681294,168.28700000000936,1,False,True,0.41916558018253575,2024
-1.0,-1.1164958061509684,171.68000000001484,1,False,True,0.1802232854864399,2024
-1.0,-1.0934492103541802,214.01999999998225,1,False,True,0.16298302636330483,2024
-1.0,-1.099431253231505,201.14400000002206,1,False,True,0.15756590827014355,2024
-1.0,-1.1119570085087354,178.63999999999578,-1,False,True,0.6458827063653666,2025
-1.0,-1.1154621082226495,173.2169999999769,-1,False,True,1.0934342938972466,2025
2.4482758620688223,2.406730369754741,481.40000000003056,1,True,True,0.0026084121291214354,2025
-1.0,-1.0550403170322282,363.36999999998625,-1,False,True,0.6034624896949667,2025
-1.0,-1.0380394469064411,525.7700000000114,1,False,True,-0.025628856193638597,2025
-1.0,-1.035585922209175,562.0199999999841,-1,False,True,0.9375889890840137,2025
-1.0,-1.1282602143228144,155.93300000000454,-1,False,True,0.963673420453186,2025
-1.0,-1.0439831104855737,454.7199999999975,-1,False,True,0.9619937694704084,2025
2.448275862069054,2.4213677398523625,743.2699999999841,-1,True,True,0.9951760733236844,2025
-1.0,-1.0235803731122444,848.1629999999768,-1,False,True,0.972161770039897,2025
-1.0,-1.0176233657632634,1134.8570000000109,-1,False,True,1.023082367971272,2025
-1.0,-1.0583513979536168,342.7509999999984,1,False,True,0.39883849557521933,2025
-1.0,-1.0821018062397476,243.59999999996944,1,False,True,0.33975314634400217,2025
-1.0,-1.1086584484660058,184.06300000001465,1,False,True,0.35139690252049777,2025
2.4482758620691945,2.3648834591170975,239.82999999998356,-1,True,True,0.622607626076253,2025
-1.0,-1.0562983814215376,355.2499999999782,1,False,True,0.11518592741038179,2025
-1.0,-1.1312628801701308,152.36599999998361,1,False,True,0.12313515920730835,2025
-1.0,-1.0288353544513853,693.5930000000099,-1,False,True,0.5871586715867121,2025
-1.0,-1.0648172154524265,308.5599999999886,-1,False,True,0.5586262643916694,2025
2.4482758620687957,2.3896815398586204,341.3300000000163,-1,True,True,0.8458972648432318,2025
