par,ts,R,neta,gana,tam,prof,cierre,cuerpo,mecha_a,mecha_b,envuelve,ob_tam,ob_cuerpo,ob_dist,fvg_hay,fvg_dist,fvg_tam,fvg_contra,d20,d50,d200,atr_rel,hora,dsem,ret5,ret20,K,RSI,racha,pos_dia,pos_sem,rr,cos,lado,ano
EURUSD,2020-02-18 20:00:00,-1.0,-1.27499999999996,0,2.1138211382114225,0.10256410256413359,0.0641025641025568,0.14864864864872976,0.2972972972971594,0.5540540540541108,0,2.1138211382114225,0.9230769230769176,2.615384615384287,0,,0.0,0,-2.687361429403473,-5.766795692416684,-14.569536933329205,0.9562682215743515,20,1,-2.54065040650405,-3.2791327913279336,25.584787950293006,22.95739251889485,0,0.18339768339768597,0.14503816793893104,5.61538461538386,0.27499999999995983,1,2020
GBPUSD,2020-02-18 20:00:00,-1.0,-1.355555555555507,0,1.639344262295131,0.01176470588232528,0.09411764705886348,0.009523809523660488,0.5619047619048505,0.428571428571489,0,1.639344262295131,0.8658823529411888,3.833333333332264,0,,0.0,1,-0.5260354652286233,-0.12565516802991186,-1.9196110856805286,0.8864763207385754,20,1,-0.1542912246865804,-2.1253616200578422,48.758012820512675,47.21899026470065,2,0.36107554417414733,0.3503105590062215,8.555555555554186,0.355555555555507,1,2020
EURUSD,2020-02-19 04:00:00,-1.0,-1.5296296296296443,0,0.7394957983194025,0.07272727272713693,0.17272727272737917,0.21969696969689706,0.20454545454545073,0.5757575757576522,1,0.7394957983194025,0.35454545454532244,1.3333333333330593,1,9.370370370371162,0.17478991596633908,0,1.7857549337414123,4.8464149473885145,13.713963242441341,0.9687398241615119,4,2,1.5260504201680778,1.9630252100840748,19.99999999999864,28.42827999755977,2,0.7954545454545493,0.25038167938929007,3.37037037037034,0.5296296296296444,-1,2020
EURUSD,2020-02-19 08:00:00,0.012195121951300418,-0.07499999999992635,1,0.8557536466774687,0.25757575757576523,0.9848484848483855,0.45064377682404333,0.2532188841201214,0.2961373390558353,1,0.8557536466774687,0.21969696969689706,0.3902439024390409,1,2.170731707317258,0.16855753646672833,0,2.162225787292285,5.131891435189532,13.75448380239207,1.0045587756431178,8,2,2.022690437601316,3.2090761750405434,18.634474341702774,25.406008606135785,0,0.2961373390558353,0.1040723981900551,0.012195121951300418,0.08719512195122676,-1,2020
GBPUSD,2020-02-19 08:00:00,0.0055555555555301984,-0.03888888888891366,1,0.8875203767433705,0.47755102040810743,0.9918367346939149,0.3815261044176744,0.34136546184739763,0.27710843373492794,1,0.8875203767433705,0.33061224489794144,0.33472222222225184,0,,0.0,0,0.7737589531351312,0.5245399534130084,2.175104480464954,0.9439220379551977,8,2,1.7677956891867477,2.550262633580941,32.54971930243673,44.222680257349815,0,0.27710843373492794,0.20372670807452,0.0055555555555301984,0.04444444444444386,-1,2020
EURUSD,2020-02-19 12:00:00,1.8555555555551224,1.696666666666255,1,1.4935897435897123,0.10300429184550379,0.28326180257515926,0.014018691588772926,0.5654205607476243,0.4205607476636028,0,1.4935897435897123,0.45064377682404333,0.5611111111110096,0,,0.0,0,-1.9517531215221684,-4.893805736553678,-13.483900885867833,1.0159557147509026,12,2,-0.17307692307691883,-2.935897435897464,16.181948146386237,25.3215697745962,1,0.350194552529236,0.13100436681224203,1.8555555555551224,0.1588888888888672,1,2020
USDJPY,2020-02-19 20:00:00,-1.0,-1.0380710659898487,0,3.3341627270465564,0.0014925373134187484,0.586567164179104,0.9450000000000204,0.039999999999978685,0.015000000000000888,0,3.3341627270465564,0.9447761194029972,0.14720812182739598,0,,0.0,1,-4.625074985911267,-6.112920348483659,-8.340186616103455,1.045797553994278,20,2,-5.66807663597911,-7.091316247822868,92.1948368749578,74.26160974335738,0,0.771990740740745,0.7962771458117933,0.7030456852792061,0.03807106598984856,-1,2020
EURUSD,2020-02-20 00:00:00,0.07103825136610033,-0.0071038251366319916,1,1.0195575504969399,0.23270440251571448,0.9182389937107138,0.5338983050847306,0.24152542372878205,0.22457627118648732,1,1.0195575504969399,0.8364779874212879,0.3633879781420308,1,1.6502732240437297,0.16672010259693912,0,1.2424656269811956,4.046863322809433,12.742531280365183,1.0156300879192568,0,3,0.31420327027885775,2.116062840653962,32.607828578042536,34.45553982702174,0,0.22457627118648732,0.21397379912664474,0.07103825136610033,0.07814207650273232,-1,2020
USDJPY,2020-02-20 00:00:00,0.9011857707509657,0.8418972332015586,1,1.8458698661744062,0.202500000000012,0.43000000000000177,0.4308093994778281,0.33942558746735496,0.22976501305481692,0,1.8458698661744062,0.9450000000000204,0.11067193675885997,1,1.100790513834024,2.182741116751277,0,4.573531006209695,6.182322706675133,8.415470859837653,1.1277647671090323,0,3,5.740655283802525,7.540378403322611,89.0726265431424,76.12184672829801,0,0.660574412532645,0.8821096173733223,0.9011857707509657,0.059288537549407085,1,2020
EURUSD,2020-02-20 08:00:00,-1.0,-1.1459183673469417,0,1.2656716417911142,0.33490566037733377,0.12735849056602686,0.2676056338029065,0.46009389671361356,0.27230046948347997,0,0.9492537313432695,0.8364779874212879,0.7397959183672232,1,3.142857142857175,0.15522388059697093,0,0.9464279655397645,3.498110629772155,11.660645347318843,1.0857235456166094,8,3,-0.304477611940304,2.513432835820785,26.40133946849154,36.21919818037876,0,0.49465240641713676,0.2530779753762095,1.887755102040985,0.14591836734694164,-1,2020
