i_base,i_ent,k,alcista,entrada,objetivo,stop,nat,sim,rr,ts,riesgo_u,R,coste_R,R_neto,ins,coste,uni
86,87,1,False,1862.198,1859.747,1864.878,0.0,0.0,0.9145522388060342,2023-01-06 17:59:00,267.99999999998363,-1.0,0.13059701492538112,-1.1305970149253812,XAUUSD,35.0,u
88,89,1,False,1868.728,1861.675,1869.765,0.0,0.0,6.801350048215888,2023-01-06 19:59:00,103.70000000000346,-1.0,0.3375120540019174,-1.3375120540019174,XAUUSD,35.0,u
92,93,1,False,1868.455,1864.477,1870.745,0.0,0.0,1.737117903930088,2023-01-09 00:59:00,228.99999999999636,-1.0,0.1528384279476007,-1.1528384279476007,XAUUSD,35.0,u
95,96,1,False,1877.105,1874.155,1879.365,0.0,1.0,1.3053097345132998,2023-01-09 03:59:00,225.9999999999991,-1.0,0.15486725663716877,-1.1548672566371687,XAUUSD,35.0,u
98,99,1,False,1877.915,1874.678,1879.885,0.0,1.0,1.6431472081217298,2023-01-09 06:59:00,197.00000000000273,-1.0,0.17766497461928688,-1.1776649746192869,XAUUSD,35.0,u
67,68,1,False,4033.199,4031.039,4044.199,1.0,0.0,0.19636363636362314,2023-01-09 07:59:00,11.0,0.19636363636362314,0.18181818181818182,0.014545454545441316,GRXEUR,2.0,p
100,101,1,True,1873.765,1880.905,1873.495,0.0,1.0,26.444444444423485,2023-01-09 08:59:00,27.00000000002092,-1.0,1.296296296295292,-2.296296296295292,XAUUSD,35.0,u
101,102,1,True,1873.545,1876.825,1871.175,0.0,1.0,1.3839662447256578,2023-01-09 09:59:00,237.00000000001182,-1.0,0.1476793248945074,-1.1476793248945074,XAUUSD,35.0,u
102,103,1,False,1871.485,1871.175,1874.785,1.0,0.0,0.09393939393937223,2023-01-09 10:59:00,330.0000000000182,0.09393939393937223,0.10606060606060022,-0.012121212121227992,XAUUSD,35.0,u
103,104,1,True,1873.015,1874.785,1870.425,1.0,1.0,0.683397683397638,2023-01-09 11:59:00,259.00000000001455,0.683397683397638,0.13513513513512754,0.5482625482625104,XAUUSD,35.0,u
73,74,1,False,4043.499,4035.349,4050.499,0.0,0.0,1.1642857142856624,2023-01-09 13:59:00,7.0,-1.0,0.2857142857142857,-1.2857142857142856,GRXEUR,2.0,p
106,107,1,False,1876.965,1872.665,1881.445,1.0,1.0,0.9598214285714145,2023-01-09 14:59:00,448.0000000000018,0.9598214285714145,0.07812499999999968,0.8816964285714148,XAUUSD,35.0,u
115,116,1,True,1870.595,1871.308,1867.745,1.0,1.0,0.2501754385964671,2023-01-10 00:59:00,285.00000000001364,0.2501754385964671,0.12280701754385377,0.12736842105261337,XAUUSD,35.0,u
82,83,1,False,4045.349,4040.039,4053.379,0.0,0.0,0.6612702366127166,2023-01-10 08:59:00,8.029999999999745,-1.0,0.24906600249066793,-1.249066002490668,GRXEUR,2.0,p
83,84,1,True,4050.379,4053.379,4041.359,1.0,1.0,0.3325942350332601,2023-01-10 09:59:00,9.019999999999982,0.3325942350332601,0.2217294900221734,0.11086474501108667,GRXEUR,2.0,p
84,85,1,False,4045.379,4041.359,4055.499,1.0,0.0,0.39723320158103015,2023-01-10 10:59:00,10.11999999999989,0.39723320158103015,0.19762845849802585,0.1996047430830043,GRXEUR,2.0,p
86,87,1,False,4046.339,4041.499,4048.379,1.0,0.0,2.372549019607957,2023-01-10 12:58:00,2.0399999999999636,2.372549019607957,0.9803921568627626,1.3921568627451943,GRXEUR,2.0,p
130,131,1,False,1875.635,1872.945,1880.635,1.0,1.0,0.5380000000000109,2023-01-10 15:59:00,500.0,0.5380000000000109,0.07,0.4680000000000109,XAUUSD,35.0,u
93,94,1,False,4069.199,4062.039,4072.199,0.0,0.0,2.3866666666666183,2023-01-10 19:59:00,3.0,-1.0,0.6666666666666666,-1.6666666666666665,GRXEUR,2.0,p
137,138,1,True,1877.165,1878.025,1876.238,0.0,0.0,0.9277238403454298,2023-01-10 23:59:00,92.69999999999072,-1.0,0.3775620280475027,-1.3775620280475027,XAUUSD,35.0,u
142,143,1,False,1877.785,1874.415,1878.075,0.0,0.0,11.62068965517428,2023-01-11 04:59:00,28.999999999996362,-1.0,1.2068965517242893,-2.2068965517242893,XAUUSD,35.0,u
