i,alcista,d,vuelve,base,r3,velas
14,False,0.010976839118354212,1.0,0.9969040247678018,0.6241791044776034,1.0
23,True,0.9808094140677884,1.0,0.7229102167182663,1.028222336947175,2.0
35,False,0.49251347781656346,1.0,0.978328173374613,0.9656846334114464,2.0
44,False,0.967941479080559,1.0,0.9272445820433437,1.1199303742384743,14.0
52,True,0.11266020002697215,1.0,0.956656346749226,1.2929507616011326,1.0
58,True,0.44010543391782614,1.0,0.8606811145510835,0.9594405594405647,21.0
59,True,0.5115871763423291,1.0,0.846749226006192,1.0006247396917898,12.0
60,True,0.2653862145917137,1.0,0.9071207430340558,0.5479708636836592,1.0
63,True,0.2680768259329764,1.0,0.9071207430340558,0.8313644418192531,1.0
64,True,0.31517406246556806,1.0,0.8931888544891641,1.2870337477797849,2.0
67,False,0.47794568413279975,1.0,0.9798761609907121,0.9495564005069761,1.0
75,True,0.3421397812991474,1.0,0.8869969040247678,0.44495412844036486,1.0
77,False,0.16795107393906414,1.0,0.9938080495356038,0.5950561797752847,1.0
80,False,0.1066673026856871,1.0,0.9953560371517027,0.6331621423330868,1.0
81,True,0.6527203149335928,1.0,0.8034055727554179,1.0716106604866784,3.0
82,True,0.6157026062002865,1.0,0.8204334365325078,0.9459342560553631,2.0
83,True,0.41067938782501395,1.0,0.868421052631579,1.0294924554183806,1.0
84,False,0.015626026621293938,1.0,0.9969040247678018,1.1485676215856016,3.0
85,False,0.37417885089463226,1.0,0.9891640866873065,0.8151585460170222,1.0
88,True,0.6329332617494472,1.0,0.8095975232198143,0.5882508833922284,5.0
89,True,0.7081449791560903,1.0,0.7863777089783281,1.424237873554573,3.0
90,True,0.22832973312552618,1.0,0.9179566563467492,0.3878110501897938,1.0
92,False,0.681221933860037,1.0,0.9628482972136223,0.8334738617200748,6.0
93,False,0.2532583676546144,1.0,0.9922600619195047,0.9249704940144883,1.0
98,True,0.3541848862941269,1.0,0.8808049535603715,1.430897887323946,1.0
104,False,0.10266518167358059,1.0,0.9953560371517027,0.7483042286044087,1.0
106,True,0.17797321041716155,1.0,0.93343653250774,0.9622606774668763,2.0
111,True,0.7135290243097882,1.0,0.7848297213622291,1.0084623323013573,2.0
117,False,0.33509873198921397,1.0,0.9891640866873065,0.6591580502215642,3.0
122,False,0.43734275414398643,1.0,0.9860681114551083,1.1107001321004113,1.0
124,True,0.07812888874429504,1.0,0.9643962848297214,0.4947753396029306,1.0
126,False,0.2387509669650526,1.0,0.9922600619195047,0.6986538461538447,1.0
129,False,0.5643995428918549,1.0,0.9690402476780186,0.7083266484838712,14.0
131,False,0.6992244757267205,1.0,0.958204334365325,0.6020277024132515,2.0
134,True,0.11716071377967474,1.0,0.956656346749226,0.8634020618556821,1.0
136,False,0.8787689627695533,1.0,0.9396284829721362,0.64346530438484,3.0
142,True,0.5844469438355198,1.0,0.8281733746130031,0.6693159239284676,1.0
145,False,0.1611297622598953,1.0,0.9938080495356038,0.7134540750323352,1.0
149,False,0.7386147888569972,1.0,0.955108359133127,0.8549337260677368,2.0
150,False,0.44667865375767674,1.0,0.9845201238390093,1.2431093884582367,1.0
158,True,1.2692439917029732,0.0,0.6424148606811145,1.1754987531171883,
159,True,0.2603438817095804,1.0,0.9102167182662538,0.4396711747547099,1.0
163,True,0.4896288550173353,1.0,0.8513931888544892,0.8517104683599999,1.0
167,True,0.2662556323310269,0.0,0.9071207430340558,0.3796763754045298,
170,True,0.3827429380460763,1.0,0.8746130030959752,0.6176911544227882,1.0
173,True,0.016383247829903202,1.0,0.9860681114551083,0.9931653139683958,1.0
176,True,0.8155086306808939,0.0,0.7585139318885449,0.9357390014829372,
177,True,0.7250460808035497,0.0,0.78328173374613,0.9434759640781977,
178,True,0.9478007775576271,1.0,0.7291021671826625,2.1430571108622263,29.0
179,True,0.17290281640799712,1.0,0.934984520123839,2.1047681254082367,28.0
180,True,0.11221157524690159,1.0,0.956656346749226,1.2225670307845136,17.0
181,True,0.04834466670066948,1.0,0.9752321981424149,0.38069854807595577,9.0
183,True,0.12343518335692805,1.0,0.955108359133127,0.552337218886138,3.0
198,False,0.1325574547633537,1.0,0.9953560371517027,0.43906139048479426,1.0
207,False,0.4527246141583721,1.0,0.9829721362229102,1.3581314520967598,1.0
213,True,0.35223203161987315,1.0,0.8808049535603715,0.5216469568544465,13.0
229,True,0.08680805118614866,1.0,0.9628482972136223,0.9496141318303938,1.0
233,True,1.7082923621874868,0.0,0.5804953560371517,1.9369638090724837,
234,True,0.3308957875842596,0.0,0.8900928792569659,0.3165439152601527,
237,True,0.19301084582184427,1.0,0.9303405572755418,0.3100869459475836,36.0
239,True,0.38221115714285087,1.0,0.8746130030959752,0.6890842944831156,1.0
247,True,0.13428989893536014,1.0,0.9473684210526316,0.29242069486403477,1.0
253,True,0.8025404161890628,1.0,0.7693498452012384,0.679508200305175,13.0
257,True,1.0596910315406098,1.0,0.6996904024767802,1.0355872336654663,3.0
258,True,0.2316907667013786,1.0,0.9179566563467492,0.4391442542787064,1.0
261,False,0.16129709677205836,1.0,0.9938080495356038,0.5676955543407765,1.0
263,False,0.23434134643442187,1.0,0.9922600619195047,0.5400777050735537,1.0
275,True,1.2177505742527386,1.0,0.6563467492260062,1.2240832956088914,2.0
276,True,0.06567441259078334,1.0,0.9690402476780186,0.8860946745562028,1.0
281,False,0.6904510135427766,1.0,0.9613003095975232,0.8161642928122002,2.0
284,True,0.8954153777717941,1.0,0.7461300309597523,1.0129961380096704,29.0
285,True,1.1100563054700008,1.0,0.6873065015479876,1.2165428996880991,28.0
286,True,0.42568320210066257,1.0,0.8653250773993808,0.5456060539609592,15.0
287,True,1.2341626437684876,1.0,0.6501547987616099,2.0250942679255024,14.0
288,True,0.2726971035283293,1.0,0.9071207430340558,0.4968136777303866,1.0
293,False,0.05808001083691303,1.0,0.9953560371517027,0.4319453328043734,1.0
302,False,0.43968771410330637,1.0,0.9860681114551083,0.5930511662904517,1.0
307,True,0.16959476727343725,1.0,0.934984520123839,0.9534405281221896,1.0
309,False,0.14433085325624306,1.0,0.9938080495356038,0.7494592115737376,1.0
313,False,1.5654530638010504,1.0,0.8498452012383901,0.946928988684613,6.0
314,False,0.03233376312173218,1.0,0.9969040247678018,0.5211702395964697,1.0
327,True,0.2898506031024771,1.0,0.8993808049535603,0.34679012242789176,3.0
328,True,0.4214432947151643,1.0,0.8653250773993808,2.9797169017807126,1.0
333,True,0.9504821887827867,1.0,0.7275541795665634,1.6695269461077935,2.0
340,True,0.2228162999074811,1.0,0.9195046439628483,0.6187661362954051,1.0
342,False,0.4241895253878202,1.0,0.9860681114551083,1.4850423621049906,1.0
348,False,1.3330400317943227,1.0,0.8746130030959752,0.7321064191162884,9.0
349,False,0.6090956830444918,1.0,0.9659442724458205,1.452045067112623,2.0
350,False,0.9603532738028141,1.0,0.9272445820433437,0.5403629053454515,1.0
357,True,1.2329040185258044,0.0,0.6501547987616099,3.5057015665614166,
358,True,0.453086406419482,1.0,0.8591331269349846,0.45774989986108,17.0
359,True,0.5739550928862632,1.0,0.8328173374613004,1.0890941023874685,14.0
