entrada,salida,px_ent,px_sal,lotes,atr,motivo,noches,bruto,coste,neto,peor,capital
2020-01-15 14:02:00,2020-01-15 14:16:00,1557.005,1553.475305263158,2.950118159995769,3.3896947368421144,stop,0,-1041.3016542399669,17.700708959974612,-1059.0023631999416,-1029.5912378385422,98940.99763680006
2020-01-17 12:16:00,2020-01-17 13:49:00,1558.288,1555.2530210526315,3.4176758945600887,2.894978947368425,stop,0,-1037.2574388918579,20.50605536736053,-1057.7634942592183,-1033.163422925503,97883.23414254085
2020-01-17 18:25:00,2020-01-17 20:44:00,1560.8280000000002,1557.8396421052632,3.4364794650071193,2.8483578947368473,stop,0,-1026.9430539355485,20.618876790042716,-1047.5619307255913,-1025.1018244117024,96835.67221181525
2020-01-20 05:43:00,2020-01-20 10:00:00,1561.295,1560.2079999999999,3.4729090792866617,2.7883157894736876,tiempo,0,-377.5052169185353,20.83745447571997,-398.3426713942553,-746.6754520466827,96437.329540421
2020-01-21 01:17:00,2020-01-21 06:00:00,1562.845,1565.475,3.7038047770774867,2.6037368421052562,tiempo,0,974.1006563713352,22.22282866246492,951.8778277088702,-302.60085028725354,97389.20736812986
2020-01-23 14:44:00,2020-01-23 15:08:00,1563.815,1560.8707894736842,3.4729634759656145,2.8042105263157713,stop,0,-1022.513562344837,20.83778085579369,-1043.3513432006307,-1172.8197658335905,96345.85602492923
2020-01-24 15:11:00,2020-01-24 20:00:00,1567.988,1570.908,3.331424757816702,2.8920315789473485,tiempo,0,972.7760292824255,19.988548546900212,952.7874807355253,-319.8167767504337,97298.64350566476
2020-01-26 23:00:00,2020-01-27 04:00:00,1579.3880000000001,1579.205,2.997163179802532,3.2463578947368252,tiempo,1,-54.8480861904523,122.88369037190381,-177.73177656235612,-768.1729229834632,97120.9117291024
2020-01-30 08:21:00,2020-01-30 09:20:00,1583.105,1579.5900105263156,2.8776656190006866,3.3749894736841988,stop,0,-1011.4964359570943,17.265993714004118,-1028.7624296710983,-1101.2826323915779,96092.1492994313
2020-01-30 17:38:00,2020-01-30 19:42:00,1585.3280000000002,1581.6335894736844,2.7034623206293706,3.5544105263157832,stop,0,-998.7699654831227,16.220773923776225,-1014.990739406899,-1347.1352743696775,95077.1585600244
2020-01-31 15:46:00,2020-01-31 16:56:00,1586.028,1582.670494736842,2.9549962092900874,3.2175052631578804,stop,0,-992.1415325303166,17.729977255740526,-1009.8715097860571,-1144.470031858081,94067.28705023834
2020-01-31 21:30:00,2020-02-03 00:35:00,1589.6160000000002,1586.2078421052634,2.8782968901755925,3.2681578947368317,stop,3,-980.9690269648498,319.49095480949074,-1300.4599817743406,-1286.8865395975372,92766.827068464
2020-02-07 00:45:00,2020-02-07 05:00:00,1568.3180000000002,1565.538,2.5505380363165235,3.637147368421036,tiempo,0,-709.0495740960446,15.303228217899141,-724.3528023139437,-803.419481439742,92042.47426615006
2020-02-07 10:11:00,2020-02-07 12:18:00,1569.2050000000002,1565.6425263157896,2.689355207924185,3.4224736842105097,stop,0,-958.0757155724488,16.13613124754511,-974.2118468199939,-967.3610682903998,91068.26241933007
2020-02-09 23:32:00,2020-02-10 01:44:00,1574.1480000000001,1570.4880105263157,2.5871742827689084,3.5199894736841926,stop,1,-946.9030641521168,106.07414559352524,-1052.977209745642,-1047.8055845214337,90015.28520958443
2020-02-10 17:35:00,2020-02-10 20:27:00,1576.718,1573.1437157894736,2.621078504035329,3.434284210526307,stop,0,-936.8479511523783,15.726471024211973,-952.5744221765902,-941.7535064999274,89062.71078740784
2020-02-13 03:55:00,2020-02-13 08:00:00,1574.1180000000002,1575.1049999999998,3.1045284016804096,2.868800000000008,tiempo,0,306.4169532457401,18.627170410082456,287.78978283565766,-618.732510454974,89350.50057024349
2020-02-13 09:54:00,2020-02-13 12:02:00,1575.9180000000001,1572.8840315789473,3.0874732398684372,2.8939684210526426,stop,0,-936.729631060643,18.524839439210623,-955.2544704998536,-960.2041775991402,88395.24609974363
2020-02-14 13:37:00,2020-02-14 18:00:00,1578.3880000000001,1583.415,3.543089961468445,2.494863157894753,tiempo,0,1781.1113236301221,21.25853976881067,1759.8527838613115,-449.97242510650545,90155.09888360494
2020-02-14 19:16:00,2020-02-16 23:00:00,1584.208,1581.592042105263,3.6412210027984453,2.475957894736865,stop,2,-952.5280828752745,276.7327962126818,-1229.2608790879563,-1518.3891581669814,88925.83800451698
2020-02-17 23:02:00,2020-02-18 04:00:00,1585.0880000000002,1586.625,3.7294684377156124,2.3844105263158135,tiempo,1,573.2192988768177,152.9082059463401,420.31109293047757,-839.1303984860671,89346.14909744746
2020-02-18 07:15:00,2020-02-18 12:00:00,1587.4950000000001,1587.665,4.060586307417286,2.2003263157894946,tiempo,0,69.02996722603108,24.36351784450372,44.66644938152736,-498.2339399201594,89390.81554682899
2020-02-18 14:10:00,2020-02-18 14:40:00,1591.988,1589.6013684210525,3.9788818239932047,2.2466315789473836,stop,0,-949.6125010042698,23.873290943959226,-973.485791948229,-1014.6148651182708,88417.32975488076
2020-02-19 06:24:00,2020-02-19 06:56:00,1605.1580000000001,1602.6555473684211,3.74260751614674,2.362452631578964,stop,0,-936.5698027748716,22.45564509688044,-959.025447871752,-951.7450913561813,87458.304307009
2020-02-19 20:49:00,2020-02-20 00:02:00,1611.3480000000002,1608.9326210526317,3.8436808254799817,2.275378947368441,stop,1,-928.3945746268253,157.59091384467925,-1085.9854884715046,-1315.6919465618544,86372.3188185375
2020-02-20 11:42:00,2020-02-20 16:00:00,1613.028,1617.655,3.602891969826216,2.397305263157908,tiempo,0,1667.058114438573,21.617351818957296,1645.4407626196157,-188.43125002189865,88017.75958115712
2020-02-21 02:19:00,2020-02-21 07:00:00,1623.798,1631.155,3.2517527767359664,2.7067789473684187,tiempo,0,2392.314517844641,19.5105166604158,2372.8040011842254,-429.2313665291446,90390.56358234135
2020-02-21 08:07:00,2020-02-21 08:45:00,1635.438,1632.513252631579,3.2459161145950914,2.7847473684210424,stop,0,-949.3484614277618,19.475496687570548,-968.8239581153323,-939.0435319523871,89421.73962422601
2020-02-21 14:45:00,2020-02-21 14:45:00,1645.615,1642.4861789473684,2.9918733189293074,2.9888210526315704,stop,0,-936.103622707269,17.951239913575844,-954.0548626208448,-1333.4779382467727,88467.68476160517
2020-02-23 23:00:00,2020-02-24 04:00:00,1654.738,1660.645,2.6900976734446513,3.2886421052631487,tiempo,1,1589.0406957037355,110.2940046112307,1478.7466910925048,-914.6332089711839,89946.43145269767
2020-02-24 08:28:00,2020-02-24 13:00:00,1680.7450000000001,1680.635,2.3307841248643117,3.859063157894726,tiempo,0,-25.638625373537106,13.98470474918587,-39.623330122722976,-640.9656343376985,89906.80812257495
2020-02-27 15:34:00,2020-02-27 15:58:00,1658.835,1651.373842105263,1.228040829268398,7.32115789473683,stop,0,-916.2606528355244,7.368244975610388,-923.6288978111348,-907.1537605805654,88983.17922476381
2020-03-03 15:43:00,2020-03-03 15:52:00,1641.4180000000001,1632.7463894736843,1.0429822007262846,8.531610526315793,stop,0,-904.4335430578086,6.257893204357707,-910.6914362621663,-990.8330906899761,88072.48778850165
2020-03-05 12:22:00,2020-03-05 17:00:00,1652.688,1661.858,1.0281433128497717,8.566168421052646,tiempo,0,942.8074178832247,6.16885987709863,936.6385580061261,-269.37354796665795,89009.12634650778
2020-03-05 18:00:00,2020-03-06 00:00:00,1667.4250000000002,1674.378,1.116315546670305,7.973473684210538,tiempo,1,776.1741995998348,45.768937413482504,730.4052621863523,-317.81503613704984,89739.53160869413
2020-03-06 04:34:00,2020-03-06 06:33:00,1676.615,1669.7395052631578,1.3323376398445208,6.735494736842113,stop,0,-916.0480430447836,7.994025839067125,-924.0420688838508,-1009.5122297102005,88815.48953981028
2020-03-06 10:02:00,2020-03-06 13:29:00,1686.038,1679.212442105263,1.32846788462829,6.685557894736851,stop,0,-906.7534457829058,7.97080730776974,-914.7242530906756,-1449.3584621294524,87900.7652867196
2020-03-06 20:06:00,2020-03-06 20:19:00,1690.018,1682.5235684210525,1.195208145498863,7.354431578947369,stop,0,-895.740566904204,7.1712488729931785,-902.9118157771971,-1718.7093132273574,86997.8534709424
2020-03-23 11:10:00,2020-03-23 16:00:00,1516.1850000000002,1547.995,0.6399471676114112,13.59453684210526,tiempo,0,2035.671940171881,3.8396830056684674,2031.8322571662125,-487.4477575696275,89029.68572810861
2020-03-23 21:10:00,2020-03-24 02:00:00,1561.3380000000002,1578.125,0.69498545940603,12.810294736842108,tiempo,1,1166.6720907048891,28.49440383564723,1138.1776868692418,-298.35725772302715,90167.86341497785
2020-03-24 07:18:00,2020-03-24 10:04:00,1584.468,1571.8185368421052,0.7207972258831331,12.509463157894738,stop,0,-911.7697953121499,4.324783355298798,-916.0945786674487,-971.6346604904687,89251.76883631041
2020-03-24 14:39:00,2020-03-24 19:00:00,1615.3880000000001,1626.408,0.6734083368304856,13.253736842105267,tiempo,0,742.0959871871786,4.040450020982914,738.0555371661957,-549.5012028536854,89989.8243734766
2020-03-24 21:02:00,2020-03-24 21:04:00,1633.058,1619.8935052631577,0.6909275652661159,13.02449473684211,stop,0,-909.5712296485008,4.145565391596695,-913.7167950400975,-1026.0274344201796,89076.10757843651
2020-03-26 15:53:00,2020-03-26 17:29:00,1639.3200000000002,1626.5015368421052,0.7025781158891471,12.678463157894738,stop,0,-900.5971694068273,4.2154686953348826,-904.8126381021622,-978.8318310567647,88171.29494033435
2020-04-02 19:15:00,2020-04-02 20:51:00,1619.5880000000002,1611.895905263158,1.1675077976736665,7.552094736842123,stop,0,-898.0580585707764,7.005046786042,-905.0631053568185,-890.8084496250267,87266.23183497753
2020-04-03 11:53:00,2020-04-03 12:16:00,1620.0800000000002,1613.1064105263158,1.277018939622215,6.833589473684221,stop,0,-890.5405835045018,7.66211363773329,-898.2026971422351,-920.986059255547,86368.0291378353
2020-04-03 18:46:00,2020-04-03 20:55:00,1621.288,1614.0546315789472,1.217588372845556,7.093368421052635,stop,0,-880.7265285982076,7.305530237073336,-888.0320588352808,-1261.4215542679906,85479.99707900002
2020-04-06 06:16:00,2020-04-06 11:00:00,1625.6380000000001,1636.828,1.1961372514007915,7.1463368421052635,tiempo,0,1338.477584317465,7.176823508404749,1331.3007608090602,-405.4905282248868,86811.29783980908
2020-04-06 12:09:00,2020-04-06 17:00:00,1643.2150000000001,1651.388,1.2013094250724121,7.2263894736842085,tiempo,0,981.8301931116554,7.207856550434473,974.6223365612209,-761.6301754959334,87785.9201763703
2020-04-06 18:01:00,2020-04-07 00:00:00,1657.038,1660.86,1.2264534085836363,7.157705263157892,tiempo,1,468.75049276065215,50.28458975192909,418.46590300872305,-485.6755497991144,88204.38607937902
2020-04-09 13:05:00,2020-04-09 18:00:00,1674.968,1682.408,1.1716956619829617,7.527926315789472,tiempo,0,871.7415725153032,7.030173971897771,864.7113985434055,-515.5460912725202,89069.09747792243
2020-04-12 22:11:00,2020-04-12 22:19:00,1690.0880000000002,1682.3398210526316,1.1707019260992848,7.608178947368424,stop,0,-907.0808017446367,7.024211556595709,-914.1050133012324,-900.2697811703628,88154.9924646212
2020-04-13 07:15:00,2020-04-13 12:00:00,1691.5880000000002,1691.4279999999999,1.1622118534439392,7.5851052631579,tiempo,0,-18.595389655138966,6.973271120663635,-25.568660775802602,-681.0561461181695,88129.4238038454
2020-04-13 14:22:00,2020-04-13 19:00:00,1695.308,1720.858,1.1614718016418886,7.587736842105269,tiempo,0,2967.56045319502,6.968830809851331,2960.5916223851686,-253.20085275791905,91090.01542623057
2020-04-14 00:13:00,2020-04-14 00:29:00,1722.688,1714.9048105263157,1.1917801559134047,7.643189473684206,stop,0,-927.585076445115,7.150680935480429,-934.7357573805954,-985.60218894039,90155.27966884998
2020-04-14 08:04:00,2020-04-14 08:44:00,1725.688,1718.005947368421,1.1953679465370666,7.542052631578941,stop,0,-918.2879479400442,7.172207679222399,-925.4601556192666,-993.3507635723023,89229.81951323072
2020-04-14 14:00:00,2020-04-14 14:58:00,1737.808,1730.4470526315788,1.2357079336079138,7.2209473684210455,stop,0,-909.5981062028363,7.4142476016474825,-917.0123538044838,-937.9023216084032,88312.80715942623
2020-04-22 09:17:00,2020-04-22 12:00:00,1702.278,1694.0624105263157,1.0935772236467642,8.07558947368422,stop,0,-898.4381527253262,6.561463341880586,-904.9996160672067,-980.9387696111564,87407.80754335903
2020-04-22 16:24:00,2020-04-22 22:00:00,1711.808,1712.898,1.0388793311905073,8.413663157894744,tiempo,0,113.23784709975679,6.233275987143044,107.00457111261375,-220.24241821238186,87514.81211447164
2020-04-23 08:04:00,2020-04-23 13:00:00,1719.788,1723.868,1.1264953126587558,7.768768421052642,tiempo,0,459.61008756476417,6.758971875952534,452.85111568881166,-202.76915627857707,87967.66323016045
2020-04-23 14:03:00,2020-04-23 16:05:00,1733.8960000000002,1726.2756947368423,1.1759902856293845,7.480305263157899,stop,0,-896.1404963004147,7.055941713776306,-903.196438014191,-921.7411858763406,87064.46679214627
2020-04-30 06:16:00,2020-04-30 11:00:00,1718.266,1715.2479999999998,1.4416179386888295,6.039357894736836,tiempo,0,-435.0802938963257,8.649707632132976,-443.7300015284587,-659.9726923317503,86620.73679061781
2020-05-07 16:32:00,2020-05-07 22:00:00,1711.708,1715.078,1.5212324440389378,5.694115789473699,tiempo,0,512.6553336411055,9.127394664233627,503.52793897687184,-58.26320260670543,87124.26472959468
2020-05-08 09:15:00,2020-05-08 12:00:00,1722.028,1716.4554210526314,1.6037367440706614,5.432578947368431,stop,0,-893.6949617129605,9.622420464423968,-903.3173821773845,-979.8831506271667,86220.9473474173
2020-05-13 12:40:00,2020-05-13 13:22:00,1712.198,1707.0285368421053,1.714317107822462,5.029463157894736,stop,0,-886.2099129837027,10.285902646934773,-896.4958156306375,-1730.260256925233,85324.45153178666
