ts,ses,arriba,motivo,rr,riesgo_p,bruto,R
2020-01-03 06:15:00,Asia,False,SL,1.9642857142850911,5.60000000000116,-1.0,-1.21428571428567
2020-01-03 17:30:00,Londres,True,SL,4.419047619047617,10.499999999999954,-1.0,-1.1142857142857148
2020-01-06 11:15:00,NuevaYork,True,tiempo,7.938775510202333,4.900000000001015,5.061224489794494,4.816326530610872
2020-01-07 14:00:00,Londres,False,SL,6.219178082192639,7.299999999998974,-1.0,-1.1643835616438587
2020-01-07 15:45:00,NuevaYork,False,SL,4.010526315789309,9.500000000000064,-1.0,-1.1263157894736833
2020-01-08 08:15:00,NuevaYork,False,SL,4.926829268293813,8.199999999998209,-1.0,-1.146341463414666
2020-01-08 11:30:00,Londres,False,SL,3.8558558558561047,11.099999999999444,-1.0,-1.1081081081081134
2020-01-08 13:15:00,Londres,False,SL,7.178571428573028,5.599999999998939,-1.0,-1.2142857142857548
2020-01-08 19:30:00,NuevaYork,False,SL,4.880952380954207,4.199999999998649,-1.0,-1.2857142857143777
2020-01-09 07:45:00,Asia,True,TP,1.1250000000002314,7.199999999998319,1.1250000000002314,0.9583333333335257
2020-01-09 08:15:00,Asia,False,SL,0.9069767441861967,8.599999999998609,-1.0,-1.1395348837209527
2020-01-09 15:45:00,Londres,False,SL,1.5641025641027053,11.699999999998933,-1.0,-1.1025641025641117
2020-01-10 13:45:00,Londres,True,SL,0.6190476190475799,18.899999999999473,-1.0,-1.0634920634920653
2020-01-10 16:00:00,NuevaYork,True,SL,3.2307692307690203,6.500000000000394,-1.0,-1.1846153846153735
2020-01-10 16:45:00,Londres,True,SL,4.630434782609577,4.599999999999049,-1.0,-1.2608695652174453
2020-01-13 04:00:00,NuevaYork,True,SL,11.694444444447306,3.5999999999991594,-1.0,-1.3333333333334112
2020-01-13 10:00:00,Asia,False,TP,2.276923076923944,6.499999999998174,2.276923076923944,2.0923076923085078
2020-01-13 15:45:00,Londres,True,SL,2.8472222222218497,7.200000000000539,-1.0,-1.166666666666654
2020-01-14 07:00:00,Asia,True,TP,1.303030303029885,6.6000000000010495,1.303030303029885,1.121212121211732
2020-01-14 09:15:00,Asia,False,SL,1.2833333333333703,5.999999999999339,-1.0,-1.2000000000000222
2020-01-14 14:45:00,Londres,False,TP,1.1937172774868934,19.100000000000783,1.1937172774868934,1.130890052356006
2020-01-15 12:45:00,Londres,True,SL,1.4509803921569053,15.300000000000313,-1.0,-1.078431372549018
2020-01-16 06:45:00,Asia,False,TP,0.9871794871794033,7.800000000000029,0.9871794871794033,0.83333333333325
2020-01-16 08:45:00,Asia,True,SL,0.7311827956988631,9.300000000000974,-1.0,-1.1290322580645025
2020-01-16 12:45:00,Asia,True,TP,1.9700000000002442,9.999999999998899,1.9700000000002442,1.850000000000231
2020-01-16 15:45:00,NuevaYork,False,SL,1.9401709401713019,11.699999999998933,-1.0,-1.1025641025641117
2020-01-20 07:15:00,Asia,True,TP,1.6551724137931563,5.800000000000249,1.6551724137931563,1.4482758620690273
2020-01-20 09:45:00,Asia,False,SL,0.9999999999997637,9.40000000000163,-1.0,-1.1276595744680629
2020-01-21 08:15:00,Asia,False,TP,1.8653846153854037,5.199999999998539,1.8653846153854037,1.6346153846161082
2020-01-21 12:15:00,Londres,True,SL,1.5210084033613884,11.900000000000244,-1.0,-1.1008403361344516
2020-01-21 14:00:00,Londres,True,TP,2.4399999999997246,10.000000000001119,2.4399999999997246,2.3199999999997383
2020-01-22 07:30:00,NuevaYork,False,TP,0.9010989010989815,9.099999999999664,0.9010989010989815,0.7692307692308448
2020-01-22 14:15:00,Londres,True,TP,1.2173913043477085,11.499999999999844,1.2173913043477085,1.1130434782607508
2020-01-22 15:15:00,Londres,False,TP,2.4230769230768465,7.800000000000029,2.4230769230768465,2.2692307692306932
2020-01-23 00:30:00,NuevaYork,True,SL,3.7878787878781046,6.6000000000010495,-1.0,-1.181818181818153
2020-01-24 06:30:00,Asia,False,SL,0.9852941176469627,6.800000000000139,-1.0,-1.1764705882352904
2020-01-24 10:30:00,NuevaYork,False,SL,7.887640449437723,8.900000000000574,-1.0,-1.1348314606741485
2020-01-24 16:15:00,Londres,False,SL,5.833333333334074,5.999999999999339,-1.0,-1.2000000000000222
2020-01-27 07:30:00,Asia,True,TP,2.4318181818179867,4.3999999999999595,2.4318181818179867,2.1590909090907116
2020-01-27 10:30:00,Asia,False,SL,0.9401709401711121,11.699999999998933,-1.0,-1.1025641025641117
2020-01-28 07:30:00,Asia,False,SL,1.2586206896549414,5.800000000000249,-1.0,-1.206896551724129
2020-01-28 13:15:00,Londres,False,SL,2.219178082192031,7.299999999998974,-1.0,-1.1643835616438587
2020-01-28 22:30:00,Londres,True,SL,4.9024390243901514,4.100000000000215,-1.0,-1.292682926829253
2020-01-29 00:45:00,Asia,True,TP,0.7464788732393353,7.099999999999884,0.7464788732393353,0.5774647887322902
2020-01-29 09:15:00,NuevaYork,False,SL,0.8403361344536717,11.900000000000244,-1.0,-1.1008403361344516
2020-01-29 20:15:00,NuevaYork,True,SL,1.3749999999998048,12.800000000001699,-1.0,-1.0937499999999876
2020-01-30 13:15:00,Asia,True,SL,1.5697674418606753,8.599999999998609,-1.0,-1.1395348837209527
2020-01-30 18:00:00,Londres,True,SL,5.864864864865173,3.6999999999998145,-1.0,-1.3243243243243406
2020-01-31 15:00:00,Londres,True,SL,2.972477064220004,10.900000000000354,-1.0,-1.1100917431192625
2020-02-02 22:30:00,NuevaYork,True,TP,3.7037037037038103,10.799999999999699,3.7037037037038103,3.592592592592696
2020-02-03 15:15:00,NuevaYork,False,tiempo,2.4785276073622966,16.299999999997983,-0.7177914110429682,-0.7914110429448178
2020-02-04 15:45:00,NuevaYork,False,SL,3.8630136986307413,7.299999999998974,-1.0,-1.1643835616438587
2020-02-05 11:15:00,Londres,False,SL,5.032786885245752,6.099999999999994,-1.0,-1.19672131147541
2020-02-05 15:15:00,Londres,False,SL,1.539682539682358,12.600000000000389,-1.0,-1.0952380952380922
2020-02-06 07:00:00,Asia,True,SL,1.0612244897963345,4.899999999998794,-1.0,-1.2448979591837337
2020-02-06 08:45:00,Asia,False,TP,1.3888888888890603,3.5999999999991594,1.3888888888890603,1.055555555555649
2020-02-07 08:15:00,NuevaYork,False,SL,4.518987341771853,7.900000000000684,-1.0,-1.151898734177202
2020-02-07 16:30:00,Londres,False,SL,3.441558441558775,7.699999999999374,-1.0,-1.1558441558441683
2020-02-10 20:45:00,NuevaYork,False,SL,5.926470588235141,6.800000000000139,-1.0,-1.1764705882352904
2020-02-11 11:15:00,Asia,True,TP,1.2769230769228246,6.500000000000394,1.2769230769228246,1.0923076923074513
2020-02-11 14:00:00,Londres,False,TP,0.6051282051281474,19.500000000001183,0.6051282051281474,0.5435897435896896
2020-02-11 15:15:00,Londres,True,TP,1.523809523809549,8.399999999999519,1.523809523809549,1.380952380952398
2020-02-12 09:15:00,Asia,True,TP,0.5739130434781669,11.499999999999844,0.5739130434781669,0.4695652173912089
2020-02-12 15:30:00,NuevaYork,False,SL,3.750000000000198,8.399999999999519,-1.0,-1.142857142857151
2020-02-13 12:30:00,Asia,False,SL,0.5812499999999055,16.00000000000046,-1.0,-1.0749999999999977
2020-02-14 00:30:00,NuevaYork,False,tiempo,3.271844660194698,10.299999999998644,0.019417475728285106,-0.09708737864066228
2020-02-17 08:00:00,Asia,True,SL,1.4545454545454086,4.3999999999999595,-1.0,-1.2727272727272754
2020-02-17 13:15:00,Londres,False,SL,1.4588235294118876,8.500000000000174,-1.0,-1.1411764705882324
2020-02-18 00:30:00,NuevaYork,False,SL,3.441176470588504,3.4000000000000696,-1.0,-1.352941176470581
2020-02-18 07:30:00,Asia,True,TP,4.093749999998503,3.20000000000098,4.093749999998503,3.718749999998619
2020-02-18 10:15:00,Asia,False,SL,2.808510638298023,4.699999999999704,-1.0,-1.2553191489361863
2020-02-18 15:15:00,Londres,False,SL,0.5917159763313722,33.799999999999386,-1.0,-1.0355029585798823
2020-02-19 15:00:00,Londres,False,TP,2.4415584415584863,7.699999999999374,2.4415584415584863,2.285714285714318
2020-02-19 21:45:00,Londres,True,SL,1.5575221238936872,11.300000000000754,-1.0,-1.1061946902654796
2020-02-20 07:30:00,NuevaYork,False,TP,0.5911949685534292,15.899999999999803,0.5911949685534292,0.5157232704402208
2020-02-20 15:30:00,Londres,True,SL,1.3230769230770072,19.499999999998963,-1.0,-1.0615384615384649
2020-02-21 16:30:00,Londres,True,TP,0.8424242424242799,16.499999999999293,0.8424242424242799,0.7696969696970042
2020-02-24 07:15:00,Asia,False,TP,2.195121951219336,12.300000000000644,2.195121951219336,2.097560975609585
2020-02-24 16:15:00,NuevaYork,True,SL,12.307692307690436,5.20000000000076,-1.0,-1.230769230769197
2020-02-24 18:15:00,NuevaYork,True,TP,5.666666666667407,5.999999999999339,5.666666666667407,5.466666666667384
2020-02-25 16:45:00,NuevaYork,True,SL,3.3865030674846017,16.300000000000203,-1.0,-1.0736196319018396
2020-02-25 19:45:00,Londres,True,SL,2.6203703703705457,10.799999999999699,-1.0,-1.111111111111114
2020-02-26 14:00:00,Londres,False,TP,1.8481675392671721,19.099999999998563,1.8481675392671721,1.7853403141362771
2020-02-27 00:15:00,Londres,True,SL,2.6204379562046127,13.699999999998713,-1.0,-1.0875912408759205
2020-02-27 06:45:00,Asia,True,SL,3.5280898876401325,8.900000000000574,-1.0,-1.1348314606741485
2020-02-27 14:00:00,Londres,True,SL,4.640625000000233,12.799999999999478,-1.0,-1.0937500000000038
2020-02-27 15:45:00,NuevaYork,True,SL,0.8106995884774001,24.299999999999322,-1.0,-1.049382716049384
2020-02-28 08:30:00,NuevaYork,True,SL,2.964705882352711,8.500000000000174,-1.0,-1.1411764705882324
2020-02-28 09:15:00,Londres,True,SL,6.137254901960374,5.1000000000001044,-1.0,-1.235294117647054
2020-02-28 09:45:00,NuevaYork,True,TP,1.1346153846154217,10.399999999999299,1.1346153846154217,1.0192307692307985
2020-02-28 13:45:00,Londres,False,SL,3.256157635468021,20.299999999999763,-1.0,-1.0591133004926114
2020-02-28 14:45:00,NuevaYork,False,TP,2.382352941176486,17.000000000000348,2.382352941176486,2.3117647058823696
2020-03-01 23:45:00,Londres,True,SL,2.7366255144030456,24.300000000001543,-1.0,-1.0493827160493796
2020-03-02 09:00:00,Asia,True,SL,1.096085409252667,28.099999999999792,-1.0,-1.0427046263345199
2020-03-02 12:00:00,NuevaYork,True,SL,2.408333333333202,12.000000000000899,-1.0,-1.0999999999999925
2020-03-02 18:30:00,NuevaYork,True,TP,1.5258620689656401,23.199999999998777,1.5258620689656401,1.4741379310346028
2020-03-03 08:00:00,Asia,False,SL,2.5714285714285716,11.900000000000244,-1.0,-1.1008403361344516
2020-03-03 09:15:00,NuevaYork,False,SL,5.849206349206071,12.600000000000389,-1.0,-1.0952380952380922
2020-03-03 13:30:00,Londres,False,TP,3.0916030534346874,13.100000000001444,3.0916030534346874,2.999999999999583
2020-03-03 15:00:00,NuevaYork,True,SL,4.5646258503405654,14.699999999998603,-1.0,-1.0816326530612321
2020-03-03 15:30:00,Londres,True,TP,1.2550607287449949,24.699999999999722,1.2550607287449949,1.2064777327935774
2020-03-04 07:15:00,Asia,False,TP,1.6871165644171755,16.300000000000203,1.6871165644171755,1.6134969325153359
2020-03-04 14:45:00,Londres,False,TP,2.7903225806450442,24.800000000000377,2.7903225806450442,2.7419354838708516
2020-03-05 12:15:00,Londres,True,SL,5.133333333333925,14.999999999998348,-1.0,-1.0800000000000087
2020-03-05 18:30:00,NuevaYork,True,SL,9.289256198347735,12.099999999999334,-1.0,-1.0991735537190137
2020-03-06 14:30:00,Londres,True,SL,8.20863309352658,13.899999999997803,-1.0,-1.0863309352518122
2020-03-08 21:00:00,NuevaYork,True,SL,12.49056603773788,5.299999999999194,-1.0,-1.226415094339657
2020-03-10 00:15:00,NuevaYork,False,SL,6.118012422360616,16.099999999998893,-1.0,-1.0745341614906883
2020-03-10 05:00:00,Londres,False,SL,2.8903743315507393,37.400000000000766,-1.0,-1.0320855614973257
2020-03-10 15:15:00,Londres,False,SL,2.5596707818930313,24.299999999999322,-1.0,-1.049382716049384
2020-03-10 18:15:00,NuevaYork,False,SL,4.012396694215141,24.199999999998667,-1.0,-1.0495867768595069
2020-03-11 20:45:00,NuevaYork,False,SL,7.422764227643295,12.299999999998423,-1.0,-1.0975609756097686
2020-03-12 10:45:00,Londres,False,SL,3.7122302158276668,27.799999999997826,-1.0,-1.0431654676259026
