dia,ts,lado,R,motivo,rgo,neta
2020-02-18,2020-02-18 08:35:00,-1,-1.0,SL,1.2000000000012,-2.191666666665475
2020-02-18,2020-02-18 11:05:00,-1,0.16666666666666666,cierre,4.20000000000087,-0.17380952380945328
2020-07-29,2020-07-29 08:05:00,1,2.0,TP,3.4000000000000696,1.579411764705891
2020-09-03,2020-09-03 08:05:00,-1,-1.0,SL,8.999999999999009,-1.1588888888889064
2021-01-05,2021-01-05 09:20:00,1,-1.0,SL,9.999999999998899,-1.1430000000000158
2021-01-28,2021-01-28 09:25:00,1,-1.0,SL,10.700000000001264,-1.1336448598130684
2021-01-28,2021-01-28 11:20:00,1,-1.0,SL,5.800000000000249,-1.2465517241379205
2021-01-28,2021-01-28 08:40:00,1,2.0,TP,2.900000000001235,1.506896551724348
2021-02-05,2021-02-05 09:10:00,1,0.11320754716970856,cierre,10.600000000000609,-0.021698113207642186
2021-02-24,2021-02-24 09:35:00,1,-1.0,SL,8.299999999998864,-1.1722891566265297
2021-04-27,2021-04-27 09:05:00,1,-1.0,SL,2.6999999999999247,-1.5296296296296443
2021-05-27,2021-05-27 08:10:00,1,-1.0,SL,8.799999999999919,-1.1625000000000014
2021-05-27,2021-05-27 10:50:00,-1,2.0,TP,7.800000000000029,1.8166666666666673
2021-08-09,2021-08-09 08:15:00,-1,-1.0,SL,1.7000000000000348,-1.841176470588218
2022-01-03,2022-01-03 08:40:00,-1,-1.0,SL,3.20000000000098,-1.4468749999998631
2022-01-03,2022-01-03 10:35:00,1,2.0,TP,5.5000000000005045,1.7400000000000237
2022-04-29,2022-04-29 08:20:00,1,2.0,TP,9.40000000000163,1.8478723404255584
2022-05-12,2022-05-12 08:05:00,1,-1.0,SL,5.1000000000001044,-1.2803921568627392
2022-05-12,2022-05-12 09:05:00,-1,2.0,TP,15.899999999999803,1.9100628930817598
2022-06-03,2022-06-03 09:20:00,-1,-1.0,SL,3.6999999999998145,-1.3864864864865059
2022-06-17,2022-06-17 08:05:00,-1,-1.0,SL,11.799999999999589,-1.1211864406779704
2022-06-17,2022-06-17 09:25:00,1,-1.0,SL,7.599999999998719,-1.1881578947368738
2022-06-17,2022-06-17 10:50:00,1,-0.33195020746893206,cierre,24.100000000000232,-0.3912863070539937
2022-06-17,2022-06-17 11:30:00,-1,-0.10810810810820543,cierre,14.800000000001479,-0.2047297297298174
2022-06-24,2022-06-24 11:30:00,1,-0.1159420289854676,cierre,13.799999999999368,-0.21956521739126944
2022-07-05,2022-07-05 09:10:00,-1,2.0,TP,25.100000000000122,1.9430278884462153
2022-07-12,2022-07-12 09:15:00,-1,0.353591160221006,cierre,18.099999999998673,0.2745856353591218
2022-08-03,2022-08-03 11:15:00,1,-0.9405940594059885,cierre,10.099999999999554,-1.0821782178218364
2023-01-04,2023-01-04 08:10:00,1,2.0,TP,11.499999999999844,1.8756521739130418
2023-03-07,2023-03-07 08:40:00,1,-1.0,SL,6.299999999999084,-1.22698412698416
2023-03-07,2023-03-07 08:10:00,1,2.0,TP,1.3999999999980695,0.97857142857002
2023-03-07,2023-03-07 09:15:00,-1,1.117647058823427,cierre,10.200000000000209,0.9774509803920575
2023-05-10,2023-05-10 09:05:00,1,-1.0,SL,9.600000000000719,-1.1489583333333222
2023-05-10,2023-05-10 10:05:00,-1,-0.20540540540541644,cierre,18.500000000001293,-0.2827027027027083
2023-05-12,2023-05-12 08:40:00,1,-1.0,SL,6.299999999999084,-1.22698412698416
2023-05-12,2023-05-12 10:00:00,-1,-0.04761904761905481,cierre,14.700000000000824,-0.1448979591836752
2023-07-06,2023-07-06 08:05:00,1,0.09210526315791588,cierre,15.199999999999658,-0.0019736842105072816
2023-07-06,2023-07-06 09:55:00,-1,-1.0,SL,6.800000000000139,-1.2102941176470545
2023-09-26,2023-09-26 10:25:00,1,0.46666666666644957,cierre,7.500000000000284,0.27599999999979014
2023-09-26,2023-09-26 08:40:00,-1,2.0,TP,4.199999999998649,1.6595238095237002
