instr,F,obj,n,ac,R,neta,z,stop
EURUSD,0.5,1:2,7724,32.302106027596224,0.008261854453959423,-0.12147085525598401,-7.92910257664599,13.559999999999128
EURUSD,0.5,nivel,7149,59.509379509379514,-0.042163538327751306,-0.17479839648681236,-14.833740707925632,13.259999999999383
EURUSD,0.618,1:2,6794,33.45835286763557,0.024979793158134284,-0.13738423828689184,-8.157342729401872,10.844999999999327
EURUSD,0.618,nivel,6468,58.3974862529458,-0.047296000670037724,-0.21181713193718626,-16.45763968867963,10.748600000001218
EURUSD,0.705,1:2,6124,34.08783783783784,0.03500859453435004,-0.16620296704677723,-9.247161713617203,8.768999999999583
EURUSD,0.705,nivel,5937,55.888869950570985,-0.04235884056619156,-0.24502225674538594,-16.95186323408934,8.729499999999835
EURUSD,0.79,1:2,5556,34.692757863935626,0.04811050171935013,-0.21253500046891455,-11.131353598960184,6.726999999999705
EURUSD,0.79,nivel,5462,54.02764976958525,-0.039586252992408366,-0.30119022710479865,-18.78018285984309,6.726999999999705
GBPUSD,0.5,1:2,8093,32.364799110246075,0.0071716592027247,-0.1017584344070489,-6.808466078370755,17.879999999999008
GBPUSD,0.5,nivel,7509,61.468140264701866,-0.015089762860793584,-0.12643838873918625,-10.67023229788566,17.460000000000253
GBPUSD,0.618,1:2,7165,33.28878990348924,0.021196772803700234,-0.1160036602050365,-7.090266763092524,14.170800000001815
GBPUSD,0.618,nivel,6847,58.7120651369356,-0.03929951336223284,-0.17813994074114117,-13.697364426543489,14.026200000001321
GBPUSD,0.705,1:2,6492,34.35807582032495,0.04301914906623151,-0.12734717616507504,-7.271541395357791,11.376000000000719
GBPUSD,0.705,nivel,6297,57.96566661318787,-0.028925858034816745,-0.200717055084299,-14.523466368287758,11.296999999999002
GBPUSD,0.79,1:2,5872,34.61804355340477,0.04491089605592776,-0.17336262751961992,-9.292373566181004,8.83500000000037
GBPUSD,0.79,nivel,5771,55.86748038360941,-0.03548363660820677,-0.25474897034711363,-17.038613563453954,8.804000000000034
USDJPY,0.5,1:2,7053,32.13943076431084,0.006823877623174123,-0.09196452949401458,-5.748268189400958,19.320000000000448
USDJPY,0.5,nivel,6487,61.86171899777989,-0.040645533557437975,-0.1414960196734085,-11.895626304604932,18.899999999999295
USDJPY,0.618,1:2,6109,33.6757792094724,0.030048628346721333,-0.0953781859414828,-5.361941572101989,15.13479999999987
USDJPY,0.618,nivel,5786,61.21339645800455,-0.03767543843677825,-0.16522843447797184,-12.739084214980478,14.893800000000113
USDJPY,0.705,1:2,5412,32.62288786482335,-0.00678817235739252,-0.16179773484141652,-8.539044692860887,12.205499999998892
USDJPY,0.705,nivel,5220,59.22630560928434,-0.04851792698299983,-0.2054281250044076,-14.494349516124608,12.008000000000152
USDJPY,0.79,1:2,4792,33.566730320390405,0.012745763810469646,-0.18996303888578275,-9.286684267657972,9.331000000000245
USDJPY,0.79,nivel,4710,56.1231032271853,-0.04810552499823294,-0.25207004717348114,-15.847332999221058,9.237999999999147
NSXUSD,0.5,1:2,7121,32.19382154618159,0.007530933969517238,-0.030846447868189103,-1.9295954599851586,53.140800000001036
NSXUSD,0.5,nivel,6512,59.024619727144426,-0.046780539633573724,-0.0860041668328228,-6.642964119025896,51.75
NSXUSD,0.618,1:2,6232,32.30246389124894,-0.00758392433451104,-0.0557968803598686,-3.198336618290982,41.782169999999496
NSXUSD,0.618,nivel,5911,56.95681973954764,-0.05127122180152772,-0.09994633812196996,-6.861692215660911,41.44717999999921
NSXUSD,0.705,1:2,5600,32.754158964879856,-0.0014897704233520384,-0.06130609375865965,-3.292034005275289,33.46479499999987
NSXUSD,0.705,nivel,5422,56.00148643626904,-0.0478958680989945,-0.10810623647249172,-6.776671404103004,33.26591250000001
NSXUSD,0.79,1:2,5068,32.97914995990377,-0.006846050874540832,-0.08429734537318316,-4.276920978132055,25.696829999999864
NSXUSD,0.79,nivel,4970,52.84701114488348,-0.05711542375305304,-0.13496287788223107,-7.574041262171952,25.61328500000036
