tf,n,bruta,lo,neta,coste,riesgo
H1,47408,0.08657071432671402,0.07337931919535566,-0.14113821781373953,14.323228316841046,8.100000000001728
H2,23180,0.1324961001327494,0.05710375519172088,-0.02444699860887417,9.917355371901373,11.700000000001864
H4,11392,0.07460176959328114,0.045773424103514135,-0.029638867071741893,6.6964285714285126,17.21149999999966
H6,6973,0.06504140784578098,0.03040988772732566,-0.01703583141394953,5.4264266980194575,21.100000000000563
H8,4930,0.06381371222413179,0.021726780202606606,-0.0063860577900846155,4.593639575971481,25.306000000000665
H12,3108,0.12480936626327736,0.0644185087582016,0.07245923760838355,3.3942825735121933,32.49999999999975
D1,1952,0.042136653378554545,-0.01700129290526395,0.009109011253509746,2.3460432974558962,47.699999999999406
