i,ts,lado,entrada,stop,objetivo,riesgo_u,rr,n_obj,tf_obj,tomas,R,motivo,R_neto,ins,coste_R
56,2020-01-02 14:59:00,-1,3247.949,3250.44,3238.537,2.4909999999999854,3.7784022480932626,1,4H,1,3.7784022480932626,TP,3.537535126455365,SPX500,0.24086712163789784
225,2020-01-06 06:29:00,1,1.30779,1.30674,1.316,10.499999999999954,7.819047619047701,1,12H,1,-1.0,SL,-1.1428571428571435,GBPUSD,0.1428571428571435
228,2020-01-06 07:14:00,-1,1.30816,1.30877,1.30633,6.099999999999994,3.0,1,4H,1,-1.0,SL,-1.2459016393442626,GBPUSD,0.2459016393442625
236,2020-01-06 09:14:00,-1,1.11782,1.11824,1.11523,4.199999999998649,6.16666666666887,1,4H,2,-1.0,SL,-1.2857142857143775,EURUSD,0.28571428571437757
239,2020-01-06 09:59:00,-1,1.31429,1.31492,1.30633,6.300000000001305,12.634920634917966,1,4H,1,-1.0,SL,-1.2380952380951888,GBPUSD,0.2380952380951888
222,2020-01-06 11:58:00,1,3216.352,3214.134,3245.955,2.217999999999847,13.346708746619525,1,12H,1,-1.0,SL,-1.270513976555474,SPX500,0.270513976555474
235,2020-01-06 13:29:00,1,8733.27,8722.19,8844.68,11.079999999999927,10.055054151624601,1,12H,1,-1.0,SL,-1.135379061371842,NAS100,0.13537906137184205
262,2020-01-06 15:44:00,-1,1.31484,1.31583,1.30638,9.900000000000464,8.545454545454056,1,4H,2,-1.0,SL,-1.1515151515151445,GBPUSD,0.15151515151514441
242,2020-01-06 16:59:00,1,3232.4,3230.543,3245.955,1.856999999999971,7.299407646742083,1,12H,1,7.299407646742083,TP,6.976305869682305,SPX500,0.3231017770597789
269,2020-01-06 17:29:00,-1,1.31671,1.31755,1.30638,8.399999999999519,12.297619047619692,1,4H,2,-1.0,SL,-1.1785714285714388,GBPUSD,0.1785714285714388
251,2020-01-06 17:29:00,1,8804.52,8794.68,8844.68,9.840000000000146,4.081300813008055,1,12H,1,4.081300813008055,TP,3.9288617886178137,NAS100,0.15243902439024165
290,2020-01-07 04:59:00,1,8863.53,8857.72,8887.99,5.81000000000131,4.209982788294942,1,1D,1,-1.0,SL,-1.2581755593803203,NAS100,0.25817555938032044
302,2020-01-07 07:59:00,-1,8846.12,8852.19,8827.64,6.069999999999709,3.044481054366107,1,4H,2,-1.0,SL,-1.247116968698529,NAS100,0.24711696869852914
298,2020-01-07 08:44:00,-1,3249.746,3252.452,3240.934,2.706000000000131,3.2564671101254516,1,4H,2,-1.0,SL,-1.2217294900221622,SPX500,0.22172949002216222
305,2020-01-07 08:44:00,-1,8859.69,8866.59,8827.64,6.899999999999636,4.644927536232287,1,4H,2,-1.0,SL,-1.2173913043478375,NAS100,0.21739130434783754
334,2020-01-07 09:44:00,1,108.457,108.41199999999999,108.63,4.5000000000001705,3.8444444444443393,1,1D,1,-1.0,SL,-1.2888888888888779,USDJPY,0.2888888888888779
