,0
mu_cerca_asia,9.697055508593998
mu_hacia_asia,-0.0002817695125387433
mu_rechazo,0.04170188785573401
mu_rotura,0.04451958298112144
mu_d_ext,12.349196956889338
mu_d_ext_contra,12.346041138348905
mu_toque,3.2855734009580164
mu_hora,112.14708368554523
mu_rango,5.028331924485786
mu_h4_al,0.5
mu_m15_al,0.479149056072133
mu_dia_al,0.4981684981684982
mu_imp_al,0.479149056072133
mu_imp_abs,4.466286277824744
mu_cuerpo_al,0.4930966469428008
mu_dentro_asia,0.6120033812341504
sd_cerca_asia,9.465384890528588
sd_hacia_asia,1.0000704101223752
sd_rechazo,0.19992116284512468
sd_rotura,0.20626095959898552
sd_d_ext,12.13297037196055
sd_d_ext_contra,12.133859768239358
sd_toque,4.088325631577349
sd_hora,64.44928082732284
sd_rango,2.9943776268411866
sd_h4_al,0.5000352249111008
sd_m15_al,0.4996002432237824
sd_dia_al,0.5000318702645723
sd_imp_al,0.4996002432237824
sd_imp_abs,4.432459692993303
sd_cuerpo_al,0.4999875629987938
sd_dentro_asia,0.48732812470643744
