dia,hora,lado,rngA,ent,stop,tp,rgo,rr,R,neta,res,dow
2020-01-08,2020-01-08 09:35:00,1,23.199999999998777,1.11367,1.11422,1.11513,5.5000000000005045,2.6545454545452416,-1.0,-1.2599999999999763,SL,2
2020-01-21,2020-01-21 08:45:00,1,10.600000000000609,1.1091000000000002,1.10854,1.11023,5.60000000000116,2.0178571428564633,2.0178571428564633,1.7624999999993733,TP,1
2020-02-12,2020-02-12 09:25:00,-1,10.200000000000209,1.09184,1.09232,1.0905,4.8000000000003595,2.7916666666662424,2.7916666666662424,2.493749999999598,TP,2
2020-02-14,2020-02-14 10:05:00,-1,14.499999999999513,1.084445,1.08428,1.08348,1.6500000000019277,5.84848484847865,-1.0,-1.8666666666656542,SL,4
2020-02-14,2020-02-14 10:05:00,-1,14.499999999999513,1.084445,1.08436,1.08348,0.8500000000011276,11.352941176456758,-1.0,-2.682352941174239,SL,4
2020-02-19,2020-02-19 08:05:00,-1,11.000000000001009,1.08005,1.08055,1.07854,4.999999999999449,3.0200000000001332,-1.0,-1.2860000000000316,SL,2
2020-02-19,2020-02-19 09:25:00,-1,11.000000000001009,1.0803500000000001,1.08049,1.07999,1.3999999999980695,2.571428571433103,2.571428571433103,1.550000000003123,TP,2
2020-02-20,2020-02-20 08:50:00,1,23.600000000001398,1.079285,1.07879,1.08115,4.950000000001342,3.7676767676757574,-1.0,-1.2888888888888106,SL,3
2020-02-20,2020-02-20 08:50:00,1,23.600000000001398,1.079285,1.07888,1.08115,4.049999999999887,4.60493827160508,-1.0,-1.3530864197530963,SL,3
2020-02-24,2020-02-24 08:10:00,1,27.600000000000957,1.082245,1.08119,1.08635,10.549999999998061,3.8909952606642464,3.8909952606642464,3.755450236967539,TP,0
2020-03-02,2020-03-02 09:05:00,-1,28.599999999998627,1.107825,1.10758,1.10551,2.4500000000005073,9.448979591835052,-1.0,-1.5836734693876342,SL,0
2020-03-04,2020-03-04 08:05:00,1,24.499999999998412,1.11619,1.11508,1.12134,11.099999999999444,4.639639639639861,-1.0,-1.1288288288288353,SL,2
2020-03-04,2020-03-04 09:05:00,-1,24.499999999998412,1.11606,1.1184399999999999,1.10953,23.799999999998267,2.7436974789918582,1.029411764705984,0.9693277310925342,abierta,2
2020-03-05,2020-03-05 08:55:00,1,10.900000000000354,1.113635,1.11275,1.11875,8.850000000000247,5.779661016948969,5.779661016948969,5.618079096045019,TP,3
2020-04-09,2020-04-09 09:10:00,-1,26.800000000000157,1.08735,1.0883099999999999,1.08534,9.599999999998499,2.0937500000003975,-1.0,-1.1489583333333566,SL,3
2020-04-24,2020-04-24 08:35:00,1,18.700000000000383,1.073865,1.07595,1.08466,20.849999999998925,5.177458033573354,-1.0,-1.068585131894488,SL,4
2020-04-24,2020-04-24 08:35:00,1,18.700000000000383,1.073865,1.07558,1.0774,17.14999999999911,2.061224489795934,-1.0,-1.083381924198255,SL,4
2020-04-27,2020-04-27 09:45:00,-1,31.90000000000026,1.08402,1.08469,1.08197,6.699999999999484,3.0597014925373776,-1.0,-1.2134328358209119,SL,0
2020-04-27,2020-04-27 09:45:00,-1,31.90000000000026,1.08402,1.08453,1.083,5.1000000000001044,2.0,-1.0,-1.2803921568627392,SL,0
2020-05-04,2020-05-04 09:35:00,1,27.500000000000302,1.093645,1.0932600000000001,1.09446,3.849999999998577,2.1168831168839257,-1.0,-1.3714285714287087,SL,0
2020-05-04,2020-05-04 09:35:00,1,27.500000000000302,1.093645,1.09317,1.09548,4.750000000000032,3.8631578947368816,-1.0,-1.3010526315789455,SL,0
2020-05-07,2020-05-07 09:00:00,-1,12.499999999999734,1.0800049999999999,1.08076,1.07819,7.550000000000612,2.4039735099334476,2.4039735099334476,2.214569536423529,TP,3
2020-05-14,2020-05-14 09:25:00,1,18.799999999998818,1.08109,1.08023,1.08965,8.60000000000083,9.953488372091948,-1.0,-1.166279069767426,SL,3
2020-05-14,2020-05-14 09:25:00,1,18.799999999998818,1.08109,1.08011,1.08965,9.80000000000203,8.73469387754911,-1.0,-1.1459183673469084,SL,3
2020-05-20,2020-05-20 08:30:00,-1,24.100000000000232,1.095095,1.09491,1.094,1.849999999998797,5.918918918921936,-1.0,-1.7729729729734756,SL,2
2020-06-05,2020-06-05 08:55:00,-1,29.300000000000992,1.1351849999999999,1.13614,1.13258,9.550000000000392,2.7277486910993316,2.7277486910993316,2.57801047120405,TP,4
2020-06-12,2020-06-12 10:15:00,-1,23.400000000000087,1.132005,1.1307099999999999,1.12931,12.950000000000461,2.0810810810809235,-1.0,-1.1104247104247065,SL,4
2020-06-15,2020-06-15 09:05:00,1,25.599999999998957,1.1251099999999998,1.12332,1.13405,17.899999999997362,4.99441340782206,3.620111731844256,3.54022346368782,abierta,0
2020-06-16,2020-06-16 08:55:00,-1,22.599999999999287,1.1329799999999999,1.13542,1.12267,24.400000000002198,4.225409836065119,2.872950819671856,2.8143442622948123,abierta,1
2020-06-19,2020-06-19 08:35:00,-1,17.300000000000093,1.12111,1.12191,1.11854,7.999999999999119,3.2125000000003054,-1.0,-1.1787500000000197,SL,4
2020-06-19,2020-06-19 08:35:00,-1,17.300000000000093,1.12111,1.12174,1.11854,6.299999999999084,4.079365079365611,-1.0,-1.22698412698416,SL,4
2020-06-25,2020-06-25 08:35:00,1,19.899999999999363,1.12381,1.1235600000000001,1.12498,2.4999999999986144,4.680000000003055,-1.0,-1.5720000000003171,SL,3
2020-07-03,2020-07-03 09:20:00,1,21.199999999998997,1.123625,1.12232,1.13026,13.050000000001116,5.084291187738987,-1.0,-1.1095785440612933,SL,4
2020-07-03,2020-07-03 09:20:00,1,21.199999999998997,1.123625,1.12252,1.13026,11.050000000001337,6.0045248868770535,-1.0,-1.1294117647058668,SL,4
