instr,n,ac,R,zb,neta,zn,stop
EURUSD,11458,32.7765194412986,0.008808544725878007,0.6892334219606238,-0.17851751140454158,-13.595208895320756,12.000000000000899
GBPUSD,11815,31.97063089195069,-0.02074811616611855,-1.6539687016330464,-0.18038016434947998,-14.085285209110815,15.400000000000968
USDJPY,11023,32.76423566564689,0.008161005840523209,0.6286236237239055,-0.1324433479079351,-10.068405263245202,16.900000000001114
XAUUSD,4704,34.05730129390018,0.04370384850860469,2.1771774222726306,-0.013917716978160438,-0.6902121435650977,580.1999999999907
GRXEUR,4780,33.002032979444316,0.01894974370002364,0.9545862630075637,-0.0680302327580993,-3.414335655610505,30.644000000000233
NSXUSD,11109,32.365918227277184,0.0011605742634458003,0.08994308733543604,-0.050946689650357244,-3.9404584675522383,47.34299999999712
SPXUSD,11519,33.825315273236804,0.03984312174794301,3.0961437100281572,-0.04297638499273881,-3.325722205077821,10.163000000000466
