entrada,salida,px_ent,px_sal,lotes,atr,motivo,noches,bruto,coste,neto,capital
2023-01-12 12:21:00,2023-01-12 13:30:00,1886.748,1882.1161052631578,2.2563712799562916,4.431894736842117,stop,0,-1045.1274255991539,13.53822767973775,-1058.6656532788916,98941.33434672111
2023-01-13 08:07:00,2023-01-13 12:26:00,1901.675,1896.9745473684209,2.198475185639449,4.500452631578965,stop,0,-1033.382847180026,13.190851113836693,-1046.5736982938627,97894.76064842724
2023-01-13 15:00:00,2023-01-13 15:01:00,1912.358,1907.3683999999998,2.0439026358866506,4.789600000000012,stop,0,-1019.8256592020256,12.263415815319902,-1032.0890750173455,96862.6715734099
2023-01-15 23:04:00,2023-01-15 23:58:00,1921.998,1917.0580105263157,2.0435208160519838,4.73998947368422,stop,0,-1009.497132055168,12.261124896311902,-1021.7582569514799,95840.91331645842
2023-01-18 14:09:00,2023-01-18 14:45:00,1924.347,1918.9782105263157,1.8542235818350148,5.1687894736842015,stop,0,-995.4936048012978,11.125341491010088,-1006.6189462923079,94834.29437016611
2023-01-19 19:24:00,2023-01-20 01:00:00,1925.998,1930.117,1.9670825970174328,4.82106315789472,tiempo,1,810.2413217114638,80.65038647771475,729.5909352337491,95563.88530539986
2023-01-20 08:09:00,2023-01-20 08:36:00,1935.2450000000001,1930.4146210526317,2.0638458837091953,4.630378947368399,stop,0,-996.915770728192,12.383075302255172,-1009.2988460304472,94554.58645936941
2023-01-24 06:32:00,2023-01-24 11:00:00,1937.635,1938.245,1.967677895354368,4.8053894736841904,tiempo,0,120.02835161659677,11.806067372126208,108.22228424447056,94662.80874361389
2023-01-25 19:55:00,2023-01-26 01:00:00,1942.548,1944.975,1.9632126753850558,4.821831578947357,tiempo,1,476.4717163159348,80.49171969078729,395.9799966251475,95058.78874023903
2023-02-01 19:40:00,2023-02-02 01:00:00,1933.825,1952.205,2.0084748434965074,4.732884210526302,tiempo,1,3691.5767623465567,82.3474685833568,3609.2292937632,98668.01803400223
2023-02-02 07:08:00,2023-02-02 10:52:00,1957.338,1952.2698105263157,2.0267908339921523,4.868189473684204,stop,0,-1027.2159970198734,12.160745003952915,-1039.3767420238264,97628.6412919784
2023-02-08 07:58:00,2023-02-08 10:54:00,1884.548,1878.3345578947367,1.623506796656952,6.013442105263166,stop,0,-1008.7565488529467,9.741040779941713,-1018.4975896328884,96610.14370234552
2023-02-09 13:52:00,2023-02-09 14:36:00,1886.545,1880.9942210526317,1.8055341970323684,5.350778947368426,stop,0,-1002.2121209640927,10.83320518219421,-1013.0453261462869,95597.09837619924
2023-02-20 06:05:00,2023-02-20 13:00:00,1845.358,1842.615,1.8533261389238678,5.158136842105277,tiempo,0,-508.36735990680546,11.119956833543206,-519.4873167403487,95077.6110594589
2023-02-28 17:04:00,2023-03-01 00:18:00,1828.4550000000002,1824.3248210526317,2.41916748149906,3.9301789473684208,stop,1,-999.1594602245771,99.18586674146145,-1098.3453269660386,93979.26573249286
2023-03-01 03:32:00,2023-03-01 08:00:00,1831.2450000000001,1835.235,2.28207631550897,4.118147368421057,tiempo,0,910.5484498880293,13.69245789305382,896.8559919949754,94876.12172448784
2023-03-01 09:01:00,2023-03-01 09:16:00,1836.765,1832.4741473684212,2.3192260946312406,4.090852631578951,stop,0,-995.1457391374914,13.915356567787445,-1009.0610957052788,93867.06062878255
2023-03-03 07:05:00,2023-03-03 14:00:00,1844.605,1846.668,2.370563057687685,3.959694736842106,tiempo,0,489.04715880093966,14.223378346126111,474.8237804548136,94341.88440923736
2023-03-03 18:09:00,2023-03-06 03:00:00,1848.765,1853.4479999999999,2.4843947816853054,3.7973789473684185,tiempo,3,1163.4420762631703,275.7678207670689,887.6742554961014,95229.55866473346
2023-03-06 04:14:00,2023-03-06 08:35:00,1856.4080000000001,1852.3622631578949,2.4762370015053365,3.845736842105266,stop,0,-1001.8203266774425,14.85742200903202,-1016.6777486864745,94212.88091604698
2023-03-10 14:32:00,2023-03-12 21:00:00,1851.755,1872.1979999999999,2.496812441633093,3.773326315789465,tiempo,2,5104.233674430471,189.75774556411506,4914.475928866356,99127.35684491335
2023-03-13 12:00:00,2023-03-13 12:04:00,1899.515,1894.5148315789475,2.0650808086266226,4.800168421052625,stop,0,-1032.5751846216708,12.390484851759735,-1044.9656694734306,98082.39117543992
2023-03-13 23:50:00,2023-03-14 00:36:00,1914.108,1908.4866,1.8091709000523892,5.4213999999999825,stop,1,-1017.0073297554491,74.17600690214796,-1091.183336657597,96991.20783878231
2023-03-15 11:00:00,2023-03-15 23:00:00,1918.105,1920.925,1.6387204807380633,5.918715789473653,tiempo,0,462.1191755681234,9.832322884428379,452.28685268369503,97443.49469146601
2023-03-17 12:00:00,2023-03-19 23:00:00,1945.055,1976.725,1.391938987673058,7.000557894736819,tiempo,2,4408.270773960553,105.7873630631524,4302.483410897401,101745.97810236341
2023-03-20 05:01:00,2023-03-20 05:16:00,1990.748,1982.9769263157896,1.3438777952267837,7.571073684210509,stop,0,-1044.3373369281658,8.063266771360702,-1052.4006036995265,100693.57749866389
2023-03-23 17:00:00,2023-03-23 21:04:00,1999.664,1992.1860105263156,1.3835356297608303,7.277989473684219,stop,0,-1034.6064875818772,8.301213778564982,-1042.9077013604422,99650.66979730345
2023-03-30 12:31:00,2023-03-30 12:41:00,1975.198,1969.055494736842,1.6769134461708166,5.942505263157909,stop,0,-1030.0449668964661,10.0614806770249,-1040.106447573491,98610.56334972996
