ts,R,neta,rgo,lado,hfrac,hbar,gana,fvg,pos,anio
2020-01-15 07:30:00,-1.0,-1.2900608519269325,4.930000000000767,-1,23,8,False,False,0.7011308562197203,2020
2020-01-30 07:30:00,2.44827586206848,2.0537931034478376,3.6250000000004334,1,2,8,True,False,0.42699115044246755,2020
2020-03-05 03:00:00,-1.0,-1.2046072399485062,6.988999999999468,-1,1,4,False,True,0.6110236220472487,2020
2020-03-06 15:00:00,-1.0,-1.0665456745311517,21.4890000000012,-1,12,16,False,False,0.8580750407830378,2020
2020-04-09 00:30:00,-1.0,-1.1254716153373732,11.396999999999657,-1,20,2,False,True,0.6531645569620306,2020
2020-04-09 01:00:00,-1.0,-1.1362164221756683,10.497999999998786,-1,20,3,False,True,0.6234177215189945,2020
2020-04-09 18:00:00,2.4482758620692446,2.262199089134945,7.684999999999498,-1,16,20,True,False,0.9791078486730672,2020
2020-05-07 06:30:00,-1.0,-1.163279287508567,8.757999999999821,1,2,8,False,False,0.05320813771518131,2020
2020-05-08 08:30:00,-1.0,-1.1748593788212083,8.178000000000907,1,1,10,False,True,0.42561205273068337,2020
2020-05-08 14:00:00,-1.0,-1.0815047021943527,17.545000000001032,1,10,16,False,False,0.44632768361581604,2020
2020-05-15 00:00:00,-1.0,-1.835768556399866,1.710999999999796,1,0,2,False,False,0.24404272801971352,2020
2020-05-15 00:30:00,-1.0,-1.6574712643678717,2.174999999999816,1,0,2,False,False,0.25143796220214126,2020
2020-05-15 12:30:00,2.448275862069157,2.3541721505661273,15.195999999999543,1,10,14,True,False,0.45028759244042094,2020
2020-05-28 19:00:00,-1.0,-1.1860767729342998,7.684999999999498,-1,19,21,False,False,1.0372478013450506,2020
2020-06-26 00:30:00,-1.0,-1.2709359605911499,5.277999999999672,1,23,2,False,False,0.1604548325963351,2020
2020-06-26 07:30:00,-1.0,-1.194135215856645,7.365999999999762,1,5,9,False,False,0.21983575489576282,2020
2020-07-17 18:30:00,-1.0,-1.1400862068965458,10.208000000000439,-1,18,20,False,True,0.8750000000000023,2020
2020-07-22 03:00:00,2.448275862068549,2.2715362748729255,8.09100000000118,-1,3,5,True,False,0.9883653286794531,2020
2020-07-24 07:30:00,-1.0,-1.1229684409665526,11.628999999999667,-1,5,9,False,False,0.9171568627450994,2020
2020-07-28 11:00:00,-1.0,-1.1149425287356247,12.441000000000813,-1,8,13,False,True,0.8199170124481324,2020
2020-08-19 06:00:00,-1.0,-1.1949025487256215,7.337000000000593,-1,5,8,False,False,0.8564437194127267,2020
2020-08-20 01:30:00,2.4482758620690657,2.214577545350647,6.118999999999986,1,22,3,True,False,0.11167883211679024,2020
2020-08-25 13:30:00,2.448275862068993,2.3201970443349986,11.164999999999647,-1,11,15,True,False,0.5920745920745919,2020
2020-09-04 07:00:00,-1.0,-1.1536147813943567,9.308999999999568,1,5,9,False,False,0.23875899280575166,2020
2020-09-28 01:00:00,2.4482758620694454,2.2445141065835124,7.017999999998636,1,23,3,True,True,0.12464854732894438,2020
2020-09-30 23:30:00,-1.0,-1.3944827586206425,3.6250000000004334,-1,19,1,False,False,0.778556412053255,2020
2020-10-06 22:00:00,-1.0,-1.4787412119181587,2.987000000000961,1,20,0,False,False,0.37020517395183206,2020
2020-10-08 12:00:00,-1.0,-1.1358411703239266,10.527000000000175,-1,12,14,False,False,0.5085324232081838,2020
2020-10-16 07:00:00,2.448275862069536,2.200485184543928,5.77099999999886,1,5,9,True,False,0.19040125885128772,2020
2020-11-06 14:00:00,-1.0,-1.124207417701744,11.512999999998552,-1,13,15,False,False,0.9877609791216699,2020
2020-11-09 20:30:00,-1.0,-1.2029232297431525,7.0470000000000255,-1,18,21,False,False,0.5150561797752796,2020
2020-11-10 00:30:00,2.4482758620691443,2.2892102335930566,8.989999999999831,1,23,1,True,True,0.4966539196940667,2020
2020-11-30 01:00:00,-1.0,-1.1274169116991868,11.223000000000205,-1,0,2,False,True,0.9597826086956305,2020
2020-12-15 11:00:00,-1.0,-1.1090936832468767,13.107999999999453,-1,10,12,False,False,0.8117154811715459,2020
2020-12-23 14:00:00,-1.0,-1.1040302633493462,13.745999999998926,1,11,15,False,False,0.4615384615384566,2020
2020-12-30 14:00:00,2.4482758620689995,2.3218390804598035,11.309999999999931,-1,13,15,True,False,0.8224374495560939,2020
