conf,ses,clave,lado,t,tent,ent,stop,rgo,obj,gano,rgoP,cpc,Rb,Rn
C2,londres,lo,1,2020-01-22 09:55:00,2020-01-22 08:55:00,1.1081,1.10766,0.00043999999999999595,1.10898,1,4.3999999999999595,32.5000000000003,2.0,1.6749999999999972
C1,londres,lo,1,2020-01-22 13:00:00,2020-01-22 12:00:00,1.10791,1.10771,0.00019999999999997797,1.10831,0,1.9999999999997797,71.50000000000787,-1.0,-1.7150000000000787
C2,londres,lo,1,2020-01-22 13:05:00,2020-01-22 12:05:00,1.10795,1.10771,0.00024000000000001798,1.10843,0,2.4000000000001798,59.58333333332887,-1.0,-1.5958333333332888
C1,londres,lo,1,2020-01-22 13:10:00,2020-01-22 12:10:00,1.10805,1.10771,0.00034000000000000696,1.10873,0,3.4000000000000696,42.0588235294109,-1.0,-1.420588235294109
C2,londres,lo,1,2020-01-22 13:35:00,2020-01-22 12:35:00,1.10817,1.10771,0.000460000000000127,1.1090900000000004,1,4.60000000000127,31.08695652173055,2.0,1.6891304347826945
C1,londres,lo,1,2020-01-23 10:30:00,2020-01-23 09:30:00,1.10815,1.1079,0.00024999999999986144,1.1086499999999997,1,2.4999999999986144,57.2000000000317,2.0,1.4279999999996829
C2,londres,lo,1,2020-01-23 10:35:00,2020-01-23 09:35:00,1.10821,1.1079,0.00030999999999981043,1.1088299999999995,1,3.0999999999981043,46.12903225809273,2.0,1.5387096774190727
C1,londres,hi,-1,2020-01-24 09:30:00,2020-01-24 08:30:00,1.1055,1.10617,0.0006700000000001705,1.1041599999999996,1,6.700000000001705,21.343283582084123,2.0,1.7865671641791587
C2,londres,hi,-1,2020-01-24 09:35:00,2020-01-24 08:35:00,1.10543,1.10617,0.000740000000000185,1.1039499999999995,1,7.4000000000018495,19.324324324319495,2.0,1.806756756756805
C1,londres,hi,-1,2020-01-24 09:35:00,2020-01-24 08:35:00,1.10542,1.10564,0.00021999999999988695,1.1049800000000003,1,2.1999999999988695,65.0000000000334,2.0,1.3499999999996661
