ts,lado,bruto,neto
2024-01-31 20:15:00,1,9.099999999999664,7.899999999999664
2024-08-05 12:00:00,-1,-14.300000000000423,-15.500000000000423
2024-09-06 16:00:00,1,3.8999999999989043,2.699999999998904
2024-09-19 00:30:00,1,-24.699999999999722,-25.89999999999972
2024-09-19 00:45:00,1,1.7000000000000348,0.5000000000000349
2024-09-19 01:15:00,1,23.600000000001398,22.4000000000014
2024-09-19 03:30:00,-1,-0.5000000000010552,-1.7000000000010551
2024-09-19 03:45:00,-1,-1.5999999999993797,-2.79999999999938
2024-09-19 05:00:00,-1,-5.800000000000249,-7.00000000000025
2024-09-19 05:15:00,-1,-2.80000000000058,-4.00000000000058
2024-11-06 02:00:00,1,-43.999999999999595,-45.1999999999996
2024-11-06 02:15:00,1,-20.800000000000818,-22.000000000000817
2024-11-06 02:45:00,1,-16.00000000000046,-17.200000000000458
2024-11-06 03:30:00,1,53.600000000000314,52.40000000000031
2024-11-06 06:15:00,1,28.799999999999937,27.599999999999937
2024-11-06 11:00:00,1,-19.800000000000928,-21.000000000000927
2024-11-06 11:15:00,1,-19.400000000000528,-20.600000000000527
2024-11-06 11:30:00,1,-22.399999999997977,-23.599999999997976
2024-11-06 12:15:00,1,6.500000000000394,5.300000000000394
2024-11-15 20:00:00,1,-4.500000000000615,-5.700000000000615
2024-11-15 20:15:00,1,6.200000000000649,5.000000000000649
2024-11-24 23:15:00,-1,20.900000000001473,19.700000000001474
2024-11-25 16:30:00,1,8.999999999999009,7.799999999999009
2024-11-25 23:30:00,1,-23.100000000000342,-24.30000000000034
2024-11-25 23:45:00,1,-8.799999999999919,-9.999999999999918
2024-11-26 00:00:00,1,13.700000000000934,12.500000000000934
2024-11-26 10:15:00,-1,4.8000000000003595,3.6000000000003594
2024-11-26 10:30:00,-1,-3.1000000000003247,-4.300000000000325
2024-11-26 16:00:00,1,2.4999999999986144,1.2999999999986145
2024-11-26 17:30:00,1,-0.700000000000145,-1.900000000000145
2024-12-02 14:45:00,1,-4.699999999999704,-5.899999999999705
2024-12-12 20:30:00,1,-0.4999999999988347,-1.6999999999988347
2024-12-19 16:45:00,1,4.899999999998794,3.699999999998794
2024-12-20 17:00:00,-1,7.200000000000539,6.000000000000539
2025-01-06 13:00:00,-1,13.199999999999878,11.99999999999988
2025-01-06 13:15:00,-1,54.199999999999804,52.9999999999998
2025-01-07 18:30:00,1,6.6000000000010495,5.400000000001049
2025-01-14 15:45:00,-1,3.5000000000007248,2.3000000000007246
2025-01-14 16:00:00,-1,16.100000000001113,14.900000000001114
2025-01-15 16:15:00,1,-3.20000000000098,-4.40000000000098
2025-01-20 19:45:00,-1,4.8000000000003595,3.6000000000003594
2025-01-20 20:00:00,-1,10.40000000000152,9.20000000000152
2025-01-21 08:15:00,1,-5.800000000000249,-7.00000000000025
2025-01-21 08:30:00,1,-7.399999999999629,-8.599999999999628
2025-01-21 16:45:00,-1,1.1999999999989797,-1.0202949596305189e-12
2025-01-21 17:15:00,-1,1.9999999999997797,0.7999999999997798
2025-01-24 15:30:00,-1,-3.6999999999998145,-4.899999999999815
2025-01-24 15:45:00,-1,1.7000000000000348,0.5000000000000349
2025-01-30 20:30:00,1,3.5999999999991594,2.3999999999991593
2025-01-30 21:45:00,1,-1.2000000000012,-2.4000000000012003
2025-01-31 17:00:00,-1,5.899999999998684,4.699999999998684
2025-01-31 17:15:00,-1,49.399999999999444,48.19999999999944
2025-01-31 21:00:00,1,-97.79999999999899,-98.99999999999899
2025-02-03 03:00:00,1,16.199999999999548,14.999999999999549
