ts,salida_ts,dir,entrada,sl,tp,riesgo_pips,motivo,pips,R
2020-01-06 08:10:00,2020-01-06 08:22:00,corto,1.11639,1.1168,1.11598,4.100000000000215,SL,-5.300000000000215,-1.292682926829253
2020-01-06 09:05:00,2020-01-06 09:36:00,corto,1.11783,1.11824,1.1174200000000003,4.099999999997994,SL,-5.299999999997994,-1.2926829268294115
2020-01-07 16:25:00,2020-01-07 17:18:00,largo,1.11384,1.11325,1.1144299999999998,5.899999999998684,TP,4.699999999998684,0.79661016949148
2020-01-08 08:40:00,2020-01-08 09:13:00,largo,1.11353,1.11291,1.1141499999999998,6.199999999998429,SL,-7.399999999998429,-1.1935483870968233
2020-01-08 09:50:00,2020-01-08 11:21:00,largo,1.11421,1.11243,1.1159899999999998,17.799999999998928,SL,-18.999999999998927,-1.0674157303370826
2020-01-08 16:40:00,2020-01-08 17:11:00,largo,1.11163,1.11077,1.1124899999999998,8.599999999998609,TP,7.399999999998609,0.8604651162790472
2020-01-09 16:55:00,2020-01-10 09:15:00,largo,1.1106,1.10925,1.11195,13.499999999999623,SL,-14.699999999999623,-1.0888888888888912
2020-01-10 14:20:00,2020-01-10 15:08:00,largo,1.10945,1.10852,1.1103800000000001,9.300000000000974,TP,8.100000000000975,0.8709677419354974
2020-01-10 16:35:00,2020-01-10 17:04:00,corto,1.11147,1.11215,1.11079,6.800000000000139,SL,-8.000000000000139,-1.1764705882352904
2020-01-13 09:30:00,2020-01-13 15:42:00,corto,1.11183,1.11371,1.1099500000000002,18.799999999998818,SL,-19.999999999998817,-1.0638297872340465
2020-01-13 16:50:00,2020-01-14 11:32:00,corto,1.11381,1.11479,1.11283,9.799999999999809,TP,8.59999999999981,0.8775510204081609
2020-01-14 15:55:00,2020-01-14 17:14:00,largo,1.11221,1.11128,1.1131399999999998,9.299999999998754,TP,8.099999999998754,0.8709677419354667
2020-01-16 08:50:00,2020-01-16 09:33:00,corto,1.11578,1.11647,1.11509,6.900000000000794,TP,5.700000000000794,0.8260869565217591
2020-01-22 09:50:00,2020-01-22 14:56:00,largo,1.1091,1.1077,1.1105,14.000000000000679,SL,-15.200000000000678,-1.0857142857142814
2020-01-27 16:35:00,2020-01-28 11:52:00,largo,1.10208,1.10086,1.1033,12.199999999999989,SL,-13.399999999999988,-1.098360655737705
2020-01-29 09:25:00,2020-01-29 13:56:00,largo,1.10043,1.09935,1.10151,10.799999999999699,SL,-11.999999999999698,-1.111111111111114
2020-01-29 16:00:00,2020-01-29 17:57:00,largo,1.10006,1.09955,1.10057,5.1000000000001044,TP,3.9000000000001043,0.764705882352946
