dia,ts,lado,R,motivo,rgo,neta
2020-01-15,2020-01-15 08:05:00,1,-1.0,SL,1.7999999999984695,-1.7944444444451197
2020-01-15,2020-01-15 09:05:00,-1,-1.0,SL,4.299999999999304,-1.3325581395349375
2020-03-16,2020-03-16 08:05:00,1,2.0,TP,23.800000000000487,1.939915966386556
2020-03-16,2020-03-16 10:20:00,-1,0.7132352941176519,cierre,27.200000000000557,0.6606617647058882
2020-05-01,2020-05-01 08:05:00,1,-1.0,SL,8.900000000000574,-1.1606741573033603
2020-11-10,2020-11-10 09:30:00,1,-1.0,SL,8.699999999999264,-1.164367816091968
2020-11-10,2020-11-10 10:55:00,-1,0.4370370370371162,cierre,13.499999999999623,0.33111111111118735
2021-04-16,2021-04-16 09:50:00,1,2.0,TP,4.999999999999449,1.7139999999999684
2021-11-11,2021-11-11 09:00:00,-1,-1.0,SL,9.099999999999664,-1.157142857142863
2022-04-06,2022-04-06 10:30:00,1,-0.4019607843137383,cierre,20.400000000000418,-0.4720588235294231
2022-04-06,2022-04-06 11:30:00,-1,-0.18750000000019515,cierre,6.399999999999739,-0.41093750000020424
2022-04-06,2022-04-06 08:05:00,-1,-1.0,SL,12.799999999999478,-1.1117187500000045
2022-05-04,2022-05-04 10:50:00,1,-1.0,SL,6.500000000000394,-1.2199999999999867
2022-05-04,2022-05-04 08:05:00,-1,-1.0,SL,5.499999999998284,-1.260000000000081
2022-05-04,2022-05-04 09:20:00,-1,-1.0,SL,12.999999999998568,-1.110000000000012
2022-09-16,2022-09-16 08:05:00,-1,-1.0,SL,5.0000000000005596,-1.285999999999968
2022-09-16,2022-09-16 09:40:00,-1,2.0,TP,8.599999999999719,1.8337209302325528
2023-09-08,2023-09-08 08:15:00,1,-1.0,SL,3.5999999999991594,-1.397222222222315
2023-11-20,2023-11-20 10:25:00,1,-1.0,SL,6.500000000000394,-1.2199999999999867
2023-11-30,2023-11-30 08:35:00,-1,2.0,TP,6.799999999997919,1.7897058823528769
2024-03-25,2024-03-25 08:20:00,1,-1.0,SL,4.699999999999704,-1.3042553191489552
2024-03-25,2024-03-25 11:25:00,1,0.055555555555281425,cierre,3.60000000000138,-0.3416666666667885
2024-11-05,2024-11-05 08:05:00,1,2.0,TP,4.8000000000003595,1.7020833333333556
2025-03-17,2025-03-17 09:40:00,1,2.0,TP,8.999999999999009,1.8411111111110936
2025-03-26,2025-03-26 08:55:00,1,-1.0,SL,5.5000000000005045,-1.2599999999999763
2025-05-06,2025-05-06 08:40:00,1,-1.0,SL,10.399999999999299,-1.1375000000000093
2025-05-06,2025-05-06 10:10:00,1,-1.0,SL,1.100000000000545,-2.299999999999356
2025-05-06,2025-05-06 11:00:00,-1,0.883928571428605,cierre,11.200000000000099,0.7562500000000347
2025-06-27,2025-06-27 08:50:00,1,-1.0,SL,10.000000000001119,-1.142999999999984
2025-06-27,2025-06-27 09:30:00,1,2.0,TP,0.8999999999992347,0.4111111111097603
2025-06-27,2025-06-27 11:00:00,-1,0.08910891089123713,cierre,10.099999999999554,-0.05247524752461072
2026-03-19,2026-03-19 08:05:00,-1,-1.0,SL,7.099999999999884,-1.2014084507042286
2026-06-10,2026-06-10 08:05:00,-1,-1.0,SL,0.10000000000065512,-15.299999999906317
