ts,R,equity,ano,plaza,riesgo_pips,motivo,dir
2020-01-06 08:10:00,-1.292682926829253,9870.731707317074,2020,Londres,4.100000000000215,SL,corto
2020-01-06 09:05:00,-1.2926829268294115,9743.134443783449,2020,Londres,4.099999999997994,SL,corto
2020-01-07 16:25:00,0.79661016949148,9820.749243589855,2020,NY,5.899999999998684,TP,largo
2020-01-08 08:40:00,-1.1935483870968233,9703.533849392164,2020,Londres,6.199999999998429,SL,largo
2020-01-08 09:50:00,-1.0674157303370826,9599.956802685168,2020,Londres,17.799999999998928,SL,largo
2020-01-08 16:40:00,0.8604651162790472,9682.56108215013,2020,NY,8.599999999998609,TP,largo
2020-01-09 16:55:00,-1.0888888888888912,9577.128750366717,2020,NY,13.499999999999623,SL,largo
2020-01-10 14:20:00,0.8709677419354974,9660.54245238604,2020,NY,9.300000000000974,TP,largo
2020-01-10 16:35:00,-1.1764705882352904,9546.889011769734,2020,NY,6.800000000000139,SL,corto
2020-01-13 09:30:00,-1.0638297872340465,9445.326362708352,2020,Londres,18.799999999998818,SL,corto
2020-01-13 16:50:00,0.8775510204081609,9528.21392058518,2020,NY,9.799999999999809,TP,corto
2020-01-14 15:55:00,0.8709677419354667,9611.201590216082,2020,NY,9.299999999998754,TP,largo
2020-01-16 08:50:00,0.8260869565217591,9690.598472917869,2020,Londres,6.900000000000794,TP,corto
2020-01-22 09:50:00,-1.0857142857142814,9585.38626092619,2020,Londres,14.000000000000679,SL,largo
2020-01-27 16:35:00,-1.098360655737705,9480.10414953569,2020,NY,12.199999999999989,SL,largo
2020-01-29 09:25:00,-1.111111111111114,9374.769658985293,2020,Londres,10.799999999999699,SL,largo
2020-01-29 16:00:00,0.764705882352946,9446.459074024593,2020,NY,5.1000000000001044,TP,largo
2020-01-30 13:45:00,0.848101265822798,9526.574613006827,2020,NY,7.900000000000684,TP,corto
2020-01-30 14:30:00,-1.1016949152542408,9421.62082489743,2020,NY,11.799999999999589,SL,corto
2020-01-31 10:50:00,0.8834951456310527,9504.860387525165,2020,Londres,10.299999999998644,TP,largo
2020-01-31 16:10:00,-1.0749999999999977,9402.68313835927,2020,NY,16.00000000000046,SL,corto
2020-02-04 15:50:00,-1.1363636363636376,9295.83446633246,2020,NY,8.799999999999919,SL,largo
2020-02-06 08:05:00,0.9124087591240936,9380.650474236954,2020,Londres,13.700000000000934,TP,corto
2020-02-07 08:10:00,-1.1875000000000078,9269.25524985539,2020,Londres,6.399999999999739,SL,largo
2020-02-11 08:40:00,0.7692307692308029,9340.55721331582,2020,Londres,5.20000000000076,TP,largo
2020-02-12 13:30:00,-1.1904761904761512,9229.360103633493,2020,NY,6.300000000001305,SL,largo
2020-02-14 08:20:00,0.599999999999956,9284.73626425529,2020,Londres,2.9999999999996696,TP,largo
2020-02-17 08:10:00,-1.3870967741935079,9155.94798704143,2020,Londres,3.1000000000003247,SL,corto
2020-02-17 13:35:00,-1.1481481481481521,9050.824139782806,2020,NY,8.099999999999774,SL,largo
2020-02-17 16:45:00,-1.159999999999994,8945.834579761326,2020,NY,7.500000000000284,SL,largo
2020-02-19 14:10:00,-1.3000000000000331,8829.538730224425,2020,NY,3.9999999999995595,SL,largo
2020-02-19 15:35:00,0.80327868852459,8900.464533139342,2020,NY,6.099999999999994,TP,largo
2020-02-20 07:25:00,0.8620689655172297,8977.192675666405,2020,Londres,8.699999999999264,TP,largo
2020-02-20 16:40:00,0.8666666666666849,9054.995012188849,2020,NY,9.00000000000123,TP,largo
2020-02-24 07:35:00,0.903999999999998,9136.852167099036,2020,Londres,12.499999999999734,TP,largo
2020-02-24 10:45:00,0.8235294117647095,9212.096832004558,2020,Londres,6.800000000000139,TP,largo
2020-02-24 16:05:00,-1.096000000000002,9111.132250725788,2020,NY,12.499999999999734,SL,corto
2020-02-26 16:40:00,-1.244897959183623,8997.707951277982,2020,NY,4.900000000001015,SL,corto
2020-02-28 15:55:00,0.960784313725491,9084.15651786869,2020,NY,30.600000000000627,TP,largo
2020-03-06 08:05:00,-1.0769230769230766,8986.32713998395,2020,Londres,15.600000000000058,SL,corto
2020-03-10 09:50:00,0.9289940828402354,9069.809587379068,2020,Londres,16.899999999999693,TP,largo
2020-03-17 07:05:00,-1.1379310344827702,8966.601409315788,2020,Londres,8.699999999999264,SL,largo
2020-03-18 07:55:00,0.9318181818181812,9050.153831538957,2020,Londres,17.599999999999838,TP,largo
2020-03-19 09:30:00,-1.1643835616438085,8944.77532802104,2020,Londres,7.300000000001194,SL,largo
2020-03-20 12:40:00,-1.0472440944881891,8851.101696633103,2020,NY,25.399999999999867,SL,corto
