bloque,ses,dia,ent_min,sal_min,lado,ent,sl,tp,rgo,mot,R,desvio_p,ancla,nivel_alto,cuerpo_fuera,mecha,toca,h4,m15,dia_dir,cerca,toque,hora,rango,gana
1,1,2020-01-15,487,518,-1,1.11347,1.11371,1.11299,2.4,TP,2.0,0.0,1,True,False,True,True,1.0,1.0,1.0,0.40000000000040004,0,5,1.2999999999996348,True
1,1,2020-01-15,520,546,-1,1.11293,1.11322,1.11235,2.9,TP,2.0,0.0,8,False,False,False,False,1.0,1.0,-1.0,3.9999999999995595,0,40,3.20000000000098,True
1,1,2020-01-15,562,629,1,1.11224,1.11178,1.11316,4.6,TP,2.0,0.0,16,False,False,False,False,1.0,-1.0,-1.0,4.00000000000178,1,80,2.5999999999992696,True
1,2,2020-03-16,490,510,1,1.1186,1.11742,1.12096,11.8,TP,2.0,0.0,88,True,True,False,True,1.0,1.0,1.0,7.099999999999884,1,10,10.100000000001774,True
1,2,2020-03-16,570,617,-1,1.12079,1.12201,1.11835,12.2,TP,2.0,0.0,104,True,False,False,False,1.0,1.0,1.0,29.100000000001902,2,90,7.600000000000939,True
1,3,2020-05-01,570,597,-1,1.09536,1.09627,1.09354,9.1,SL,-1.0,0.0,190,True,False,True,True,1.0,-1.0,1.0,1.40000000000029,5,90,5.399999999999849,False
1,4,2020-11-10,630,647,-1,1.18299,1.18397,1.18103,9.8,TP,2.0,0.0,374,True,False,False,False,1.0,-1.0,1.0,6.500000000000394,7,150,6.299999999999084,True
1,5,2021-04-16,520,530,1,1.19655,1.19612,1.19741,4.3,SL,-1.0,0.0,739,True,False,False,False,1.0,-1.0,-1.0,9.399999999999409,0,40,6.200000000000649,False
1,6,2021-11-11,512,538,-1,1.14738,1.14789,1.14636,5.1,TP,2.0,0.0,1210,True,False,False,False,1.0,-1.0,-1.0,10.299999999998644,0,30,2.20000000000109,True
1,6,2021-11-11,575,633,1,1.1466,1.14588,1.14804,7.2,SL,-1.0,0.0,1223,False,False,True,True,1.0,-1.0,-1.0,1.5999999999993797,1,95,4.599999999999049,False
1,7,2022-04-06,509,556,1,1.08826,1.08771,1.08936,5.5,TP,2.0,0.0,1596,False,False,False,False,-1.0,-1.0,-1.0,3.4000000000000696,2,25,3.5999999999991594,True
1,7,2022-04-06,590,597,1,1.08954,1.08896,1.0907,5.8,SL,-1.0,0.0,1613,False,False,False,False,-1.0,1.0,1.0,10.399999999999299,6,110,8.299999999998864,False
1,8,2022-05-04,489,528,1,1.05152,1.05078,1.053,7.4,SL,-1.0,0.0,1678,False,True,False,True,-1.0,-1.0,-1.0,2.5999999999992696,0,5,6.6000000000010495,False
1,8,2022-05-04,553,554,1,1.05236,1.05191,1.05326,4.5,SL,-1.0,0.0,1691,True,False,False,False,-1.0,1.0,1.0,11.499999999999844,0,70,4.00000000000178,False
1,9,2022-09-16,505,509,1,0.99935,0.99848,1.00109,8.7,SL,-1.0,0.0,2026,False,False,False,False,-1.0,-1.0,1.0,8.500000000000174,5,25,5.899999999999794,False
1,10,2023-09-08,505,666,-1,1.07207,1.07287,1.07047,8.0,TP,2.0,0.0,2671,True,False,False,False,1.0,1.0,-1.0,4.3999999999999595,3,25,2.8999999999990145,True
1,10,2023-09-08,681,690,-1,1.07023,1.0706,1.06949,3.7,cierre,0.35,0.0,2706,False,False,False,False,1.0,-1.0,-1.0,9.799999999999809,0,200,3.2999999999994145,True
1,13,2024-03-25,506,519,-1,1.08184,1.08233,1.08086,4.9,TP,2.0,0.0,3101,True,False,True,True,1.0,1.0,1.0,2.4000000000001798,1,25,3.900000000001125,True
1,14,2024-11-05,482,574,1,1.08845,1.0881,1.08915,3.5,TP,2.0,0.0,3526,True,False,True,True,1.0,1.0,-1.0,1.40000000000029,0,0,3.5000000000007248,True
1,16,2025-03-26,496,502,-1,1.07862,1.07904,1.07778,4.2,SL,-1.0,0.0,3959,True,False,False,False,1.0,-1.0,1.0,9.100000000001884,0,15,8.399999999999519,False
1,17,2025-05-06,522,536,1,1.1332,1.13249,1.13462,7.1,SL,-1.0,0.0,4136,True,True,False,True,1.0,1.0,1.0,2.5999999999992696,0,40,9.599999999998499,False
1,18,2025-06-27,498,525,1,1.16956,1.16888,1.17092,6.8,TP,2.0,0.0,4217,False,False,False,False,-1.0,1.0,1.0,8.299999999998864,0,15,5.800000000000249,True
1,19,2026-03-19,496,561,1,1.14532,1.14423,1.1475,10.9,TP,2.0,0.0,4604,False,False,False,False,-1.0,-1.0,-1.0,2.9999999999996696,3,15,4.699999999999704,True
2,1,2020-02-21,487,501,1,1.07913,1.07891,1.07957,2.2,TP,2.0,0.0,44,True,False,False,False,1.0,-1.0,1.0,4.20000000000087,0,5,1.7000000000000348,True
2,1,2020-02-21,547,556,1,1.07944,1.07896,1.0804,4.8,TP,2.0,0.0,56,True,False,True,True,1.0,1.0,1.0,2.6999999999999247,3,65,5.300000000001415,True
2,1,2020-02-21,574,675,-1,1.08137,1.08198,1.08015,6.1,TP,2.0,0.0,61,True,False,False,False,1.0,1.0,1.0,5.299999999999194,6,90,4.3999999999999595,True
2,2,2020-09-18,506,535,1,1.1852,1.18459,1.18642,6.1,TP,2.0,0.0,263,False,False,False,False,1.0,1.0,-1.0,6.6000000000010495,0,25,5.599999999998939,True
2,2,2020-09-18,550,600,-1,1.18615,1.18698,1.18449,8.3,TP,2.0,0.0,272,True,False,False,False,1.0,1.0,1.0,2.8999999999990145,3,70,6.00000000000156,True
2,3,2020-10-20,541,549,1,1.17715,1.17662,1.17821,5.3,SL,-1.0,0.0,313,False,False,False,False,1.0,-1.0,-1.0,3.1000000000003247,0,60,7.800000000000029,False
2,3,2020-10-20,581,621,1,1.17706,1.17637,1.17844,6.9,TP,2.0,0.0,321,False,False,True,True,1.0,-1.0,-1.0,2.500000000000835,5,100,3.2999999999994145,True
2,3,2020-10-20,633,644,-1,1.17776,1.17864,1.176,8.8,SL,-1.0,0.0,331,True,False,False,False,1.0,1.0,1.0,2.80000000000058,3,150,3.5999999999991594,False
2,4,2021-01-27,506,560,-1,1.21566,1.21613,1.21472,4.7,TP,2.0,0.0,392,False,False,False,False,1.0,-1.0,-1.0,3.9999999999995595,0,25,4.300000000001525,True
2,5,2021-03-02,531,681,-1,1.20064,1.20182,1.19828,11.8,SL,-1.0,0.0,483,False,False,False,False,1.0,-1.0,-1.0,8.300000000001084,3,50,5.999999999999339,False
2,6,2021-05-14,509,637,1,1.21054,1.20938,1.21286,11.6,TP,2.0,0.0,822,True,True,False,True,1.0,1.0,1.0,2.20000000000109,4,25,3.6999999999998145,True
2,7,2022-06-01,504,549,1,1.07172,1.07091,1.07334,8.1,TP,2.0,0.0,1724,False,False,False,False,-1.0,1.0,1.0,7.299999999998974,0,20,2.80000000000058,True
2,7,2022-06-01,560,606,-1,1.07291,1.07385,1.07103,9.4,SL,-1.0,0.0,1736,True,False,False,False,-1.0,1.0,1.0,6.200000000000649,0,80,5.20000000000076,False
2,9,2022-07-28,520,563,-1,1.02205,1.02366,1.01883,16.1,TP,2.0,0.0,1814,True,False,True,True,1.0,1.0,1.0,2.500000000000835,4,40,4.999999999999449,True
2,10,2022-08-04,528,620,1,1.01695,1.01608,1.01869,8.7,TP,2.0,0.0,1858,False,False,False,False,-1.0,-1.0,1.0,10.200000000000209,0,45,6.399999999999739,True
