fecha,sesion,nivel,lado,entrada,sl,tp,rgo,R,motivo,mae,mfe,minutos,neto
2021-01-12 15:30:00,NuevaYork,PSL,LONG,1.21546,1.21351,1.2193599999999998,19.499999999998963,2.0,TP,0.5589743589744068,2.8256410256412403,272,1.9266666666666628
2021-01-25 14:20:00,NuevaYork,PDL,LONG,1.21525,1.21481,1.21613,4.3999999999999595,-1.0,SL,8.340909090908804,0.1136363636366045,7,-1.3250000000000028
2021-01-27 09:30:00,Londres,PSL,LONG,1.21479,1.21418,1.21601,6.099999999999994,-1.0,SL,14.65573770491796,0.8852459016393204,36,-1.234426229508197
2021-02-03 09:35:00,Londres,PSL,LONG,1.20396,1.20293,1.2060199999999996,10.299999999998644,-1.0,SL,3.456310679612113,0.009708737864142553,20,-1.138834951456329
2021-02-18 09:05:00,Londres,PSH,SHORT,1.20459,1.20528,1.2032100000000003,6.899999999998574,-1.0,SL,7.043478260870825,0.028985507246572693,11,-1.207246376811637
2021-04-02 09:50:00,Londres,PDH,SHORT,1.17784,1.17822,1.17708,3.8000000000004697,-1.0,SL,2.1578947368419517,7.736842105262051,37,-1.3763157894736378
2021-04-07 09:40:00,Londres,PSL,LONG,1.18724,1.18631,1.1891000000000003,9.300000000000974,2.0,TP,1.2473118279569122,4.54838709677367,166,1.8462365591398011
2021-04-08 15:30:00,NuevaYork,PSH,SHORT,1.18865,1.1896,1.18675,9.500000000000064,-1.0,SL,4.305263157894631,0.3157894736841736,16,-1.1505263157894727
2021-04-15 09:30:00,Londres,PDH,SHORT,1.19839,1.1992,1.1967700000000001,8.099999999999774,-1.0,SL,1.1481481481480262,3.444444444444627,105,-1.176543209876548
2021-04-28 15:55:00,NuevaYork,PDL,LONG,1.20716,1.20543,1.21062,17.300000000000093,2.0,TP,0.3468208092485148,3.647398843930638,275,1.9173410404624283
2021-05-10 15:05:00,NuevaYork,PDH,SHORT,1.21633,1.21763,1.2137299999999998,13.000000000000789,-1.0,SL,1.14615384615377,2.746153846153565,20,-1.1099999999999932
2021-05-21 09:50:00,Londres,PSL,LONG,1.22144,1.2207700000000001,1.22278,6.699999999999484,2.0,TP,8.01492537313509,3.522388059701641,85,1.7865671641790881
2021-06-11 09:25:00,Londres,PSH,SHORT,1.21783,1.21938,1.21473,15.499999999999403,2.0,TP,0.5548387096774943,5.535483870967976,211,1.9077419354838674
2021-06-16 10:10:00,Londres,PSH,SHORT,1.21288,1.21357,1.2114999999999998,6.900000000000794,2.0,TP,0.18840579710137464,19.55072463767891,150,1.7927536231884296
2021-06-30 09:40:00,Londres,PSL,LONG,1.18966,1.1891,1.1907799999999997,5.599999999998939,-1.0,SL,9.21428571428716,1.4821428571433315,27,-1.2553571428571912
2021-07-22 09:20:00,Londres,PSH,SHORT,1.17985,1.18039,1.17877,5.399999999999849,2.0,TP,5.907407407407621,7.648148148148301,35,1.7351851851851778
2021-08-05 16:05:00,NuevaYork,PDL,LONG,1.18401,1.183,1.18603,10.099999999999554,-0.7920792079207398,cierre,0.9504950495050637,1.0990099009900924,409,-0.9336633663365876
2021-08-10 09:50:00,Londres,PDL,LONG,1.17303,1.1724,1.1742899999999998,6.299999999999084,-1.0,SL,3.3015873015879116,1.365079365079695,94,-1.22698412698416
2021-08-17 09:40:00,Londres,PDL,LONG,1.17726,1.17582,1.1801399999999997,14.399999999998858,-1.0,SL,4.493055555555895,0.8333333333334618,287,-1.0993055555555635
2021-08-19 16:20:00,NuevaYork,PDL,LONG,1.16947,1.16868,1.1710500000000001,7.900000000000684,-1.0,SL,2.82278481012628,0.30379746835442684,25,-1.1810126582278324
2021-08-26 14:35:00,NuevaYork,PDH,SHORT,1.17636,1.17778,1.1735200000000001,14.199999999999768,0.866197183098651,cierre,0.2535211267605083,1.2535211267606647,496,0.7654929577465367
2021-08-30 09:05:00,Londres,PDH,SHORT,1.17982,1.18053,1.1784000000000001,7.099999999999884,-1.0,SL,1.0,2.18309859154956,81,-1.2014084507042286
2021-09-08 09:25:00,Londres,PDL,LONG,1.18407,1.18297,1.1862699999999997,10.999999999998789,-1.0,SL,3.52727272727301,0.3727272727273333,30,-1.1300000000000143
2021-09-09 16:05:00,NuevaYork,PSL,LONG,1.18154,1.18087,1.18288,6.699999999999484,-1.0,SL,1.5373134328360682,3.626865671641969,21,-1.2134328358209119
2021-09-10 14:45:00,NuevaYork,PDH,SHORT,1.18353,1.18437,1.18185,8.399999999999519,2.0,TP,0.2857142857143235,3.1071428571430366,186,1.829761904761895
2021-09-23 15:10:00,NuevaYork,PSH,SHORT,1.17258,1.17347,1.1707999999999998,8.900000000000574,-1.0,SL,2.71910112359543,0.5056179775281263,29,-1.1606741573033603
2021-10-04 10:25:00,Londres,PDH,SHORT,1.16117,1.16177,1.1599700000000002,5.999999999999339,-1.0,SL,4.716666666667,1.0166666666667776,32,-1.2383333333333595
2021-11-12 10:45:00,Londres,PDL,LONG,1.14427,1.14354,1.1457299999999997,7.299999999998974,-1.0,SL,1.3561643835615937,2.6438356164390147,281,-1.1958904109589317
