ts,R,neta,rgo,lado,hfrac,hbar,gana,fvg,pos,anio
2020-01-29 10:00:00,-1.0,-1.3212679374598544,4.668999999999812,1,8,11,False,False,0.36659436008677215,2020
2020-02-13 23:30:00,2.4482758620691083,2.084021369597009,4.117999999999711,1,21,0,True,False,0.29571984435798104,2020
2020-02-14 00:00:00,2.4482758620686838,2.0172413793101147,3.480000000000416,1,21,1,True,False,0.3540856031128476,2020
2020-02-20 14:30:00,2.448275862068914,2.349565675177628,15.196000000000254,-1,11,15,True,True,0.9806400632161175,2020
2020-04-02 06:00:00,-1.0,-1.1712719799040825,8.758000000000266,1,2,8,False,True,0.17052980132450216,2020
2020-04-21 17:30:00,2.4482758620687464,2.231856874909611,6.931000000000154,-1,16,19,True,False,0.6989130434782603,2020
2020-04-24 20:30:00,2.44827586206931,2.197187813860366,5.97399999999908,1,18,22,True,False,0.27595269382390925,2020
2020-04-27 13:30:00,-1.0,-1.1432801604737728,10.469000000000506,1,12,15,False,False,0.07738693467336465,2020
2020-04-28 00:30:00,-1.0,-1.3471418653089404,4.321000000000197,1,0,2,False,False,0.28693994280266927,2020
2020-05-01 13:30:00,-1.0,-1.1397949673811807,10.729999999999507,1,12,15,False,False,0.464098073555169,2020
2020-05-21 15:00:00,2.4482758620691083,2.2661486158330586,8.235999999999422,-1,15,17,True,True,0.6060000000000088,2020
2020-06-10 11:00:00,-1.0,-1.2693965517241608,5.567999999999529,1,11,13,False,False,-0.0003900156006203437,2020
2020-06-11 03:30:00,-1.0,-1.153940886699498,9.744000000000597,1,3,5,False,True,0.028980446927373844,2020
2020-06-11 04:00:00,-1.0,-1.153940886699498,9.744000000000597,1,3,6,False,True,0.03719599427753916,2020
2020-06-24 00:00:00,2.4482758620692637,2.2454361054769616,7.394999999999641,1,23,2,True,False,0.3664055700609155,2020
2020-06-30 03:00:00,-1.0,-1.3567181926277965,4.205000000000325,-1,3,5,False,False,0.877419354838713,2020
2020-07-02 00:30:00,-1.0,-1.2680007146685626,5.597000000000207,1,19,2,False,False,0.3843416370106671,2020
2020-07-08 09:30:00,2.448275862069202,1.9310344827587924,2.899999999999636,-1,8,11,True,False,0.5853211009174081,2020
2020-07-16 13:30:00,-1.0,-1.3294531078409881,4.55299999999994,-1,12,15,False,False,0.609375000000004,2020
2020-07-24 17:00:00,-1.0,-1.1086641553172965,13.804000000000372,1,16,19,False,True,0.00831733845169879,2020
2020-07-29 00:00:00,-1.0,-1.1814882032667855,8.2650000000001,1,0,2,False,False,0.05828220858895191,2020
2020-08-13 05:00:00,-1.0,-1.228867866951485,6.55399999999986,-1,4,7,False,False,0.76033690658499,2020
2020-08-24 00:00:00,-1.0,-1.2036383383111489,7.366000000000383,-1,0,2,False,True,0.6391382405745067,2020
2020-09-11 15:00:00,2.448275862068402,2.103448275861575,4.350000000000875,-1,14,17,True,True,0.6655405405405271,2020
2020-10-09 08:00:00,-1.0,-1.4789272030650116,3.132000000000801,-1,4,10,False,False,0.6285266457680363,2020
2020-10-28 10:00:00,2.4482758620690253,2.2956972841013688,9.83099999999979,1,7,11,True,True,0.11086226203807803,2020
2020-10-28 22:30:00,2.4482758620686584,2.08656860380971,4.147000000000389,1,21,23,True,False,0.21679064824653876,2020
2020-11-20 14:30:00,-1.0,-1.323275862068927,4.640000000000555,1,10,15,False,True,0.1355191256830695,2020
2020-11-25 02:30:00,2.4482758620684724,2.070727410017181,3.9730000000005816,-1,0,3,True,False,0.7816836262719774,2020
2020-12-06 22:00:00,-1.0,-1.247483913545632,6.060999999999694,1,19,23,False,True,0.3931544865864902,2020
2020-12-08 10:00:00,2.4482758620692957,2.2076984763435346,6.234999999999502,1,9,11,True,True,0.4351515151515072,2020
2020-12-08 10:30:00,2.448275862069395,2.149292405820607,5.0169999999994275,1,9,11,True,False,0.48606060606059986,2020
2020-12-24 15:30:00,2.44827586206864,2.1366846697130337,4.814000000000362,-1,13,16,True,False,0.5868852459016466,2020
