ts,dir,riesgo_u,motivo,bruto,R
2020-01-09 14:30:00,corto,6.446000000000367,SL,-1.0,-1.0930809804529888
2020-01-10 06:30:00,corto,3.0150000000003274,SL,-1.0,-1.1990049751243566
2020-01-14 12:30:00,corto,7.30600000000004,SL,-1.0,-1.0821242814125371
2020-01-15 08:00:00,corto,6.059999999999945,SL,-1.0,-1.0990099009900998
2020-01-17 12:15:00,corto,4.299999999999727,SL,-1.0,-1.139534883720939
2020-01-22 15:00:00,corto,5.0,SL,-1.0,-1.1199999999999999
2020-02-06 06:45:00,corto,7.405999999999949,TP,3.0,2.9189846070753434
2020-02-07 15:30:00,largo,12.443000000000211,SL,-1.0,-1.0482198826649514
2020-02-11 13:30:00,corto,4.0,SL,-1.0,-1.15
2020-02-17 08:30:00,corto,5.554000000000087,TP,3.0,2.89196975153043
2020-02-25 14:30:00,corto,18.654999999999745,TP,3.0,2.967837041007772
2020-02-28 12:15:00,largo,68.01800000000003,SL,-1.0,-1.0088211943897203
2020-02-28 14:30:00,largo,33.89700000000039,SL,-1.0,-1.0177006814762366
2020-03-03 06:45:00,largo,25.297000000000025,SL,-1.0,-1.0237182274578014
2020-03-12 08:45:00,largo,16.5,SL,-1.0,-1.0363636363636364
2020-03-18 13:45:00,corto,57.91800000000012,SL,-1.0,-1.010359473738734
2020-04-01 15:15:00,corto,20.74499999999989,TP,3.0,2.9710773680404916
2020-04-03 07:30:00,largo,26.490999999999985,SL,-1.0,-1.0226492016156432
2020-04-17 07:15:00,largo,14.960000000000036,SL,-1.0,-1.0401069518716577
2020-05-05 09:30:00,largo,16.940000000000055,SL,-1.0,-1.0354191263282173
2020-05-26 14:15:00,largo,10.717999999999847,SL,-1.0,-1.0559805933942907
2020-06-08 07:30:00,largo,7.518000000000029,TP,3.0,2.9201915403032723
2020-06-10 13:30:00,corto,17.1550000000002,SL,-1.0,-1.034975225881667
2020-06-12 06:45:00,corto,27.59999999999991,SL,-1.0,-1.0217391304347827
2020-06-16 07:30:00,largo,14.894000000000233,SL,-1.0,-1.0402846783939834
2020-06-22 13:45:00,largo,18.69399999999996,SL,-1.0,-1.0320958596341074
2020-07-06 11:45:00,largo,10.251000000000204,SL,-1.0,-1.0585308750365805
2020-07-06 14:45:00,largo,14.711999999999989,SL,-1.0,-1.0407830342577489
2020-07-10 11:45:00,corto,10.202999999999975,SL,-1.0,-1.0588062334607469
2020-07-16 09:30:00,largo,7.985000000000127,TP,3.0,2.9248591108328124
2020-07-21 13:45:00,largo,9.497000000000298,SL,-1.0,-1.063177845635462
2020-07-24 10:30:00,corto,9.009000000000015,SL,-1.0,-1.0666000666000663
2020-08-03 07:45:00,largo,10.239999999999782,TP,3.0,2.9414062499999987
2020-08-06 14:30:00,corto,12.69399999999996,SL,-1.0,-1.0472664250827164
2020-08-13 06:45:00,largo,5.756999999999607,SL,-1.0,-1.1042209484106376
2020-08-26 06:30:00,largo,5.514999999999873,SL,-1.0,-1.1087941976427949
2020-08-26 13:30:00,corto,7.911999999999807,SL,-1.0,-1.07583417593529
2020-08-27 09:45:00,largo,4.802999999999884,TP,3.0,2.8750780762023704
2020-09-02 06:30:00,corto,5.859999999999673,SL,-1.0,-1.1023890784982993
2020-09-02 09:30:00,corto,4.697000000000116,SL,-1.0,-1.1277411113476654
2020-09-03 10:15:00,largo,4.709000000000287,SL,-1.0,-1.1274155871734897
2020-09-04 10:15:00,corto,12.0,TP,3.0,2.9499999999999997
2020-09-24 14:30:00,corto,32.29999999999973,SL,-1.0,-1.018575851393189
2020-10-06 10:15:00,largo,8.188000000000102,TP,3.0,2.9267220322423064
2020-10-13 13:15:00,largo,7.0090000000000146,SL,-1.0,-1.0856042231416747
2020-10-15 14:30:00,corto,16.751000000000204,SL,-1.0,-1.0358187570891286
2020-10-20 14:45:00,corto,17.509000000000015,SL,-1.0,-1.0342680906962134
2020-10-26 13:15:00,corto,15.066000000000258,TP,3.0,2.960175228992434
2020-11-11 07:30:00,corto,15.853999999999814,SL,-1.0,-1.037845338715782
2020-11-19 15:15:00,corto,13.55199999999968,SL,-1.0,-1.0442739079102725
2020-11-24 12:45:00,largo,8.507000000000062,SL,-1.0,-1.0705301516398256
2020-12-01 13:45:00,largo,6.018999999999778,SL,-1.0,-1.0996843329456756
